nom_dispo,xCoord,yCoord,an,length,secheresseEte,tIntervalVeg6,pred,stdErrPred,scaledResid
sablorouges,0.56821,48.394117,1994,4,0,13.170610006,13.231578085,0.237778364,0.7559897989
sablorouges,0.56821,48.394117,1998,2,0,12.814269084,13.29885189,0.2382402946,-0.500993313
sablorouges,0.56821,48.394117,2000,5,1,12.997145948,13.425841753,0.2397870125,-0.554505941
sablorouges,0.56821,48.394117,2005,5,0,13.12085911,13.416581048,0.2393279986,-0.028819557
stemarie,6.1073,48.043994,1962,4,0,12.48267898,12.693387647,0.2383148101,-0.884042371
tresor,2.724191,46.668473,1959,4,1,13.053904479,12.759623494,0.2409584337,-0.284729268
tresor,2.724191,46.668473,1963,8,0,13.139162623,12.710206098,0.238184294,0.2493055251
tresor,2.724191,46.668473,1982,10,1,13.716778954,13.076433151,0.2368180341,1.315785468
tresor,2.724191,46.668473,1992,6,0,13.374049075,13.197941183,0.2375912266,-0.9658801
tresor,2.724191,46.668473,1998,5,1,13.968682263,13.39220485,0.2394974008,0.6689266425
tresor,2.724191,46.668473,2003,5,0,14.261664696,13.382944146,0.2389811474,1.7616641224
