"idp","XCOORD","YCOORD","xl93","yl93","dc","dep"
841900,-0.959888,43.741926,381088,6301654,8,"40"
841914,1.047385,43.838334,542960,6306311,0,"82"
841999,3.456199,48.859469,733471,6862256,0,"2"
842019,-1.344975,43.171727,346619,6240002,0,"64"
842040,-0.26921,47.630714,454555,6730674,0,"49"
842052,0.205276,43.105846,472376,6226981,0,"65"
842165,2.601325,46.832023,669612,6636951,0,"18"
842168,-0.189593,46.516405,455531,6606760,0,"79"
842248,4.73398,47.617209,830243,6725522,0,"21"
842286,5.142299,47.788061,860391,6745250,8,"52"
842344,0.962308,48.389295,549163,6811835,0,"28"
842432,5.777781,48.113093,906681,6782827,0,"88"
842436,-0.966725,43.0042,376420,6219780,0,"64"
842455,3.393069,47.09737,729814,6666420,0,"58"
842507,2.083321,45.482523,628390,6487423,0,"19"
842691,3.911377,44.554061,772386,6384305,0,"48"
842741,5.627467,46.568921,901208,6611002,0,"39"
842745,5.677745,44.20853,913945,6349130,0,"26"
842823,3.519062,48.031669,738688,6770270,0,"89"
842882,2.802749,44.348511,684276,6361073,0,"12"
842948,4.319855,47.9309,798558,6759769,0,"21"
842962,4.649525,48.122755,822727,6781547,0,"10"
842978,-0.981868,46.676152,395747,6627236,0,"85"
842985,4.608696,47.799682,820421,6745592,8,"21"
843083,-0.607422,42.924786,405305,6209553,0,"64"
843109,-0.103335,43.440883,448716,6265136,0,"64"
843129,1.320321,49.417527,578092,6925526,0,"27"
843140,3.877045,47.433803,766107,6704084,0,"89"
843149,-0.345651,43.345209,428656,6255312,0,"64"
843158,4.504168,47.855648,812479,6751655,0,"21"
843204,4.485902,47.406111,812053,6701695,0,"21"
843233,0.194344,44.058676,475248,6332846,0,"47"
843273,3.833874,46.840542,763549,6638156,0,"58"
843281,6.562912,47.511011,968081,6718343,8,"70"
843311,-1.965922,48.516861,333498,6835597,0,"22"
843312,2.909437,46.219108,693019,6568810,0,"63"
843320,3.03559,45.948479,702757,6538753,0,"63"
843396,4.809494,49.809761,830328,6969371,0,"8"
843445,0.361025,45.717309,494751,6516511,0,"16"
843446,5.961437,48.827518,917362,6862683,0,"54"
843594,-0.950453,43.148569,378549,6235745,0,"64"
843636,5.151445,45.447357,868158,6485393,0,"38"
843679,9.106019,42.083837,1205712,6128832,0,"2A"
843698,1.732536,44.815499,599800,6413731,0,"46"
843706,5.039128,48.905997,849460,6869263,8,"55"
843718,2.609052,48.361024,671042,6806818,0,"77"
843726,4.328303,47.444922,800097,6705794,8,"21"
843744,3.13768,47.639172,710338,6726541,0,"89"
843759,0.893941,48.909921,545647,6869828,0,"27"
843811,4.821322,47.777349,836392,6743457,8,"21"
843839,0.741023,49.447177,536152,6929872,0,"76"
843846,1.540904,49.401212,594066,6923393,0,"27"
843921,5.808902,47.770116,910351,6744822,9,"70"
843941,1.203033,49.739839,570397,6961570,0,"76"
843955,5.580857,48.40667,890968,6814941,0,"88"
844006,6.515537,47.584785,964154,6726371,8,"70"
844050,1.161413,46.736323,559623,6627880,0,"36"
844092,4.856961,49.647056,834172,6951347,0,"8"
844106,0.862779,47.12877,538007,6672026,9,"37"
844181,2.100129,44.547079,628519,6383519,0,"12"
844311,7.281093,48.942054,1013451,6879842,0,"67"
844331,3.293464,47.422101,722125,6702458,0,"58"
844425,3.741153,45.29404,758095,6466348,8,"43"
844527,2.704016,44.582704,676503,6387113,0,"12"
844542,-0.689521,47.062403,420072,6669003,0,"49"
844553,6.721024,48.783941,973305,6860202,0,"57"
844558,-0.592301,47.69503,430639,6738866,0,"49"
844559,-0.127877,47.453813,464382,6710607,0,"49"
844563,-0.754313,48.644688,423516,6844853,0,"61"
844566,0.020612,44.037134,461247,6330964,0,"40"
844662,0.321513,46.796594,495744,6636404,0,"86"
844749,6.348643,47.842831,950406,6754470,8,"70"
844753,0.22519,46.57885,487552,6612490,8,"86"
844931,4.999872,47.611426,850227,6725352,8,"21"
844961,-0.542771,42.854646,410233,6201522,0,"64"
844993,3.456718,46.358983,735116,6584441,8,"3"
844999,-1.149733,44.816071,372081,6421609,0,"33"
845061,3.884738,44.500468,770337,6378328,0,"48"
845069,4.570768,46.900536,819569,6645673,0,"71"
845136,0.648534,47.233803,522120,6684149,9,"37"
845160,5.686991,47.953709,900531,6764892,8,"52"
845163,6.063274,45.690819,938348,6514763,0,"73"
845204,1.389992,45.640746,574592,6505857,0,"87"
845254,5.936723,48.86426,915397,6866698,8,"54"
845332,1.555817,43.897132,583965,6311964,0,"81"
845360,6.206404,47.361356,941947,6700582,8,"25"
845368,-0.686502,47.476588,422448,6714950,0,"49"
845435,5.712903,47.520871,904116,6716896,0,"70"
845474,0.165546,45.461698,478535,6488670,9,"16"
845537,1.739677,48.881206,607573,6865314,0,"75"
845546,4.591737,46.774124,821448,6631668,0,"71"
845639,1.429565,44.795432,575807,6411933,9,"46"
845673,1.895805,46.543585,615390,6605432,0,"36"
845683,0.491951,47.177413,510080,6678253,0,"37"
845702,5.558979,48.929045,887468,6872934,0,"55"
845781,4.43848,49.565213,804105,6941610,0,"8"
845789,2.968782,46.866573,697622,6640712,0,"18"
845804,1.942601,47.281459,620073,6687329,0,"18"
845815,6.219485,47.541027,942120,6720565,0,"70"
845822,2.13703,44.780991,631734,6409467,0,"46"
845855,3.355526,45.118312,727956,6446622,0,"43"
845894,3.623611,50.115444,744650,7002085,0,"59"
845994,6.375933,47.49966,954075,6716465,0,"25"
846054,1.107832,47.941259,558740,6761789,0,"41"
846100,0.300348,45.96822,490986,6544518,0,"16"
846144,2.107932,45.716491,630606,6513382,0,"19"
846156,5.850639,48.398941,910953,6814769,0,"88"
846170,2.186035,45.338775,636249,6471372,0,"19"
846212,1.462038,47.566676,584369,6719604,6,"41"
846230,1.279464,46.053651,566983,6551881,9,"87"
846290,3.565539,46.573808,743312,6608352,0,"3"
846293,2.724573,49.385256,679996,6920674,0,"60"
846349,0.663033,42.970193,509201,6210693,0,"31"
846419,-3.0546,47.769163,246928,6758353,0,"56"
846424,1.900163,46.003777,614889,6545486,0,"23"
846454,1.569184,42.908672,583048,6202088,8,"9"
846519,6.11078,47.508602,934091,6716638,0,"70"
