SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:56;;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;;
Product: ;1 ha _Oak forest rack making by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;;
Méthode: ;;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;;
;;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack making by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Operation, passenger car, diesel, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
28;Acenaphthylene;Eau;river;kg;7.0315E-10;x;2.1778E-11;2.2198E-11;5.98034E-10;x;x;3.99377E-11;2.12029E-11
29;Acetaldehyde;Air;;kg;5.1929E-05;x;7.8004E-07;0.000044286;1.72458E-07;x;x;2.64161E-06;4.04891E-06
30;Acetaldehyde;Air;high. pop.;kg;4.33704E-06;x;5.0017E-08;5.0982E-08;1.4097E-06;x;x;1.50441E-06;1.32194E-06
31;Acetaldehyde;Air;low. pop.;kg;1.07462E-07;x;2.5249E-09;2.5736E-09;8.42391E-08;x;x;1.30186E-08;5.10563E-09
32;Acetaldehyde;Eau;river;kg;2.50308E-08;x;2.0087E-10;2.0474E-10;2.17946E-09;x;x;1.48855E-08;7.56021E-09
33;Acetic acid;Air;;kg;3.70372E-05;x;3.6323E-07;3.7022E-07;1.07476E-05;x;x;1.85403E-05;7.01594E-06
34;Acetic acid;Air;high. pop.;kg;2.6509E-05;x;0.000000297;3.0272E-07;8.53758E-06;x;x;9.59433E-06;7.7774E-06
35;Acetic acid;Air;low. pop.;kg;7.05937E-07;x;1.6587E-08;1.69066E-08;5.53382E-07;x;x;8.55221E-08;3.3539E-08
36;Acetic acid;Eau;river;kg;2.65801E-06;x;2.5869E-08;2.6368E-08;7.48304E-07;x;x;1.30243E-06;5.55037E-07
37;Acetone;Air;high. pop.;kg;6.69028E-06;x;5.5587E-08;5.6658E-08;1.44223E-06;x;x;2.85206E-06;2.28375E-06
38;Acetone;Air;low. pop.;kg;7.39328E-07;x;1.0717E-08;1.09236E-08;3.40638E-07;x;x;1.87664E-07;1.89385E-07
39;Acetone;Eau;;kg;1.5872E-10;x;8.6783E-14;8.8456E-14;1.86699E-12;x;x;1.30301E-10;2.63777E-11
40;Acetone;Eau;river;kg;6.12703E-09;x;4.8471E-12;4.9406E-12;4.2742E-11;x;x;2.08109E-09;3.99341E-09
41;Acetonitrile;Air;low. pop.;kg;2.95399E-08;x;6.9407E-10;7.0744E-10;2.31564E-08;x;x;3.5786E-09;1.40341E-09
42;Acetonitrile;Eau;river;kg;6.19612E-11;x;4.901E-14;4.9954E-14;4.3086E-13;x;x;2.09867E-11;4.04447E-11
43;Acetyl chloride;Eau;river;kg;1.80924E-11;x;1.7559E-14;1.7897E-14;3.00887E-13;x;x;1.03368E-11;7.41924E-12
44;Acidity, unspecified;Eau;;kg;3.33962E-09;x;1.826E-12;1.8612E-12;3.92825E-11;x;x;2.74165E-09;5.55E-10
45;Acidity, unspecified;Eau;river;kg;1.31843E-06;x;1.2831E-08;1.30788E-08;4.15561E-07;x;x;7.32261E-07;1.447E-07
46;Aclonifen;Sol;agricultural;kg;1.1312E-07;x;8.9389E-11;9.1112E-11;7.83652E-10;x;x;3.82925E-08;7.38631E-08
47;Acrolein;Air;;kg;8.8447E-11;x;4.8361E-14;4.9292E-14;1.04039E-12;x;x;7.261E-11;1.4699E-11
48;Acrolein;Air;high. pop.;kg;6.93977E-07;x;1.4607E-10;1.48888E-10;4.19754E-09;x;x;3.5362E-07;3.35864E-07
49;Acrolein;Air;low. pop.;kg;1.8569E-09;x;1.3902E-11;1.41698E-11;4.11007E-10;x;x;8.05512E-10;6.12313E-10
50;Acrylate, ion;Eau;river;kg;3.85965E-09;x;3.4336E-11;3.4998E-11;3.5597E-10;x;x;2.59038E-09;8.4397E-10
51;Acrylic acid;Air;high. pop.;kg;1.63078E-09;x;1.4508E-11;1.47874E-11;1.50401E-10;x;x;1.09449E-09;3.56588E-10
52;Actinides, radioactive, unspecified;Air;low. pop.;Bq;0.00774465;x;0.000028424;0.000028972;0.000720491;x;x;0.004216813;0.002749951
53;Actinides, radioactive, unspecified;Eau;ocean;Bq;0.601659914;x;0.0043123;0.0043954;0.121585464;x;x;0.22452125;0.2468455
54;Aerosols, radioactive, unspecified;Air;low. pop.;Bq;0.073203972;x;0.00061842;0.00063034;0.01812447;x;x;0.026299042;0.0275317
55;Aldehydes, unspecified;Air;;kg;6.50357E-10;x;3.5559E-13;3.6244E-13;7.64979E-12;x;x;5.33909E-10;1.08081E-10
56;Aldehydes, unspecified;Air;high. pop.;kg;4.06014E-07;x;3.9421E-09;4.018E-09;1.15603E-07;x;x;2.04662E-07;7.77888E-08
57;Aldehydes, unspecified;Air;low. pop.;kg;2.03973E-07;x;1.2369E-09;1.2607E-09;3.33169E-08;x;x;7.95729E-08;8.85854E-08
58;Aldrin;Sol;agricultural;kg;4.2011E-11;x;3.7366E-13;3.8086E-13;3.88468E-12;x;x;2.81717E-11;9.20005E-12
59;Aluminium;Brut;in ground;kg;0.106668965;x;0.000076912;0.000078394;0.001328058;x;x;0.098511542;0.00667406
60;Aluminium;Air;;kg;0.002445353;x;0.000004413;0.000004498;0.000124881;x;x;0.001106508;0.001205053
61;Aluminium;Air;high. pop.;kg;0.000142463;x;7.8586E-08;8.01E-08;2.17028E-06;x;x;5.03942E-05;8.97398E-05
62;Aluminium;Air;low. pop.;kg;4.89734E-05;x;6.2445E-08;6.3648E-08;1.78427E-06;x;x;1.43321E-05;3.27309E-05
63;Aluminium;Eau;;kg;8.19529E-07;x;1.0236E-08;1.04328E-08;3.44701E-07;x;x;3.0687E-07;1.4729E-07
64;Aluminium;Eau;groundwater;kg;3.60424E-05;x;1.9199E-07;1.95694E-07;5.82931E-06;x;x;1.66246E-05;1.32009E-05
65;Aluminium;Eau;ocean;kg;0.00016733;x;0.000004197;0.000004278;0.000142938;x;x;9.30238E-06;6.61412E-06
66;Aluminium;Eau;river;kg;0.000133735;x;0.000001414;1.44124E-06;4.52514E-05;x;x;4.26341E-05;0.000042994
