SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:56;;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;;
Product: ;1 ha _Oak forest rack making by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;;
Méthode: ;;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;;
;;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack making by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Operation, passenger car, diesel, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
164;Boron;Eau;;kg;4.98696E-08;x;2.7267E-11;2.7792E-11;5.86601E-10;x;x;4.09403E-08;8.28763E-09
165;Boron;Eau;groundwater;kg;0.000244644;x;2.267E-07;2.3108E-07;4.7122E-06;x;x;0.00017579;6.36844E-05
166;Boron;Eau;ocean;kg;7.11788E-06;x;1.4876E-07;1.5163E-07;6.36658E-06;x;x;2.96447E-07;1.54464E-07
167;Boron;Eau;river;kg;1.283E-05;x;3.4695E-07;3.5364E-07;9.09287E-06;x;x;1.77685E-06;1.2597E-06
168;Boron;Sol;;kg;1.23107E-06;x;1.339E-08;1.36478E-08;2.90797E-07;x;x;5.82338E-07;3.30895E-07
169;Boron;Sol;agricultural;kg;9.03031E-09;x;2.8764E-10;2.9318E-10;7.90204E-09;x;x;3.58633E-10;1.88818E-10
170;Boron;Sol;industrial;kg;1.22723E-05;x;2.9683E-07;3.0254E-07;1.07607E-05;x;x;5.78694E-07;3.33581E-07
171;Boron trifluoride;Air;high. pop.;kg;2.6015E-16;x;2.3144E-18;2.359E-18;2.39928E-17;x;x;1.746E-16;5.68838E-17
172;Bromate;Eau;river;kg;9.3706E-06;x;5.7117E-08;5.8218E-08;1.7562E-06;x;x;5.36228E-06;2.13679E-06
173;Bromide;Eau;river;kg;1.55712E-07;x;3.8281E-10;3.9018E-10;1.02843E-08;x;x;7.13137E-08;7.33414E-08
174;Bromine;Brut;in water;kg;1.78525E-07;x;3.7619E-10;3.8344E-10;9.65961E-09;x;x;8.32873E-08;8.48188E-08
175;Bromine;Air;;kg;1.75407E-14;x;8.9026E-17;9.0742E-17;2.27082E-15;x;x;7.37561E-15;7.7145E-15
176;Bromine;Air;high. pop.;kg;3.17562E-07;x;1.9277E-09;1.96488E-09;5.58787E-08;x;x;1.22375E-07;1.35416E-07
177;Bromine;Air;low. pop.;kg;7.64234E-06;x;9.237E-08;9.415E-08;2.882E-06;x;x;2.43115E-06;2.14267E-06
178;Bromine;Eau;;kg;3.40474E-06;x;1.8616E-09;1.89748E-09;4.00491E-08;x;x;2.79509E-06;5.65841E-07
179;Bromine;Eau;groundwater;kg;1.96644E-06;x;2.441E-08;2.488E-08;7.6226E-07;x;x;5.94152E-07;5.60735E-07
180;Bromine;Eau;ocean;kg;0.000609249;x;0.000012735;0.000012981;0.000545061;x;x;2.53252E-05;1.31465E-05
181;Bromine;Eau;river;kg;0.001287307;x;0.000039372;0.00004013;0.001081047;x;x;8.28611E-05;4.38968E-05
182;Butadiene;Air;;kg;1.92838E-11;x;2.5454E-13;2.5944E-13;6.6814E-12;x;x;8.8658E-12;3.22259E-12
183;Butadiene;Air;high. pop.;kg;6.18466E-12;x;6.0021E-15;6.1178E-15;1.02853E-13;x;x;3.53355E-12;2.53613E-12
184;Butadiene;Air;low. pop.;kg;1.35988E-12;x;1.795E-14;1.82962E-14;4.71154E-13;x;x;6.25223E-13;2.27258E-13
185;Butadiene;Air;stratosphere + troposphere;kg;8.26443E-12;x;1.0909E-13;1.11192E-13;2.86339E-12;x;x;3.79966E-12;1.3811E-12
186;Butane;Air;;kg;1.60593E-07;x;8.7808E-11;8.95E-11;1.88901E-09;x;x;1.31838E-07;2.66888E-08
187;Butane;Air;high. pop.;kg;0.00246458;x;0.000077883;0.000079384;0.002075477;x;x;0.000137438;9.43981E-05
188;Butane;Air;low. pop.;kg;7.93532E-05;x;1.3942E-06;1.42106E-06;5.85552E-05;x;x;9.00205E-06;8.98064E-06
189;Butene;Air;high. pop.;kg;5.61709E-05;x;1.8133E-06;1.84824E-06;4.8226E-05;x;x;2.67186E-06;1.6115E-06
190;Butene;Eau;river;kg;3.83554E-09;x;3.8097E-11;3.8832E-11;7.28812E-10;x;x;2.08992E-09;9.39874E-10
191;Butyl acetate;Eau;river;kg;1.39351E-08;x;1.2381E-10;1.26198E-10;1.30401E-09;x;x;9.30702E-09;3.07407E-09
192;Butyrolactone;Air;high. pop.;kg;9.97092E-12;x;8.8471E-14;9.0176E-14;9.50564E-13;x;x;6.61838E-12;2.22333E-12
193;Butyrolactone;Eau;river;kg;2.39308E-11;x;2.1233E-13;2.1642E-13;2.28137E-12;x;x;1.58845E-11;5.33614E-12
194;Cadmium;Brut;in ground;kg;0.000320935;x;9.9395E-08;1.0131E-07;6.1674E-07;x;x;0.000260363;0.000059755
195;Cadmium;Air;;kg;1.81259E-07;x;1.7869E-08;1.52522E-08;1.14421E-08;x;x;4.26672E-08;9.40281E-08
196;Cadmium;Air;high. pop.;kg;1.69232E-06;x;4.1561E-08;4.2362E-08;1.39947E-06;x;x;1.23755E-07;8.51703E-08
197;Cadmium;Air;low. pop.;kg;5.1632E-06;x;4.2885E-09;4.3712E-09;9.21047E-08;3.276E-07;x;3.48387E-06;1.25097E-06
198;Cadmium;Air;stratosphere + troposphere;kg;4.3727E-15;x;5.7719E-17;5.8832E-17;1.51502E-15;x;x;2.01038E-15;7.3075E-16
199;Cadmium;Sol;;kg;1.11421E-08;x;7.9654E-09;1.98596E-09;3.10928E-10;x;x;4.06841E-10;4.72934E-10
200;Cadmium;Sol;agricultural;kg;1.07045E-06;x;5.9965E-11;6.112E-11;1.59191E-09;x;0.00000106;3.57883E-09;5.16002E-09
201;Cadmium, ion;Eau;;kg;8.33427E-07;x;1.1213E-08;5.2956E-09;1.00478E-07;x;x;2.25228E-07;4.91212E-07
202;Cadmium, ion;Eau;groundwater;kg;1.83719E-07;x;3.0501E-10;3.109E-10;8.0357E-09;x;x;1.14206E-07;6.08613E-08
203;Cadmium, ion;Eau;lake;kg;6.55418E-14;x;5.8153E-16;5.9274E-16;6.25126E-15;x;x;4.34975E-14;1.46187E-14
204;Cadmium, ion;Eau;ocean;kg;2.36135E-07;x;4.8653E-09;4.959E-09;2.06018E-07;x;x;1.23291E-08;7.96388E-09
205;Cadmium, ion;Eau;river;kg;5.05885E-07;x;7.4684E-09;7.6124E-09;1.67453E-07;x;x;2.16562E-07;1.06789E-07
206;Calcite;Brut;in ground;kg;2.837273375;x;0.011388;0.0116076;0.280153692;x;x;0.887772083;1.646352
207;Calcium;Air;high. pop.;kg;3.71567E-05;x;2.9955E-07;3.0532E-07;9.22456E-06;x;x;1.23534E-05;1.49739E-05
208;Calcium;Air;low. pop.;kg;5.86216E-06;x;7.877E-09;8.0288E-09;2.24845E-07;x;x;1.72383E-06;3.89758E-06
209;Calcium;Sol;agricultural;kg;8.21982E-05;x;9.5919E-07;9.7768E-07;2.86421E-05;x;x;2.50337E-05;2.65856E-05
210;Calcium;Sol;industrial;kg;0.004908995;x;0.00011873;0.000121018;0.004304336;x;x;0.000231478;0.000133433
211;Calcium, ion;Eau;;kg;5.10697E-05;x;2.7924E-08;2.8462E-08;6.0072E-07;x;x;4.19252E-05;8.48743E-06
212;Calcium, ion;Eau;groundwater;kg;0.00435986;x;0.000023868;0.000024328;0.000727403;x;x;0.001894286;0.001689975
213;Calcium, ion;Eau;lake;kg;7.1081E-07;x;6.1883E-09;6.3076E-09;1.86529E-07;x;x;2.99538E-07;2.12247E-07
214;Calcium, ion;Eau;ocean;kg;0.027699791;x;0.00057658;0.00058768;0.024589328;x;x;0.001236247;0.000709956
215;Calcium, ion;Eau;river;kg;0.060260737;x;0.0017305;0.00176384;0.047429928;x;x;0.006051054;0.003285415
216;Carbetamide;Sol;agricultural;kg;2.0577E-08;x;1.6306E-11;1.66204E-11;1.45045E-10;x;x;7.02648E-09;1.33725E-08
217;Carbofuran;Sol;agricultural;kg;3.4633E-08;x;8.1373E-10;8.2942E-10;2.71489E-08;x;x;4.19561E-09;1.64535E-09
218;Carbon;Sol;agricultural;kg;1.83445E-05;x;3.7887E-07;3.8618E-07;1.03538E-05;x;x;4.25524E-06;2.97043E-06
219;Carbon;Sol;industrial;kg;0.003681699;x;0.000089048;0.000090764;0.003228203;x;x;0.00017361;0.000100074
220;Carbon-14;Air;low. pop.;Bq;474.4233007;x;2.782;2.8356;73.985184;x;x;185.0009167;209.8196
221;Carbon dioxide, biogenic;Air;;kg;0.021916154;x;0.00023654;0.0002411;0.006268954;x;x;0.007030671;0.00813889
222;Carbon dioxide, biogenic;Air;high. pop.;kg;0.290326114;x;0.0027292;0.0027818;0.079488864;x;x;0.12257575;0.0827505
223;Carbon dioxide, biogenic;Air;low. pop.;kg;0.051911159;x;0.00043056;0.00043886;0.012629635;x;x;0.019449233;0.01896287
224;Carbon dioxide, fossil;Air;;kg;16.41695489;x;3.8482;3.9214;0.75829572;x;x;2.620629167;5.26843
225;Carbon dioxide, fossil;Air;high. pop.;kg;21.00355113;x;0.25162;0.25646;7.6094928;x;x;7.454008333;5.43197
226;Carbon dioxide, fossil;Air;low. pop.;kg;114.1012913;x;0.30759;0.31352;6.719076;101.92;x;2.404433333;2.436672
227;Carbon dioxide, fossil;Air;stratosphere + troposphere;kg;1.37741E-06;x;1.8181E-08;1.8532E-08;4.77248E-07;x;x;6.33262E-07;2.30184E-07
228;Carbon dioxide, in air;Brut;in air;kg;0.47870033;x;0.0033887;0.003454;0.099662472;x;x;0.207245458;0.1649497
229;Carbon dioxide, land transformation;Air;low. pop.;kg;0.000928476;x;0.000016383;1.66988E-05;0.00053235;x;x;0.000193684;0.00016936
230;Carbon disulfide;Air;;kg;2.08112E-15;x;1.1379E-18;1.15982E-18;2.44796E-17;x;x;1.70848E-15;3.45861E-16
231;Carbon disulfide;Air;high. pop.;kg;6.06092E-10;x;7.4921E-13;7.6364E-13;1.83233E-11;x;x;5.04604E-10;8.16516E-11
232;Carbon disulfide;Air;low. pop.;kg;0.000377516;x;3.1538E-07;3.2146E-07;6.9674E-06;x;x;0.000275158;9.47533E-05
233;Carbon disulfide;Eau;river;kg;6.51271E-10;x;7.1623E-13;7.3004E-13;1.54513E-11;x;x;4.86496E-10;1.47878E-10
234;Carbon monoxide, biogenic;Air;high. pop.;kg;5.87267E-05;x;3.0455E-07;3.1042E-07;8.17591E-06;x;x;3.79083E-05;1.20276E-05
235;Carbon monoxide, biogenic;Air;low. pop.;kg;7.80168E-05;x;3.0908E-07;3.1504E-07;8.49139E-06;x;x;5.54932E-05;1.34081E-05
236;Carbon monoxide, fossil;Air;;kg;0.233257787;x;0.0093831;0.0035412;0.00923832;x;x;0.069792167;0.141303
237;Carbon monoxide, fossil;Air;high. pop.;kg;0.008549364;x;0.00006065;0.000061818;0.001797541;x;x;0.004561092;0.002068263
238;Carbon monoxide, fossil;Air;low. pop.;kg;0.283609949;x;0.00046967;0.00047872;0.012983116;0.261075862;x;0.003318242;0.00528434
239;Carbon monoxide, fossil;Air;stratosphere + troposphere;kg;1.61789E-09;x;2.1356E-11;2.1768E-11;5.60556E-10;x;x;7.43833E-10;2.70374E-10
240;Carbon, in organic matter, in soil;Brut;in ground;kg;4.37465E-05;x;1.0278E-06;1.04766E-06;3.42932E-05;x;x;5.29956E-06;2.07833E-06
241;Carbonate;Eau;river;kg;2.50843E-05;x;1.1464E-07;1.1685E-07;3.02817E-06;x;x;1.50895E-05;6.73511E-06
242;Carboxylic acids, unspecified;Eau;ocean;kg;0.004903746;x;0.00010245;0.000104428;0.004384598;x;x;0.000204973;0.000107296
243;Carboxylic acids, unspecified;Eau;river;kg;0.006651727;x;0.00020602;0.00021;0.005657324;x;x;0.000377802;0.000200581
244;Cerium-141;Air;low. pop.;Bq;0.000937246;x;1.7985E-06;1.83318E-06;1.5296E-05;x;x;0.000413047;0.000505272
245;Cerium-141;Eau;river;Bq;0.004021512;x;7.7169E-06;7.8656E-06;6.56314E-05;x;x;0.00177232;0.002167978
246;Cerium-144;Eau;river;Bq;0.00122427;x;2.3493E-06;2.3946E-06;1.99803E-05;x;x;0.00053954;0.000660006
247;Cesium;Eau;ocean;kg;8.70368E-07;x;1.8194E-08;1.85442E-08;7.78672E-07;x;x;3.61769E-08;1.87805E-08
248;Cesium;Eau;river;kg;1.80758E-06;x;5.5984E-08;5.7062E-08;1.53736E-06;x;x;1.02665E-07;5.45047E-08
249;Cesium-134;Air;low. pop.;Bq;4.48883E-05;x;8.6138E-08;8.7798E-08;7.32579E-07;x;x;1.97827E-05;2.41991E-05
250;Cesium-134;Eau;river;Bq;0.082796602;x;0.00058807;0.0005994;0.016619803;x;x;0.031947958;0.03304137
251;Cesium-136;Eau;river;Bq;0.000713732;x;1.3696E-06;0.000001396;1.16481E-05;x;x;0.000314555;0.000384763
252;Cesium-137;Air;low. pop.;Bq;0.000795731;x;1.5269E-06;1.55636E-06;1.29864E-05;x;x;0.000350683;0.000428978
253;Cesium-137;Eau;ocean;Bq;68.94575207;x;0.49415;0.50368;13.9325004;x;x;25.72929167;28.28613
254;Cesium-137;Eau;river;Bq;1.322028318;x;0.0034556;0.0035222;0.054276768;x;x;0.57312875;0.687645
255;Chloramine;Air;high. pop.;kg;4.87711E-11;x;4.4725E-14;4.5588E-14;6.68402E-13;x;x;2.43557E-11;2.36567E-11
256;Chloramine;Eau;river;kg;4.432E-10;x;4.0542E-13;4.1324E-13;6.01965E-12;x;x;2.20045E-10;2.16317E-10
257;Chlorate;Eau;river;kg;7.44891E-05;x;4.8565E-07;0.000000495;1.51387E-05;x;x;4.17463E-05;1.66234E-05
258;Chloride;Eau;;kg;0.000820966;x;6.1774E-06;6.2964E-06;0.000211413;x;x;0.000488395;0.000108684
259;Chloride;Eau;groundwater;kg;0.07833749;x;0.00025245;0.00025732;0.007630787;x;x;0.023991333;0.0462056
260;Chloride;Eau;ocean;kg;0.436669947;x;0.009128;0.0093038;0.390663;x;x;0.018151617;0.00942353
261;Chloride;Eau;river;kg;0.924984515;x;0.028285;0.02883;0.7773948;x;x;0.058041625;0.03243309
262;Chloride;Sol;;kg;0.001382679;x;0.000074913;0.000076356;0.000326021;x;x;0.000424685;0.000480704
263;Chloride;Sol;agricultural;kg;8.62981E-07;x;9.1891E-09;9.3662E-09;2.78745E-07;x;x;2.71934E-07;2.93747E-07
264;Chloride;Sol;industrial;kg;0.004295171;x;0.00010389;0.000105892;0.00376609;x;x;0.000202546;0.000116754
265;Chlorinated solvents, unspecified;Eau;ocean;kg;6.0854E-15;x;4.6148E-17;4.7038E-17;1.2363E-15;x;x;2.42166E-15;2.33426E-15
266;Chlorinated solvents, unspecified;Eau;river;kg;4.63704E-08;x;3.4921E-10;3.5594E-10;1.00337E-08;x;x;2.5323E-08;1.03086E-08
267;Chlorine;Air;;kg;6.52311E-09;x;5.0122E-12;5.1088E-12;9.05781E-11;x;x;6.25709E-09;1.65323E-10
268;Chlorine;Air;high. pop.;kg;2.88995E-05;x;3.3632E-07;3.428E-07;1.05553E-05;x;x;6.3165E-06;1.13486E-05
269;Chlorine;Air;low. pop.;kg;5.9374E-08;x;3.6209E-10;3.6906E-10;9.752E-09;x;x;2.30771E-08;2.58138E-08
270;Chlorine;Eau;river;kg;3.91447E-07;x;3.807E-09;3.8804E-09;9.77427E-08;x;x;1.10348E-07;1.75669E-07
271;Chloroacetic acid;Air;high. pop.;kg;5.51417E-09;x;1.9948E-11;2.0332E-11;1.60783E-10;x;x;1.83685E-09;3.47626E-09
272;Chloroacetic acid;Eau;river;kg;1.25255E-06;x;1.0292E-09;1.049E-09;9.00605E-09;x;x;4.24464E-07;8.16997E-07
273;Chloroacetyl chloride;Eau;river;kg;2.44045E-11;x;1.946E-14;1.98346E-14;1.75489E-13;x;x;8.3104E-12;1.58793E-11
274;Chloroform;Air;;kg;9.46908E-16;x;5.1774E-19;5.2772E-19;1.11384E-17;x;x;7.77355E-16;1.57368E-16
275;Chloroform;Air;high. pop.;kg;9.50886E-09;x;4.7348E-11;4.826E-11;9.54725E-10;x;x;4.25237E-09;4.20616E-09
276;Chloroform;Air;low. pop.;kg;3.6666E-10;x;1.3449E-12;1.3708E-12;3.40868E-11;x;x;1.99673E-10;1.30185E-10
277;Chloroform;Eau;river;kg;2.38021E-10;x;1.9389E-12;1.97628E-12;2.01687E-11;x;x;1.54526E-10;5.94109E-11
278;Chlorosilane, trimethyl-;Air;high. pop.;kg;1.49104E-09;x;2.4884E-11;2.5364E-11;6.31383E-10;x;x;3.97412E-10;4.11995E-10
279;Chlorosulfonic acid;Air;high. pop.;kg;9.035E-11;x;7.1466E-14;7.2844E-14;6.28304E-13;x;x;3.06031E-11;5.89743E-11
280;Chlorosulfonic acid;Eau;river;kg;2.2531E-10;x;1.7822E-13;1.81654E-13;1.56681E-12;x;x;7.63156E-11;1.47068E-10
281;Chlorothalonil;Sol;agricultural;kg;1.42326E-07;x;1.5779E-10;1.60828E-10;3.44897E-09;x;x;1.08118E-07;3.0441E-08
282;Chromium;Brut;in ground;kg;0.092719053;x;0.000032053;0.00003267;0.000784438;x;x;0.024722292;0.0671476
283;Chromium;Air;;kg;3.04163E-06;x;3.0182E-07;1.81464E-07;3.50106E-07;x;x;7.11591E-07;1.49665E-06
284;Chromium;Air;high. pop.;kg;1.33036E-06;x;2.1425E-08;2.1838E-08;7.56756E-07;x;x;2.46516E-07;2.83827E-07
285;Chromium;Air;low. pop.;kg;0.000320493;x;1.0493E-07;1.06948E-07;2.55734E-06;1.64428E-06;x;8.50738E-05;0.000231006
286;Chromium;Air;stratosphere + troposphere;kg;2.18637E-14;x;2.886E-16;2.9416E-16;7.57509E-15;x;x;1.00521E-14;3.65375E-15
287;Chromium;Sol;;kg;5.3139E-08;x;3.7989E-08;9.4714E-09;1.48285E-09;x;x;1.94029E-09;2.25545E-09
288;Chromium;Sol;agricultural;kg;1.10415E-07;x;7.7242E-10;7.873E-10;2.20173E-08;x;x;3.49977E-08;5.18407E-08
289;Chromium;Sol;industrial;kg;6.13633E-06;x;1.4841E-07;1.51274E-07;5.3805E-06;x;x;2.89358E-07;1.66789E-07
290;Chromium-51;Air;low. pop.;Bq;6.00596E-05;x;1.1525E-07;1.1747E-07;9.80179E-07;x;x;2.64691E-05;3.23776E-05
291;Chromium-51;Eau;river;Bq;0.766520358;x;0.0017054;0.00173828;0.020883845;x;x;0.335710833;0.406482
292;Chromium VI;Air;;kg;4.41617E-10;x;1.2395E-10;1.1835E-10;7.59868E-11;x;x;5.60939E-11;6.72364E-11
293;Chromium VI;Air;high. pop.;kg;4.70895E-08;x;2.377E-10;2.4228E-10;8.26928E-09;x;x;1.40686E-08;2.42716E-08
294;Chromium VI;Air;low. pop.;kg;7.97025E-06;x;2.6989E-09;2.7508E-09;6.63652E-08;x;x;2.1257E-06;5.77274E-06
295;Chromium VI;Eau;;kg;6.4816E-07;x;1.2655E-09;1.28984E-09;3.76543E-08;x;x;1.85928E-07;4.22022E-07
296;Chromium VI;Eau;groundwater;kg;2.57834E-06;x;3.1287E-08;3.189E-08;9.76576E-07;x;x;7.75611E-07;7.62977E-07
297;Chromium VI;Eau;river;kg;0.000103008;x;4.4523E-07;4.538E-07;1.31027E-05;x;x;3.25E-05;5.65064E-05
298;Chromium VI;Sol;;kg;6.95469E-06;x;7.5677E-08;7.7136E-08;1.64285E-06;x;x;3.29108E-06;1.86795E-06
299;Chromium, ion;Eau;;kg;8.47686E-07;x;4.6982E-08;1.86378E-08;2.84845E-07;x;x;1.8291E-07;3.14311E-07
300;Chromium, ion;Eau;groundwater;kg;5.86878E-08;x;5.2377E-11;5.3386E-11;6.35151E-10;x;x;2.01625E-08;3.77844E-08
301;Chromium, ion;Eau;ocean;kg;4.12525E-06;x;8.6141E-08;8.7802E-08;3.68386E-06;x;x;1.74518E-07;9.29292E-08
302;Chromium, ion;Eau;river;kg;3.24501E-06;x;1.1882E-07;1.21114E-07;2.43911E-06;x;x;3.038E-07;2.62164E-07
303;Chrysotile;Brut;in ground;kg;1.91304E-06;x;1.092E-08;1.11304E-08;3.33333E-07;x;x;1.06015E-06;4.97502E-07
304;Cinnabar;Brut;in ground;kg;1.61635E-07;x;1.011E-09;1.03052E-09;3.11128E-08;x;x;9.3439E-08;3.5042E-08
305;Clay;Brut;in ground;kg;0.27733882;x;0.0034045;0.00347;0.077569128;x;x;0.094523292;0.0983719
306;Clay, bentonite;Brut;in ground;kg;0.110935628;x;0.00040632;0.00041416;0.013875498;x;x;0.02961375;0.0666259
307;Coal, brown;Brut;in ground;kg;2.655942357;x;0.033012;0.033648;1.03092444;x;x;0.801337917;0.75702
308;Coal, hard;Brut;in ground;kg;8.124345;x;0.026307;0.026814;0.795249;x;x;2.521475;4.7545
309;Cobalt;Brut;in ground;kg;1.11223E-06;x;3.476E-08;3.543E-08;9.70417E-07;x;x;4.68123E-08;2.48085E-08
310;Cobalt;Air;;kg;1.3662E-09;x;2.3853E-11;2.4312E-11;5.21081E-10;x;x;3.61018E-10;4.35934E-10
311;Cobalt;Air;high. pop.;kg;1.99954E-06;x;4.3149E-08;4.398E-08;1.50608E-06;x;x;2.23748E-07;1.82584E-07
312;Cobalt;Air;low. pop.;kg;4.99245E-06;x;3.6182E-09;3.688E-09;1.03289E-07;x;x;1.37866E-06;3.5032E-06
313;Cobalt;Eau;;kg;3.51986E-10;x;1.9246E-13;1.96166E-13;4.14021E-12;x;x;2.8896E-10;5.8497E-11
314;Cobalt;Eau;groundwater;kg;7.40169E-07;x;3.3358E-09;3.4E-09;1.00403E-07;x;x;3.54261E-07;2.78769E-07
315;Cobalt;Eau;ocean;kg;2.07692E-09;x;1.4886E-11;1.51728E-11;4.19688E-10;x;x;7.75059E-10;8.5211E-10
316;Cobalt;Eau;river;kg;1.73906E-06;x;1.7467E-08;1.78036E-08;5.73103E-07;x;x;4.76713E-07;6.53975E-07
317;Cobalt;Sol;agricultural;kg;5.10472E-09;x;5.405E-11;5.5092E-11;1.62588E-09;x;x;1.64817E-09;1.72154E-09
318;Cobalt-57;Eau;river;Bq;0.022656601;x;0.000043476;0.000044314;0.000369762;x;x;0.009984979;0.01221407
319;Cobalt-58;Air;low. pop.;Bq;8.36365E-05;x;1.6049E-07;1.63582E-07;1.36491E-06;x;x;3.68593E-05;4.50882E-05
320;Cobalt-58;Eau;river;Bq;3.463089101;x;0.0094666;0.009649;0.156786084;x;x;1.495240417;1.791947
321;Cobalt-60;Air;low. pop.;Bq;0.000738845;x;1.4178E-06;1.4451E-06;1.2058E-05;x;x;0.000325619;0.000398305
322;Cobalt-60;Eau;river;Bq;3.045125061;x;0.0078942;0.0080464;0.122614128;x;x;1.319788333;1.586782
323;COD, Chemical Oxygen Demand;Eau;;kg;0.00099248;x;1.9399E-06;1.97734E-06;5.714E-05;x;x;0.000297021;0.000634402
324;COD, Chemical Oxygen Demand;Eau;groundwater;kg;1.17621E-06;x;3.7896E-09;3.8626E-09;1.14843E-07;x;x;3.62078E-07;6.91641E-07
325;COD, Chemical Oxygen Demand;Eau;ocean;kg;0.088963248;x;0.0022469;0.0022902;0.078152256;x;x;0.003959542;0.00231435
326;COD, Chemical Oxygen Demand;Eau;river;kg;0.477425084;x;0.010096;0.0102908;0.42594552;x;x;0.020485604;0.01060716
327;Colemanite;Brut;in ground;kg;2.18505E-05;x;1.9892E-07;2.0274E-07;3.76019E-06;x;x;1.10549E-05;6.63373E-06
328;Copper;Air;;kg;3.04332E-05;x;0.000018521;9.8314E-06;5.43259E-07;x;x;6.08595E-07;9.28959E-07
329;Copper;Air;high. pop.;kg;4.67786E-06;x;7.467E-08;7.611E-08;2.3655E-06;x;x;1.57554E-06;5.86043E-07
330;Copper;Air;low. pop.;kg;0.000116795;x;7.0513E-08;7.1872E-08;1.6645E-06;5.57297E-05;x;3.621E-05;2.30488E-05
331;Copper;Air;stratosphere + troposphere;kg;7.43344E-13;x;9.812E-15;1.0001E-14;2.57546E-13;x;x;3.41762E-13;1.24224E-13
332;Copper;Sol;;kg;5.08707E-06;x;5.803E-07;1.81046E-07;1.04632E-06;x;x;2.08127E-06;1.19813E-06
333;Copper;Sol;agricultural;kg;5.03435E-08;x;8.7125E-10;8.8804E-10;2.34247E-08;x;x;1.79871E-08;7.17245E-09
334;Copper;Sol;industrial;kg;9.88028E-08;x;9.6146E-10;9.8E-10;2.85451E-08;x;x;4.96146E-08;1.87017E-08
335;Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;0.003581497;x;2.7814E-06;0.000002835;5.54561E-05;x;x;0.002579996;0.000940429
336;Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;0.019855785;x;0.000015305;1.55996E-05;0.000304887;x;x;0.014305583;0.00521441
337;Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;0.005267043;x;4.0598E-06;0.000004138;8.08746E-05;x;x;0.0037948;0.001383171
338;Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;0.026118387;x;0.000020198;0.000020588;0.000401703;x;x;0.018817208;0.00685869
339;Copper, ion;Eau;;kg;4.19201E-06;x;5.4171E-07;1.41716E-07;2.82159E-07;x;x;1.0038E-06;2.22263E-06
340;Copper, ion;Eau;groundwater;kg;1.0761E-06;x;2.3437E-09;2.389E-09;6.44815E-08;x;x;6.74381E-07;3.32501E-07
341;Copper, ion;Eau;lake;kg;2.97491E-12;x;2.6395E-14;2.6904E-14;2.83747E-13;x;x;1.97434E-12;6.63521E-13
342;Copper, ion;Eau;ocean;kg;9.57122E-07;x;1.8507E-08;1.88634E-08;7.57608E-07;x;x;1.1259E-07;4.95541E-08
343;Copper, ion;Eau;river;kg;4.07998E-06;x;2.9199E-08;2.9762E-08;7.86502E-07;x;x;2.65861E-06;5.75905E-07
344;Cumene;Air;;kg;8.49794E-17;x;4.6464E-20;4.736E-20;9.99606E-19;x;x;6.97635E-17;1.41225E-17
345;Cumene;Air;high. pop.;kg;1.33344E-05;x;1.1662E-07;1.1887E-07;3.4303E-06;x;x;7.11658E-06;2.55204E-06
346;Cumene;Air;low. pop.;kg;2.03698E-11;x;7.4716E-14;7.6156E-14;1.89363E-12;x;x;1.10929E-11;7.23239E-12
347;Cumene;Eau;river;kg;3.20419E-05;x;2.8024E-07;2.8564E-07;8.24274E-06;x;x;1.71009E-05;6.13238E-06
348;Cyanide;Air;;kg;4.00619E-14;x;2.1904E-17;2.2326E-17;4.7122E-16;x;x;3.28887E-14;6.65778E-15
349;Cyanide;Air;high. pop.;kg;1.15035E-06;x;2.83E-09;2.8846E-09;7.35757E-08;x;x;7.93211E-07;2.77852E-07
