SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:47;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 m3 _Oak logs for timber, manually felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak logs for timber, manually felled, 80% water on dry mass basis, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_357XP/Husqvarna U (2009);Operation, passenger car, diesel, fleet average/RER S
261;Chloride;Eau;river;kg;0.012789081;x;0.011252143;0.001536939
262;Chloride;Sol;;kg;9.85084E-06;x;5.78027E-06;4.07057E-06
263;Chloride;Sol;agricultural;kg;8.62181E-09;x;8.1225E-09;4.99316E-10
264;Chloride;Sol;industrial;kg;6.01944E-05;x;5.45492E-05;5.64514E-06
265;Chlorinated solvents, unspecified;Eau;ocean;kg;2.1083E-12;x;2.1083E-12;2.50761E-18
266;Chlorinated solvents, unspecified;Eau;river;kg;3.28535E-10;x;3.0956E-10;1.89753E-11
267;Chlorine;Air;;kg;2.97543E-11;x;2.94819E-11;2.72352E-13
268;Chlorine;Air;high. pop.;kg;2.06379E-07;x;1.88104E-07;1.82748E-08
269;Chlorine;Air;low. pop.;kg;2.75147E-10;x;2.55472E-10;1.96747E-11
270;Chlorine;Eau;river;kg;4.58455E-09;x;4.37768E-09;2.06866E-10
271;Chloroacetic acid;Air;high. pop.;kg;4.10831E-12;x;3.0244E-12;1.08391E-12
272;Chloroacetic acid;Eau;river;kg;2.4437E-10;x;1.88448E-10;5.59226E-11
273;Chloroacetyl chloride;Eau;river;kg;4.83359E-15;x;3.7762E-15;1.05739E-15
274;Chloroform;Air;;kg;6.06569E-19;x;5.78437E-19;2.8133E-20
275;Chloroform;Air;high. pop.;kg;9.21911E-11;x;8.96183E-11;2.57276E-12
276;Chloroform;Air;low. pop.;kg;1.04372E-12;x;9.70641E-13;7.30779E-14
277;Chloroform;Eau;river;kg;1.00626E-11;x;9.95727E-12;1.05356E-13
278;Chlorosilane, trimethyl-;Air;high. pop.;kg;2.13646E-11;x;2.00125E-11;1.35216E-12
279;Chlorosulfonic acid;Air;high. pop.;kg;1.71249E-14;x;1.32416E-14;3.88334E-15
280;Chlorosulfonic acid;Eau;river;kg;4.27054E-14;x;3.30213E-14;9.68405E-15
281;Chlorothalonil;Sol;agricultural;kg;1.43297E-10;x;1.34723E-10;8.5738E-12
282;Chromium;Brut;in ground;kg;0.000658121;x;0.000656379;1.74165E-06
283;Chromium;Air;;kg;1.80263E-08;x;8.35236E-09;9.67392E-09
284;Chromium;Air;high. pop.;kg;1.77876E-08;x;1.66234E-08;1.16419E-09
285;Chromium;Air;low. pop.;kg;2.26306E-06;x;2.25736E-06;5.70144E-09
286;Chromium;Air;stratosphere + troposphere;kg;1.82614E-15;x;1.81046E-15;1.56818E-17
287;Chromium;Sol;;kg;5.30695E-10;x;2.57713E-11;5.04924E-10
288;Chromium;Sol;agricultural;kg;6.9036E-10;x;6.48389E-10;4.19713E-11
289;Chromium;Sol;industrial;kg;8.5994E-08;x;7.79296E-08;8.06448E-09
290;Chromium-51;Air;low. pop.;Bq;3.01368E-08;x;2.38744E-08;6.26237E-09
291;Chromium-51;Eau;river;Bq;0.000622519;x;0.00052985;9.26684E-05
292;Chromium VI;Air;;kg;7.77755E-12;x;1.46826E-12;6.30928E-12
293;Chromium VI;Air;high. pop.;kg;3.02028E-10;x;2.89112E-10;1.2916E-11
294;Chromium VI;Air;low. pop.;kg;5.66303E-08;x;5.64836E-08;1.46646E-10
295;Chromium VI;Eau;;kg;8.55701E-10;x;7.8694E-10;6.87619E-11
296;Chromium VI;Eau;groundwater;kg;2.69065E-08;x;2.52065E-08;1.70007E-09
297;Chromium VI;Eau;river;kg;3.57802E-07;x;3.33609E-07;2.41923E-08
298;Chromium VI;Sol;;kg;4.09875E-08;x;3.68753E-08;4.11215E-09
299;Chromium, ion;Eau;;kg;6.85892E-09;x;5.86533E-09;9.93588E-10
300;Chromium, ion;Eau;groundwater;kg;1.79517E-11;x;1.51057E-11;2.84603E-12
301;Chromium, ion;Eau;ocean;kg;5.86038E-08;x;5.39231E-08;4.68076E-09
302;Chromium, ion;Eau;river;kg;4.35611E-08;x;3.71045E-08;6.45663E-09
303;Chrysotile;Brut;in ground;kg;8.02395E-09;x;7.43058E-09;5.93366E-10
304;Cinnabar;Brut;in ground;kg;7.5076E-10;x;6.95823E-10;5.49374E-11
305;Clay;Brut;in ground;kg;0.00376362;x;0.003578633;0.000184987
306;Clay, bentonite;Brut;in ground;kg;0.000248955;x;0.000226876;2.2079E-05
307;Coal, brown;Brut;in ground;kg;0.028341931;x;0.026548143;0.001793788
308;Coal, hard;Brut;in ground;kg;0.023100709;x;0.021671244;0.001429465
309;Cobalt;Brut;in ground;kg;6.56103E-09;x;4.67224E-09;1.88879E-09
310;Cobalt;Air;;kg;1.14211E-11;x;1.0125E-11;1.29608E-12
311;Cobalt;Air;high. pop.;kg;3.42693E-08;x;3.19247E-08;2.34459E-09
312;Cobalt;Air;low. pop.;kg;2.87108E-08;x;2.85141E-08;1.96609E-10
313;Cobalt;Eau;;kg;2.2548E-13;x;2.15022E-13;1.04577E-14
314;Cobalt;Eau;groundwater;kg;3.25129E-09;x;3.07003E-09;1.81255E-10
315;Cobalt;Eau;ocean;kg;1.17112E-11;x;1.09023E-11;8.08868E-13
316;Cobalt;Eau;river;kg;1.48301E-08;x;1.3881E-08;9.49117E-10
317;Cobalt;Sol;agricultural;kg;5.63138E-11;x;5.33768E-11;2.93698E-12
318;Cobalt-57;Eau;river;Bq;1.13688E-05;x;9.00637E-06;2.3624E-06
319;Cobalt-58;Air;low. pop.;Bq;4.19672E-08;x;3.32465E-08;8.72062E-09
320;Cobalt-58;Eau;river;Bq;0.004547322;x;0.00403293;0.000514392
321;Cobalt-60;Air;low. pop.;Bq;3.70734E-07;x;2.93695E-07;7.70388E-08
322;Cobalt-60;Eau;river;Bq;0.003573146;x;0.003144189;0.000428957
323;COD, Chemical Oxygen Demand;Eau;;kg;2.71273E-06;x;2.60732E-06;1.05413E-07
324;COD, Chemical Oxygen Demand;Eau;groundwater;kg;3.31896E-09;x;3.11304E-09;2.05917E-10
325;COD, Chemical Oxygen Demand;Eau;ocean;kg;0.001253011;x;0.00113092;0.000122091
326;COD, Chemical Oxygen Demand;Eau;river;kg;0.006693053;x;0.006144447;0.000548607
327;Colemanite;Brut;in ground;kg;4.35098E-07;x;4.2429E-07;1.08081E-08
328;Copper;Air;;kg;5.33779E-07;x;9.66344E-09;5.24116E-07
329;Copper;Air;high. pop.;kg;6.05027E-08;x;5.64453E-08;4.05745E-09
330;Copper;Air;low. pop.;kg;1.70992E-07;x;1.6716E-07;3.83152E-09
331;Copper;Air;stratosphere + troposphere;kg;6.2087E-14;x;6.15538E-14;5.33157E-16
332;Copper;Sol;;kg;3.30345E-08;x;2.33829E-08;9.65163E-09
333;Copper;Sol;agricultural;kg;1.19821E-09;x;1.15086E-09;4.73418E-11
334;Copper;Sol;industrial;kg;3.85875E-10;x;3.33631E-10;5.22442E-11
335;Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;5.59437E-06;x;5.44324E-06;1.51135E-07
336;Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;3.07601E-05;x;2.99284E-05;8.31621E-07
337;Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;8.15949E-06;x;7.93889E-06;2.20598E-07
338;Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;4.08238E-05;x;3.97262E-05;1.09755E-06
339;Copper, ion;Eau;;kg;1.33571E-08;x;5.80212E-09;7.55494E-09
340;Copper, ion;Eau;groundwater;kg;3.02605E-09;x;2.89869E-09;1.27359E-10
341;Copper, ion;Eau;lake;kg;1.35867E-13;x;1.34433E-13;1.43426E-15
342;Copper, ion;Eau;ocean;kg;1.68229E-08;x;1.58173E-08;1.00562E-09
343;Copper, ion;Eau;river;kg;2.93569E-08;x;2.77702E-08;1.58662E-09
344;Cumene;Air;;kg;5.44362E-20;x;5.19114E-20;2.52478E-21
345;Cumene;Air;high. pop.;kg;5.02465E-08;x;4.39095E-08;6.33701E-09
346;Cumene;Air;low. pop.;kg;5.7983E-14;x;5.39231E-14;4.05991E-15
347;Cumene;Eau;river;kg;1.20743E-07;x;1.05516E-07;1.52276E-08
348;Cyanide;Air;;kg;2.56623E-17;x;2.44721E-17;1.19021E-18
349;Cyanide;Air;high. pop.;kg;2.68482E-09;x;2.53104E-09;1.53779E-10
350;Cyanide;Air;low. pop.;kg;2.61928E-08;x;2.60331E-08;1.59739E-10
351;Cyanide;Eau;;kg;5.04618E-09;x;4.62972E-09;4.16461E-10
352;Cyanide;Eau;ocean;kg;5.21947E-08;x;4.86106E-08;3.58406E-09
353;Cyanide;Eau;river;kg;7.57235E-08;x;6.98598E-08;5.86372E-09
354;Cyanoacetic acid;Air;high. pop.;kg;1.40247E-14;x;1.08444E-14;3.18028E-15
355;Cypermethrin;Sol;agricultural;kg;6.43167E-11;x;5.80538E-11;6.2629E-12
356;Diatomite;Brut;in ground;kg;6.3603E-12;x;4.51682E-12;1.84347E-12
357;Dichromate;Eau;river;kg;1.06895E-09;x;9.61783E-10;1.07165E-10
358;Diethylamine;Air;high. pop.;kg;1.18727E-13;x;1.06909E-13;1.18178E-14
359;Diethylamine;Eau;river;kg;2.84948E-13;x;2.56586E-13;2.83622E-14
360;Dimethyl malonate;Air;high. pop.;kg;1.75868E-14;x;1.35988E-14;3.98804E-15
361;Dimethylamine;Eau;river;kg;2.26996E-13;x;1.90454E-13;3.65421E-14
362;Dinitrogen monoxide;Air;;kg;8.87134E-06;x;1.00795E-06;7.86339E-06
363;Dinitrogen monoxide;Air;high. pop.;kg;2.44264E-06;x;2.25921E-06;1.8343E-07
364;Dinitrogen monoxide;Air;low. pop.;kg;2.71594E-06;x;2.42703E-06;2.8891E-07
365;Dinitrogen monoxide;Air;stratosphere + troposphere;kg;1.09566E-12;x;1.08625E-12;9.40907E-15
366;Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;Air;;kg;5.58529E-14;x;5.12995E-14;4.55345E-15
367;Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;Air;high. pop.;kg;8.82571E-15;x;8.27723E-15;5.48479E-16
368;Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;Air;low. pop.;kg;2.56993E-14;x;2.46154E-14;1.08391E-15
369;Dipropylamine;Air;high. pop.;kg;7.50147E-14;x;6.76505E-14;7.36419E-15
370;Dipropylamine;Eau;river;kg;1.80039E-13;x;1.62365E-13;1.76745E-14
371;DOC, Dissolved Organic Carbon;Eau;;kg;8.96222E-07;x;8.7975E-07;1.64718E-08
372;DOC, Dissolved Organic Carbon;Eau;lake;kg;1.44373E-09;x;1.25964E-09;1.84091E-10
373;DOC, Dissolved Organic Carbon;Eau;ocean;kg;0.000409767;x;0.000370907;3.88601E-05
374;DOC, Dissolved Organic Carbon;Eau;river;kg;0.001977372;x;0.001809988;0.000167384
375;Dolomite;Brut;in ground;kg;2.23741E-05;x;2.08064E-05;1.56775E-06
376;Energy, gross calorific value, in biomass;Brut;biotic;MJ;0.035593482;x;0.033882965;0.001710517
377;Energy, gross calorific value, in biomass, primary forest;Brut;biotic;MJ;3.98311E-05;x;3.5959E-05;3.87215E-06
378;Energy, kinetic (in wind), converted;Brut;in air;MJ;0.011768981;x;0.011033191;0.00073579
379;Energy, potential (in hydropower reservoir), converted;Brut;in water;MJ;0.106240839;x;0.100172624;0.006068215
380;Energy, solar, converted;Brut;in air;MJ;0.00016785;x;0.000156257;1.15929E-05
381;Ethane;Air;;kg;1.522E-10;x;1.45141E-10;7.05904E-12
382;Ethane;Air;high. pop.;kg;8.71104E-06;x;7.67174E-06;1.0393E-06
383;Ethane;Air;low. pop.;kg;6.75167E-06;x;6.39467E-06;3.56998E-07
384;Ethane, 1,1-difluoro-, HFC-152a;Air;high. pop.;kg;6.17627E-11;x;5.75189E-11;4.24383E-12
385;Ethane, 1,1,1-trichloro-, HCFC-140;Air;;kg;1.12205E-18;x;1.07E-18;5.20405E-20
386;Ethane, 1,1,1-trichloro-, HCFC-140;Air;low. pop.;kg;2.12956E-13;x;1.98045E-13;1.49109E-14
387;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Air;;kg;1.15619E-08;x;6.45713E-09;5.10479E-09
388;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Air;high. pop.;kg;8.56784E-12;x;8.46147E-12;1.0637E-13
389;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Air;low. pop.;kg;4.89217E-11;x;4.53413E-11;3.58033E-12
390;Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;Air;high. pop.;kg;3.60798E-12;x;3.57056E-12;3.74132E-14
391;Ethane, 1,2-dichloro-;Air;high. pop.;kg;8.30722E-09;x;7.84848E-09;4.58736E-10
392;Ethane, 1,2-dichloro-;Air;low. pop.;kg;4.25381E-13;x;3.95596E-13;2.97845E-14
393;Ethane, 1,2-dichloro-;Eau;river;kg;4.6325E-10;x;4.26946E-10;3.63044E-11
394;Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114;Air;low. pop.;kg;8.4449E-10;x;7.8091E-10;6.35801E-11
395;Ethane, hexafluoro-, HFC-116;Air;;kg;2.82728E-09;x;2.74014E-09;8.71497E-11
396;Ethane, hexafluoro-, HFC-116;Air;high. pop.;kg;2.50174E-10;x;2.47491E-10;2.68301E-12
397;Ethanol;Air;high. pop.;kg;6.01449E-08;x;5.48755E-08;5.26941E-09
398;Ethanol;Air;low. pop.;kg;2.88284E-10;x;2.66374E-10;2.19095E-11
399;Ethanol;Eau;river;kg;1.14431E-09;x;1.13157E-09;1.27454E-11
400;Ethene;Air;high. pop.;kg;1.79115E-06;x;1.58872E-06;2.0243E-07
401;Ethene;Air;low. pop.;kg;2.08312E-07;x;1.98535E-07;9.77691E-09
402;Ethene;Eau;river;kg;4.83548E-08;x;4.19997E-08;6.35513E-09
403;Ethene, chloro-;Air;;kg;4.11045E-19;x;3.9198E-19;1.90649E-20
404;Ethene, chloro-;Air;high. pop.;kg;3.76576E-09;x;3.63045E-09;1.35312E-10
405;Ethene, chloro-;Eau;river;kg;2.32458E-11;x;2.20806E-11;1.16515E-12
406;Ethene, tetrachloro-;Air;;kg;8.88745E-16;x;8.47525E-16;4.12207E-17
407;Ethene, tetrachloro-;Air;high. pop.;kg;6.32207E-14;x;5.95332E-14;3.68748E-15
408;Ethene, tetrachloro-;Air;low. pop.;kg;4.57538E-13;x;4.25501E-13;3.20363E-14
409;Ethyl acetate;Air;high. pop.;kg;1.3648E-07;x;1.35054E-07;1.42616E-09
410;Ethyl acetate;Eau;river;kg;3.80068E-13;x;3.49181E-13;3.0887E-14
411;Ethyl cellulose;Air;high. pop.;kg;2.75999E-10;x;2.73138E-10;2.86149E-12
412;Ethylamine;Air;high. pop.;kg;1.43329E-14;x;1.29862E-14;1.34673E-15
413;Ethylamine;Eau;river;kg;3.4399E-14;x;3.11669E-14;3.2321E-15
414;Ethylene diamine;Air;high. pop.;kg;1.55325E-13;x;1.38887E-13;1.64377E-14
415;Ethylene diamine;Eau;river;kg;3.73959E-13;x;3.34265E-13;3.96938E-14
416;Ethylene oxide;Air;;kg;1.55696E-11;x;1.54359E-11;1.33702E-13
417;Ethylene oxide;Air;high. pop.;kg;6.99805E-10;x;6.18933E-10;8.08729E-11
418;Ethylene oxide;Air;low. pop.;kg;1.09796E-12;x;1.08853E-12;9.42858E-15
419;Ethylene oxide;Air;stratosphere + troposphere;kg;6.67233E-12;x;6.61503E-12;5.73001E-14
420;Ethylene oxide;Eau;river;kg;8.5915E-11;x;8.48077E-11;1.10736E-12
421;Ethyne;Air;;kg;1.51878E-10;x;1.44413E-10;7.46559E-12
422;Ethyne;Air;high. pop.;kg;2.27113E-08;x;2.25114E-08;1.99935E-10
423;Ethyne;Air;low. pop.;kg;4.52669E-09;x;4.14033E-09;3.86351E-10
424;Feldspar;Brut;in ground;kg;3.46367E-11;x;3.32907E-11;1.34598E-12
425;Fenpiclonil;Sol;agricultural;kg;6.37388E-12;x;5.86893E-12;5.04945E-13
426;Fluoride;Eau;;kg;3.39748E-08;x;3.11908E-08;2.78398E-09
427;Fluoride;Eau;groundwater;kg;1.40582E-07;x;1.32866E-07;7.71572E-09
428;Fluoride;Eau;ocean;kg;1.33709E-06;x;1.22999E-06;1.07101E-07
429;Fluoride;Eau;river;kg;2.11849E-06;x;1.92738E-06;1.91107E-07
430;Fluoride;Sol;;kg;2.77365E-08;x;2.49552E-08;2.78131E-09
431;Fluoride;Sol;industrial;kg;8.5994E-07;x;7.79296E-07;8.06448E-08
432;Fluorine;Air;;kg;1.71759E-12;x;1.60284E-12;1.14745E-13
433;Fluorine;Air;high. pop.;kg;1.03286E-09;x;9.73141E-10;5.97183E-11
434;Fluorine;Air;low. pop.;kg;1.16361E-08;x;1.15231E-08;1.12997E-10
435;Fluorine, 4.5% in apatite, 1% in crude ore, in ground;Brut;in ground;kg;1.84824E-06;x;1.69685E-06;1.51391E-07
436;Fluorine, 4.5% in apatite, 3% in crude ore, in ground;Brut;in ground;kg;8.15788E-07;x;7.48713E-07;6.70741E-08
437;Fluorspar;Brut;in ground;kg;5.44648E-05;x;5.00708E-05;4.39406E-06
438;Fluosilicic acid;Air;high. pop.;kg;3.30438E-09;x;3.20253E-09;1.01855E-10
439;Fluosilicic acid;Eau;river;kg;5.94798E-09;x;5.76464E-09;1.83334E-10
440;Formaldehyde;Air;;kg;4.41938E-06;x;4.0673E-08;4.3787E-06
441;Formaldehyde;Air;high. pop.;kg;1.48489E-07;x;1.38656E-07;9.83278E-09
442;Formaldehyde;Air;low. pop.;kg;3.72066E-08;x;3.47623E-08;2.44428E-09
443;Formaldehyde;Air;stratosphere + troposphere;kg;5.75264E-12;x;5.70324E-12;4.93995E-14
444;Formaldehyde;Eau;;kg;2.95638E-07;x;2.94815E-07;8.23091E-10
445;Formaldehyde;Eau;river;kg;1.52272E-10;x;1.45746E-10;6.52519E-12
446;Formamide;Air;high. pop.;kg;1.1325E-14;x;1.03995E-14;9.25522E-16
447;Formamide;Eau;river;kg;2.71811E-14;x;2.49597E-14;2.22134E-15
448;Formate;Eau;river;kg;3.98667E-12;x;3.20759E-12;7.79089E-13
449;Formic acid;Air;high. pop.;kg;1.70787E-10;x;1.69017E-10;1.77012E-12
450;Formic acid;Air;low. pop.;kg;2.59479E-09;x;2.34255E-09;2.52243E-10
451;Formic acid;Eau;river;kg;7.89017E-15;x;7.24536E-15;6.4481E-16
452;Furan;Air;;kg;8.73196E-20;x;8.32698E-20;4.04988E-21
453;Furan;Air;low. pop.;kg;7.36819E-10;x;6.65192E-10;7.16268E-11
454;Gallium;Brut;in ground;kg;4.75658E-13;x;4.42959E-13;3.26995E-14
455;Gas, mine, off-gas, process, coal mining/m3;Brut;in ground;m3;0.000223947;x;0.000209979;1.39684E-05
456;Gas, natural/m3;Brut;in ground;m3;0.048095533;x;0.042815033;0.005280501
457;Glutaraldehyde;Eau;ocean;kg;1.66169E-08;x;1.52889E-08;1.32807E-09
458;Glyphosate;Sol;agricultural;kg;1.13496E-09;x;9.5045E-10;1.84507E-10
459;Glyphosate;Sol;industrial;kg;2.17734E-09;x;1.58325E-09;5.94091E-10
460;Gold;Brut;in ground;kg;5.93596E-10;x;5.87441E-10;6.155E-12
461;Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore, in ground;Brut;in ground;kg;2.70346E-10;x;2.67542E-10;2.80327E-12
462;Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore, in ground;Brut;in ground;kg;4.95756E-10;x;4.90616E-10;5.14061E-12
463;Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground;Brut;in ground;kg;9.0665E-10;x;8.97249E-10;9.40107E-12
464;Gold, Au 4.3E-4%, in ore, in ground;Brut;in ground;kg;2.24701E-10;x;2.22371E-10;2.32998E-12
465;Gold, Au 4.9E-5%, in ore, in ground;Brut;in ground;kg;5.38197E-10;x;5.32616E-10;5.58053E-12
466;Gold, Au 6.7E-4%, in ore, in ground;Brut;in ground;kg;8.33217E-10;x;8.24578E-10;8.63969E-12
467;Gold, Au 7.1E-4%, in ore, in ground;Brut;in ground;kg;9.39535E-10;x;9.29793E-10;9.74205E-12
468;Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore, in ground;Brut;in ground;kg;5.62987E-11;x;5.57149E-11;5.8377E-13
469;Granite;Brut;in ground;kg;2.03285E-13;x;1.98166E-13;5.11876E-15
470;Gravel;Brut;in ground;kg;0.03549803;x;0.029408384;0.006089646
471;Gypsum;Brut;in ground;kg;2.53398E-08;x;2.22594E-08;3.08038E-09
472;Heat, waste;Air;;MJ;3.40960922;x;0.40482248;3.00478674
473;Heat, waste;Air;high. pop.;MJ;3.16077186;x;2.96453632;0.19623554
474;Heat, waste;Air;low. pop.;MJ;2.121321841;x;1.86463232;0.256689521
475;Heat, waste;Air;stratosphere + troposphere;MJ;1.66542E-06;x;1.65112E-06;1.43021E-08
476;Heat, waste;Eau;;MJ;0.001255277;x;0.001227441;2.78366E-05
477;Heat, waste;Eau;ocean;MJ;1.26542E-05;x;1.17521E-05;9.02161E-07
478;Heat, waste;Eau;river;MJ;0.715972555;x;0.662158916;0.053813639
479;Heat, waste;Sol;;MJ;0.005917037;x;0.005159816;0.000757221
480;Heat, waste;Sol;industrial;MJ;0.000208552;x;0.000191766;1.67853E-05
481;Helium;Air;;kg;4.03468E-16;x;3.70788E-16;3.26803E-17
482;Helium;Air;low. pop.;kg;1.63646E-06;x;1.25897E-06;3.77491E-07
483;Heptane;Air;high. pop.;kg;8.04101E-06;x;7.05572E-06;9.85293E-07
484;Hexane;Air;;kg;8.80971E-11;x;8.40111E-11;4.08603E-12
485;Hexane;Air;high. pop.;kg;1.93569E-05;x;1.72436E-05;2.11333E-06
486;Hexane;Air;low. pop.;kg;1.99314E-08;x;1.84955E-08;1.43586E-09
487;Hydrocarbons, aliphatic, alkanes, cyclic;Air;high. pop.;kg;9.03601E-10;x;7.9553E-10;1.08071E-10
488;Hydrocarbons, aliphatic, alkanes, cyclic;Air;low. pop.;kg;6.16725E-12;x;5.73543E-12;4.31825E-13
489;Hydrocarbons, aliphatic, alkanes, unspecified;Air;;kg;8.07249E-07;x;7.35918E-07;7.13304E-08
490;Hydrocarbons, aliphatic, alkanes, unspecified;Air;high. pop.;kg;8.50446E-05;x;8.49316E-05;1.12997E-07
491;Hydrocarbons, aliphatic, alkanes, unspecified;Air;low. pop.;kg;3.82737E-07;x;3.62601E-07;2.01364E-08
492;Hydrocarbons, aliphatic, alkanes, unspecified;Eau;ocean;kg;1.58793E-06;x;1.45941E-06;1.28521E-07
493;Hydrocarbons, aliphatic, alkanes, unspecified;Eau;river;kg;3.27805E-06;x;2.88259E-06;3.95467E-07
494;Hydrocarbons, aliphatic, unsaturated;Air;;kg;2.55589E-17;x;2.37367E-17;1.82215E-18
495;Hydrocarbons, aliphatic, unsaturated;Air;high. pop.;kg;1.54591E-05;x;1.54547E-05;4.42402E-09
496;Hydrocarbons, aliphatic, unsaturated;Air;low. pop.;kg;1.11085E-07;x;1.04023E-07;7.06139E-09
497;Hydrocarbons, aliphatic, unsaturated;Eau;ocean;kg;1.46578E-07;x;1.34715E-07;1.18637E-08
498;Hydrocarbons, aliphatic, unsaturated;Eau;river;kg;3.02589E-07;x;2.66085E-07;3.65048E-08
499;Hydrocarbons, aromatic;Air;;kg;2.57483E-07;x;2.38753E-07;1.87301E-08
500;Hydrocarbons, aromatic;Air;high. pop.;kg;1.56054E-05;x;1.56021E-05;3.24618E-09
501;Hydrocarbons, aromatic;Air;low. pop.;kg;1.42863E-07;x;1.35934E-07;6.92992E-09
502;Hydrocarbons, aromatic;Eau;ocean;kg;6.72562E-06;x;6.18167E-06;5.43947E-07
503;Hydrocarbons, aromatic;Eau;river;kg;1.32492E-05;x;1.16466E-05;1.60262E-06
504;Hydrocarbons, chlorinated;Air;;kg;5.47684E-09;x;5.27051E-09;2.06333E-10
505;Hydrocarbons, chlorinated;Air;high. pop.;kg;3.86942E-09;x;3.86039E-09;9.03099E-12
506;Hydrocarbons, chlorinated;Air;low. pop.;kg;2.16119E-12;x;2.00987E-12;1.51327E-13
507;Hydrocarbons, unspecified;Eau;;kg;2.20476E-08;x;2.03454E-08;1.7022E-09
508;Hydrocarbons, unspecified;Eau;ocean;kg;2.56375E-06;x;2.36196E-06;2.0179E-07
509;Hydrocarbons, unspecified;Eau;river;kg;1.62267E-07;x;1.55901E-07;6.36633E-09
510;Hydrogen;Air;;kg;8.74133E-09;x;7.57255E-09;1.16878E-09
511;Hydrogen;Air;high. pop.;kg;1.58642E-06;x;1.464E-06;1.22411E-07
512;Hydrogen-3, Tritium;Air;low. pop.;Bq;11.94258282;x;11.128192;0.81439082
513;Hydrogen-3, Tritium;Eau;ocean;Bq;807.7121492;x;751.92496;55.7871892
514;Hydrogen-3, Tritium;Eau;river;Bq;86.46179612;x;80.424288;6.037508124
515;Hydrogen chloride;Air;;kg;1.13732E-06;x;1.03829E-06;9.90347E-08
516;Hydrogen chloride;Air;high. pop.;kg;3.33597E-06;x;3.2118E-06;1.24171E-07
517;Hydrogen chloride;Air;low. pop.;kg;5.16743E-06;x;4.84125E-06;3.26185E-07
518;Hydrogen chloride;Air;stratosphere + troposphere;kg;3.14093E-14;x;3.11396E-14;2.69729E-16
519;Hydrogen fluoride;Air;;kg;1.46243E-07;x;1.38774E-07;7.46836E-09
520;Hydrogen fluoride;Air;high. pop.;kg;2.04119E-07;x;1.92759E-07;1.13604E-08
521;Hydrogen fluoride;Air;low. pop.;kg;1.06204E-06;x;9.94233E-07;6.78065E-08
522;Hydrogen peroxide;Air;high. pop.;kg;2.04526E-10;x;2.02399E-10;2.12783E-12
523;Hydrogen peroxide;Eau;river;kg;1.74987E-09;x;1.72714E-09;2.2739E-11
524;Hydrogen sulfide;Air;;kg;1.21006E-07;x;1.12041E-07;8.96531E-09
525;Hydrogen sulfide;Air;high. pop.;kg;1.42776E-10;x;1.25739E-10;1.70369E-11
526;Hydrogen sulfide;Air;low. pop.;kg;5.15117E-07;x;4.95242E-07;1.98752E-08
527;Hydrogen sulfide;Eau;river;kg;6.34866E-09;x;5.83384E-09;5.14818E-10
528;Hydroxide;Eau;river;kg;5.70402E-09;x;5.64143E-09;6.25928E-11
529;Hypochlorite;Eau;ocean;kg;2.44096E-08;x;2.28595E-08;1.55005E-09
530;Hypochlorite;Eau;river;kg;2.3295E-08;x;2.18161E-08;1.47894E-09
531;Indium;Brut;in ground;kg;2.93808E-10;x;2.02178E-10;9.16299E-11
532;Iodide;Eau;groundwater;kg;2.55086E-09;x;2.38967E-09;1.61189E-10
533;Iodide;Eau;ocean;kg;1.22148E-06;x;1.12262E-06;9.88599E-08
