SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:47;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 m3 _Oak logs for timber, manually felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak logs for timber, manually felled, 80% water on dry mass basis, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_357XP/Husqvarna U (2009);Operation, passenger car, diesel, fleet average/RER S
58;Aldrin;Sol;agricultural;kg;1.95532E-12;x;1.93502E-12;2.03038E-14
59;Aluminium;Brut;in ground;kg;0.000166294;x;0.000162114;4.17921E-06
60;Aluminium;Air;;kg;4.81337E-06;x;4.57358E-06;2.3979E-07
61;Aluminium;Air;high. pop.;kg;4.86006E-07;x;4.81736E-07;4.27016E-09
62;Aluminium;Air;low. pop.;kg;4.12505E-08;x;3.78574E-08;3.3931E-09
63;Aluminium;Eau;;kg;6.33085E-09;x;5.77468E-09;5.56177E-10
64;Aluminium;Eau;groundwater;kg;1.81994E-07;x;1.71562E-07;1.04325E-08
65;Aluminium;Eau;ocean;kg;2.32831E-06;x;2.10025E-06;2.28062E-07
66;Aluminium;Eau;river;kg;1.05245E-06;x;9.75621E-07;7.68331E-08
67;Aluminium;Sol;agricultural;kg;7.81824E-08;x;7.37907E-08;4.39171E-09
68;Aluminium;Sol;industrial;kg;1.71986E-05;x;1.55857E-05;1.61285E-06
69;Ammonia;Air;;kg;9.24627E-06;x;3.52702E-06;5.71925E-06
70;Ammonia;Air;high. pop.;kg;5.09689E-07;x;4.65246E-07;4.44427E-08
71;Ammonia;Air;low. pop.;kg;2.19662E-06;x;1.97961E-06;2.17016E-07
72;Ammonium carbonate;Air;high. pop.;kg;3.72407E-10;x;3.66451E-10;5.9553E-12
73;Ammonium, ion;Eau;;kg;1.25405E-10;x;1.19589E-10;5.81638E-12
74;Ammonium, ion;Eau;groundwater;kg;1.66658E-08;x;1.56291E-08;1.03668E-09
75;Ammonium, ion;Eau;ocean;kg;1.65301E-06;x;1.52075E-06;1.32252E-07
76;Ammonium, ion;Eau;river;kg;1.60844E-06;x;1.41071E-06;1.97728E-07
77;Anhydrite;Brut;in ground;kg;1.71425E-08;x;1.68754E-08;2.67074E-10
78;Aniline;Air;high. pop.;kg;2.65906E-13;x;2.39656E-13;2.625E-14
79;Aniline;Eau;river;kg;6.39217E-13;x;5.75987E-13;6.32304E-14
80;Anthranilic acid;Air;high. pop.;kg;1.87932E-15;x;1.46582E-15;4.13497E-16
81;Antimony;Air;;kg;5.70667E-12;x;5.05879E-12;6.47881E-13
82;Antimony;Air;high. pop.;kg;1.00394E-10;x;9.93579E-11;1.03567E-12
83;Antimony;Air;low. pop.;kg;3.74887E-09;x;3.63961E-09;1.09254E-10
84;Antimony;Eau;;kg;1.14502E-13;x;1.09191E-13;5.31067E-15
85;Antimony;Eau;groundwater;kg;9.09137E-09;x;8.51949E-09;5.71871E-10
86;Antimony;Eau;river;kg;2.41184E-08;x;2.36864E-08;4.32027E-10
87;Antimony;Sol;agricultural;kg;2.26516E-13;x;2.237E-13;2.81532E-15
88;Antimony-122;Eau;river;Bq;1.15217E-06;x;9.12757E-07;2.39417E-07
89;Antimony-124;Air;low. pop.;Bq;2.85785E-09;x;2.26399E-09;5.93856E-10
90;Antimony-124;Eau;river;Bq;0.000558061;x;0.000513756;4.43052E-05
91;Antimony-125;Air;low. pop.;Bq;2.9824E-08;x;2.36267E-08;6.19733E-09
92;Antimony-125;Eau;river;Bq;0.000513082;x;0.000472179;4.09029E-05
93;AOX, Adsorbable Organic Halogen as Cl;Eau;;kg;2.95638E-09;x;2.94815E-09;8.23091E-12
94;AOX, Adsorbable Organic Halogen as Cl;Eau;ocean;kg;4.71611E-09;x;4.3388E-09;3.7731E-10
95;AOX, Adsorbable Organic Halogen as Cl;Eau;river;kg;2.5724E-08;x;2.34329E-08;2.29107E-09
96;Argon-41;Air;low. pop.;Bq;0.261878913;x;0.2451032;0.016775713
97;Arsenic;Air;;kg;3.43211E-11;x;3.04277E-11;3.89347E-12
98;Arsenic;Air;high. pop.;kg;1.42312E-08;x;1.32321E-08;9.99037E-10
99;Arsenic;Air;low. pop.;kg;3.87072E-08;x;3.77233E-08;9.83833E-10
100;Arsenic;Sol;agricultural;kg;3.19798E-11;x;3.07775E-11;1.20236E-12
101;Arsenic;Sol;industrial;kg;6.87956E-09;x;6.23441E-09;6.45152E-10
102;Arsenic, ion;Eau;;kg;5.06863E-10;x;4.65112E-10;4.17506E-11
103;Arsenic, ion;Eau;groundwater;kg;4.54759E-08;x;4.26104E-08;2.86543E-09
104;Arsenic, ion;Eau;lake;kg;3.52417E-15;x;3.48697E-15;3.72021E-17
105;Arsenic, ion;Eau;ocean;kg;8.29481E-09;x;7.62967E-09;6.65143E-10
106;Arsenic, ion;Eau;river;kg;7.75175E-08;x;7.22926E-08;5.22484E-09
107;Arsine;Air;high. pop.;kg;8.86154E-16;x;8.76965E-16;9.18901E-18
108;Atrazine;Sol;agricultural;kg;5.12976E-13;x;5.07649E-13;5.32645E-15
109;Barite;Eau;ocean;kg;0.000134598;x;0.00012384;1.0758E-05
110;Barium;Air;;kg;1.43633E-17;x;1.33393E-17;1.02401E-18
111;Barium;Air;high. pop.;kg;5.72595E-09;x;5.67577E-09;5.01768E-11
112;Barium;Air;low. pop.;kg;1.07163E-08;x;1.00306E-08;6.85657E-10
113;Barium;Eau;;kg;2.89627E-09;x;2.76193E-09;1.34332E-10
114;Barium;Eau;groundwater;kg;2.62341E-09;x;2.46152E-09;1.61882E-10
115;Barium;Eau;ocean;kg;1.06521E-05;x;9.79E-06;8.62104E-07
116;Barium;Eau;river;kg;2.19994E-05;x;1.93459E-05;2.65347E-06
117;Barium;Sol;agricultural;kg;4.6357E-10;x;4.07601E-10;5.59695E-11
118;Barium;Sol;industrial;kg;8.5994E-06;x;7.79296E-06;8.06448E-07
119;Barium-140;Air;low. pop.;Bq;1.94E-06;x;1.53687E-06;4.03133E-07
120;Barium-140;Eau;river;Bq;5.04717E-06;x;3.99839E-06;1.04879E-06
121;Baryte;Brut;in ground;kg;0.002948772;x;0.002676451;0.00027232
122;Basalt;Brut;in ground;kg;4.04808E-05;x;3.77725E-05;2.70838E-06
123;Benomyl;Sol;agricultural;kg;8.29627E-13;x;7.48975E-13;8.06522E-14
124;Bentazone;Sol;agricultural;kg;1.08602E-11;x;8.38126E-12;2.47893E-12
125;Benzal chloride;Air;;kg;7.18775E-18;x;6.85438E-18;3.33371E-19
126;Benzaldehyde;Air;high. pop.;kg;3.7926E-11;x;3.37847E-11;4.14126E-12
127;Benzene;Air;;kg;2.80657E-07;x;2.51403E-08;2.55517E-07
128;Benzene;Air;high. pop.;kg;5.2627E-06;x;4.82555E-06;4.37145E-07
129;Benzene;Air;low. pop.;kg;4.29139E-07;x;3.95288E-07;3.3851E-08
130;Benzene;Air;stratosphere + troposphere;kg;7.28621E-13;x;7.22364E-13;6.25693E-15
131;Benzene;Eau;;kg;1.70631E-11;x;1.62717E-11;7.91393E-13
132;Benzene;Eau;ocean;kg;1.00833E-06;x;9.26734E-07;8.16001E-08
133;Benzene;Eau;river;kg;1.64247E-06;x;1.44411E-06;1.98368E-07
134;Benzene, 1-methyl-2-nitro-;Air;high. pop.;kg;2.22033E-15;x;1.73067E-15;4.89667E-16
135;Benzene, 1,2-dichloro-;Air;high. pop.;kg;5.39931E-14;x;4.33193E-14;1.06738E-14
136;Benzene, 1,2-dichloro-;Eau;river;kg;2.11998E-10;x;2.09707E-10;2.29107E-12
137;Benzene, chloro-;Eau;river;kg;4.3748E-09;x;4.32798E-09;4.68119E-11
