SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:46;;;;
Projet;_Forest resources database;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Calculation: ;Analyser;;;;;;;;
Results: ;Inventaire;;;;;;;;
Product: ;1 m3 _Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;;
Méthode: ;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;
Unité: ;?;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;
Default units: ;Non;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;
Sorted on item: ;Substance;;;;;;;;
Sort order: ;Croissant;;;;;;;;
;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U;_Hardwood, stemwood, diameter>7 cm , mechanically felling, in forest/FR U;Operation, lorry >28t, fleet average/CH S;Operation, passenger car, diesel, fleet average/RER S
49;Acrolein;Air;low. pop.;kg;4.81567E-11;x;4.77395E-11;2.57695E-14;3.91431E-13
50;Acrylate, ion;Eau;river;kg;2.46099E-10;x;2.45069E-10;6.36488E-14;9.66796E-13
51;Acrylic acid;Air;high. pop.;kg;1.0398E-10;x;1.03545E-10;2.68927E-14;4.08492E-13
52;Actinides, radioactive, unspecified;Air;low. pop.;Bq;8.52612E-05;x;8.44082E-05;5.2689E-08;8.00331E-07
53;Actinides, radioactive, unspecified;Eau;ocean;Bq;0.014205211;x;0.014075798;7.99369E-06;0.00012142
54;Aerosols, radioactive, unspecified;Air;low. pop.;Bq;0.002117438;x;0.002098879;1.14633E-06;1.74127E-05
55;Aldehydes, unspecified;Air;;kg;8.43315E-13;x;8.32644E-13;6.59155E-16;1.00122E-14
56;Aldehydes, unspecified;Air;high. pop.;kg;7.92785E-09;x;7.80955E-09;7.30742E-12;1.10994E-10
57;Aldehydes, unspecified;Air;low. pop.;kg;3.89436E-09;x;3.85724E-09;2.29274E-12;3.4826E-11
58;Aldrin;Sol;agricultural;kg;2.67574E-12;x;2.66453E-12;6.92644E-16;1.0521E-14
59;Aluminium;Brut;in ground;kg;0.000280054;x;0.000277746;1.42573E-07;2.16558E-06
60;Aluminium;Air;;kg;3.58788E-05;x;3.57463E-05;8.18074E-09;1.24254E-07
61;Aluminium;Air;high. pop.;kg;1.20658E-06;x;1.20423E-06;1.45675E-10;2.21271E-09
62;Aluminium;Air;low. pop.;kg;9.03323E-07;x;9.01449E-07;1.15754E-10;1.75823E-09
63;Aluminium;Eau;;kg;4.26235E-08;x;4.23163E-08;1.8974E-11;2.88199E-10
64;Aluminium;Eau;groundwater;kg;8.35195E-07;x;8.29433E-07;3.55896E-10;5.40591E-09
65;Aluminium;Eau;ocean;kg;8.78465E-06;x;8.65869E-06;7.78003E-09;1.18177E-07
66;Aluminium;Eau;river;kg;3.78477E-06;x;3.74233E-06;2.62107E-09;3.98133E-08
67;Aluminium;Sol;agricultural;kg;2.50026E-07;x;2.476E-07;1.49818E-10;2.27569E-09
68;Aluminium;Sol;industrial;kg;6.44991E-05;x;6.36084E-05;5.50221E-08;8.35746E-07
69;Ammonia;Air;;kg;5.78141E-05;x;5.48016E-05;4.89424E-08;2.96359E-06
70;Ammonia;Air;high. pop.;kg;2.36489E-06;x;2.34035E-06;1.5161E-09;2.30293E-08
71;Ammonia;Air;low. pop.;kg;9.19866E-06;x;9.0788E-06;7.40347E-09;1.12453E-07
72;Ammonium carbonate;Air;high. pop.;kg;2.35297E-10;x;2.32008E-10;2.03157E-13;3.08591E-12
73;Ammonium, ion;Eau;;kg;2.53858E-10;x;2.50646E-10;1.98421E-13;3.01392E-12
74;Ammonium, ion;Eau;groundwater;kg;1.31892E-07;x;1.31319E-07;3.53654E-11;5.37188E-10
75;Ammonium, ion;Eau;ocean;kg;6.2003E-06;x;6.12726E-06;4.51184E-09;6.85304E-08
76;Ammonium, ion;Eau;river;kg;5.53671E-06;x;5.4275E-06;6.7453E-09;1.02459E-07
