SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:46;;;;
Projet;_Forest resources database;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Calculation: ;Analyser;;;;;;;;
Results: ;Inventaire;;;;;;;;
Product: ;1 m3 _Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;;
Méthode: ;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;
Unité: ;?;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;
Default units: ;Non;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;
Sorted on item: ;Substance;;;;;;;;
Sort order: ;Croissant;;;;;;;;
;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U;_Hardwood, stemwood, diameter>7 cm , mechanically felling, in forest/FR U;Operation, lorry >28t, fleet average/CH S;Operation, passenger car, diesel, fleet average/RER S
218;Carbon;Sol;agricultural;kg;7.25771E-07;x;7.14401E-07;7.02313E-10;1.0668E-08
219;Carbon;Sol;industrial;kg;0.000193497;x;0.000190824;1.65067E-07;2.50729E-06
220;Carbon-14;Air;low. pop.;Bq;8.645354688;x;8.56186629;0.005156906;0.078331492
221;Carbon dioxide, biogenic;Air;;kg;0.000682074;x;0.000674975;4.38469E-07;6.66022E-06
222;Carbon dioxide, biogenic;Air;high. pop.;kg;0.009349137;x;0.009267232;5.05912E-06;7.68453E-05
223;Carbon dioxide, biogenic;Air;low. pop.;kg;0.001472884;x;0.001459962;7.98106E-07;1.21232E-05
224;Carbon dioxide, fossil;Air;;kg;5.632736908;x;5.517291841;0.0071191;0.108325967
225;Carbon dioxide, fossil;Air;high. pop.;kg;0.733446545;x;0.72589559;0.000466425;0.00708453
226;Carbon dioxide, fossil;Air;low. pop.;kg;0.537081049;x;0.527850086;0.000570189;0.008660773
227;Carbon dioxide, fossil;Air;stratosphere + troposphere;kg;8.06062E-08;x;8.00605E-08;3.37032E-11;5.11934E-10
228;Carbon dioxide, in air;Brut;in air;kg;0.012809562;x;0.012707866;6.28169E-06;9.54144E-05
229;Carbon dioxide, land transformation;Air;low. pop.;kg;4.41065E-05;x;4.36149E-05;3.03694E-08;4.61293E-07
230;Carbon disulfide;Air;;kg;2.69861E-18;x;2.66446E-18;2.10931E-21;3.20392E-20
231;Carbon disulfide;Air;high. pop.;kg;3.04403E-12;x;3.02155E-12;1.38879E-15;2.1095E-14
232;Carbon disulfide;Air;low. pop.;kg;1.53414E-06;x;1.52468E-06;5.84617E-10;8.88011E-09
233;Carbon disulfide;Eau;river;kg;4.04058E-12;x;4.01908E-12;1.3277E-15;2.01669E-14
234;Carbon monoxide, biogenic;Air;high. pop.;kg;9.63672E-07;x;9.54533E-07;5.64546E-10;8.57514E-09
235;Carbon monoxide, biogenic;Air;low. pop.;kg;1.03695E-06;x;1.02767E-06;5.72936E-10;8.70276E-09
236;Carbon monoxide, fossil;Air;;kg;0.02369609;x;0.023583926;1.4341E-05;9.78232E-05
237;Carbon monoxide, fossil;Air;high. pop.;kg;0.000163325;x;0.000161504;1.12423E-07;1.70768E-06
238;Carbon monoxide, fossil;Air;low. pop.;kg;0.000934574;x;0.000920479;8.70639E-07;1.32243E-05
239;Carbon monoxide, fossil;Air;stratosphere + troposphere;kg;9.46793E-11;x;9.40384E-11;3.95872E-14;6.01326E-13
240;Carbon, in organic matter, in soil;Brut;in ground;kg;2.10475E-06;x;2.0739E-06;1.90529E-09;2.89409E-08
241;Carbonate;Eau;river;kg;3.19804E-07;x;3.16363E-07;2.1251E-10;3.2279E-09
242;Carboxylic acids, unspecified;Eau;ocean;kg;0.000260679;x;0.000257604;1.89913E-07;2.88475E-06
243;Carboxylic acids, unspecified;Eau;river;kg;0.000338755;x;0.000332572;3.81902E-07;5.8011E-06
244;Cerium-141;Air;low. pop.;Bq;1.79781E-06;x;1.74384E-06;3.33394E-09;5.06403E-08
245;Cerium-141;Eau;river;Bq;7.71395E-06;x;7.48236E-06;1.43047E-08;2.17282E-07
246;Cerium-144;Eau;river;Bq;2.34837E-06;x;2.27787E-06;4.35485E-09;6.61492E-08
247;Cesium;Eau;ocean;kg;4.62671E-08;x;4.57211E-08;3.37253E-11;5.12271E-10
248;Cesium;Eau;river;kg;9.20553E-08;x;9.03752E-08;1.03781E-10;1.5763E-09
249;Cesium-134;Air;low. pop.;Bq;8.61039E-08;x;8.35188E-08;1.59676E-10;2.42536E-09
250;Cesium-134;Eau;river;Bq;0.001943413;x;0.001925765;1.09013E-06;1.6558E-05
251;Cesium-136;Eau;river;Bq;1.36907E-06;x;1.32796E-06;2.53883E-09;3.85635E-08
252;Cesium-137;Air;low. pop.;Bq;1.52635E-06;x;1.48052E-06;2.83047E-09;4.29934E-08
253;Cesium-137;Eau;ocean;Bq;1.627776141;x;1.612946307;0.000916022;0.013913812
254;Cesium-137;Eau;river;Bq;0.006358541;x;0.006254837;6.4056E-06;9.72983E-05
255;Chloramine;Air;high. pop.;kg;1.40171E-13;x;1.38828E-13;8.29045E-17;1.25934E-15
256;Chloramine;Eau;river;kg;1.25585E-12;x;1.24369E-12;7.51515E-16;1.14155E-14
257;Chlorate;Eau;river;kg;1.27105E-06;x;1.25648E-06;9.00237E-10;1.3674E-08
258;Chloride;Eau;;kg;1.35343E-05;x;1.33489E-05;1.14507E-08;1.73934E-07
259;Chloride;Eau;groundwater;kg;0.001752371;x;0.001744795;4.67956E-07;7.10829E-06
260;Chloride;Eau;ocean;kg;0.023212452;x;0.02293852;1.69203E-05;0.000257011
261;Chloride;Eau;river;kg;0.046722141;x;0.0458733;5.24325E-05;0.000796409
262;Chloride;Sol;;kg;3.0964E-05;x;2.87159E-05;1.38863E-07;2.10928E-06
263;Chloride;Sol;agricultural;kg;3.26853E-08;x;3.24096E-08;1.70339E-11;2.58735E-10
264;Chloride;Sol;industrial;kg;0.000225739;x;0.000222621;1.92581E-07;2.92519E-06
265;Chlorinated solvents, unspecified;Eau;ocean;kg;1.80288E-16;x;1.78903E-16;8.55485E-20;1.29939E-18
266;Chlorinated solvents, unspecified;Eau;river;kg;8.56046E-10;x;8.45566E-10;6.47316E-13;9.8326E-12
267;Chlorine;Air;;kg;1.42382E-11;x;1.40878E-11;9.29124E-15;1.41127E-13
268;Chlorine;Air;high. pop.;kg;9.20705E-07;x;9.10611E-07;6.23433E-10;9.46961E-09
269;Chlorine;Air;low. pop.;kg;1.14228E-09;x;1.13141E-09;6.712E-13;1.0195E-11
270;Chlorine;Eau;river;kg;1.07793E-08;x;1.0665E-08;7.05706E-12;1.07193E-10
271;Chloroacetic acid;Air;high. pop.;kg;1.85574E-11;x;1.79588E-11;3.69763E-14;5.61657E-13
272;Chloroacetic acid;Eau;river;kg;8.41455E-10;x;8.10569E-10;1.90773E-12;2.89779E-11
273;Chloroacetyl chloride;Eau;river;kg;1.65632E-14;x;1.59792E-14;3.60718E-17;5.47917E-16
274;Chloroform;Air;;kg;1.22787E-18;x;1.21234E-18;9.59747E-22;1.45779E-20
275;Chloroform;Air;high. pop.;kg;1.83964E-10;x;1.82544E-10;8.77664E-14;1.33315E-12
276;Chloroform;Air;low. pop.;kg;4.03372E-12;x;3.99336E-12;2.49298E-15;3.78674E-14
277;Chloroform;Eau;river;kg;1.37989E-11;x;1.37407E-11;3.59416E-15;5.45934E-14
278;Chlorosilane, trimethyl-;Air;high. pop.;kg;6.14938E-11;x;6.0747E-11;4.61279E-14;7.00663E-13
279;Chlorosulfonic acid;Air;high. pop.;kg;5.78726E-14;x;5.57279E-14;1.32478E-16;2.01227E-15
280;Chlorosulfonic acid;Eau;river;kg;1.44318E-13;x;1.3897E-13;3.30363E-16;5.01807E-15
281;Chlorothalonil;Sol;agricultural;kg;9.19166E-10;x;9.14431E-10;2.92486E-13;4.44276E-12
282;Chromium;Brut;in ground;kg;0.00107059;x;0.001069628;5.94159E-08;9.02486E-07
283;Chromium;Air;;kg;2.7216E-07;x;2.66967E-07;1.80292E-10;5.01282E-09
284;Chromium;Air;high. pop.;kg;5.00745E-08;x;4.94315E-08;3.97159E-11;6.0326E-10
285;Chromium;Air;low. pop.;kg;3.57582E-06;x;3.57267E-06;1.94499E-10;2.95436E-09
286;Chromium;Air;stratosphere + troposphere;kg;1.27947E-15;x;1.27081E-15;5.34972E-19;8.12597E-18
287;Chromium;Sol;;kg;4.60006E-10;x;1.30814E-10;6.75509E-11;2.61641E-10
288;Chromium;Sol;agricultural;kg;2.43504E-09;x;2.41186E-09;1.43181E-12;2.17486E-11
289;Chromium;Sol;industrial;kg;3.22504E-07;x;3.1805E-07;2.75114E-10;4.17884E-09
290;Chromium-51;Air;low. pop.;Bq;1.15205E-07;x;1.11746E-07;2.13639E-10;3.24503E-09
291;Chromium-51;Eau;river;Bq;0.002449844;x;0.002398664;3.16133E-06;4.80188E-05
292;Chromium VI;Air;;kg;1.0331E-11;x;6.83189E-12;2.29763E-13;3.26934E-12
293;Chromium VI;Air;high. pop.;kg;8.19415E-10;x;8.12281E-10;4.40616E-13;6.69282E-12
294;Chromium VI;Air;low. pop.;kg;8.96771E-08;x;8.95961E-08;5.00292E-12;7.5989E-11
295;Chromium VI;Eau;;kg;1.66089E-08;x;1.65709E-08;2.34578E-12;3.56309E-11
296;Chromium VI;Eau;groundwater;kg;1.14942E-07;x;1.14003E-07;5.79961E-11;8.80939E-10
297;Chromium VI;Eau;river;kg;6.01683E-06;x;6.00347E-06;8.25335E-10;1.25359E-08
298;Chromium VI;Sol;;kg;1.64826E-07;x;1.62555E-07;1.40284E-10;2.13083E-09
299;Chromium, ion;Eau;;kg;9.85957E-08;x;9.79966E-08;8.42226E-11;5.14856E-10
300;Chromium, ion;Eau;groundwater;kg;9.35299E-11;x;9.1958E-11;9.70876E-14;1.47475E-12
301;Chromium, ion;Eau;ocean;kg;2.19111E-07;x;2.16526E-07;1.59676E-10;2.42547E-09
302;Chromium, ion;Eau;river;kg;1.51046E-07;x;1.4748E-07;2.2026E-10;3.34569E-09
303;Chrysotile;Brut;in ground;kg;2.85845E-08;x;2.82568E-08;2.02423E-11;3.0747E-10
304;Cinnabar;Brut;in ground;kg;2.69486E-09;x;2.66452E-09;1.87411E-12;2.84674E-11
305;Clay;Brut;in ground;kg;0.010322782;x;0.010220615;6.31089E-06;9.58564E-05
306;Clay, bentonite;Brut;in ground;kg;0.002445655;x;0.002433461;7.53204E-07;1.14409E-05
307;Coal, brown;Brut;in ground;kg;0.120444664;x;0.119453967;6.11942E-05;0.000929503
308;Coal, hard;Brut;in ground;kg;0.181180016;x;0.180390534;4.8764E-05;0.000740718
309;Cobalt;Brut;in ground;kg;5.78562E-08;x;5.6813E-08;6.44349E-11;9.78729E-10
310;Cobalt;Air;;kg;4.75643E-11;x;4.68485E-11;4.42163E-14;6.71602E-13
311;Cobalt;Air;high. pop.;kg;9.71013E-08;x;9.58064E-08;7.99842E-11;1.21492E-09
312;Cobalt;Air;low. pop.;kg;6.67164E-08;x;6.66078E-08;6.70702E-12;1.01878E-10
313;Cobalt;Eau;;kg;4.56423E-13;x;4.50648E-13;3.56756E-16;5.41895E-15
314;Cobalt;Eau;groundwater;kg;1.52905E-08;x;1.51904E-08;6.1835E-12;9.39227E-11
315;Cobalt;Eau;ocean;kg;4.90342E-11;x;4.85875E-11;2.75943E-14;4.19138E-13
316;Cobalt;Eau;river;kg;4.34524E-08;x;4.29282E-08;3.23781E-11;4.91812E-10
317;Cobalt;Sol;agricultural;kg;1.89167E-10;x;1.87545E-10;1.00189E-13;1.52188E-12
318;Cobalt-57;Eau;river;Bq;4.34605E-05;x;4.21558E-05;8.05919E-08;1.22414E-06
319;Cobalt-58;Air;low. pop.;Bq;1.60426E-07;x;1.5561E-07;2.97498E-10;4.51884E-09
320;Cobalt-58;Eau;river;Bq;0.018359918;x;0.018075824;1.75478E-05;0.000266547
321;Cobalt-60;Air;low. pop.;Bq;1.41723E-06;x;1.37468E-06;2.6281E-09;3.99199E-08
322;Cobalt-60;Eau;river;Bq;0.014363017;x;0.014126107;1.46338E-05;0.000222276
323;COD, Chemical Oxygen Demand;Eau;;kg;2.44292E-05;x;2.4371E-05;3.59605E-09;5.46227E-08
324;COD, Chemical Oxygen Demand;Eau;groundwater;kg;2.63137E-08;x;2.62E-08;7.0247E-12;1.06702E-10
325;COD, Chemical Oxygen Demand;Eau;ocean;kg;0.004668038;x;0.004600608;4.16511E-06;6.32652E-05
326;COD, Chemical Oxygen Demand;Eau;river;kg;0.025339953;x;0.025036962;1.87151E-05;0.000284276
327;Colemanite;Brut;in ground;kg;8.17026E-07;x;8.11057E-07;3.68729E-10;5.60055E-09
328;Copper;Air;;kg;3.26322E-06;x;2.98468E-06;6.9562E-09;2.71586E-07
329;Copper;Air;high. pop.;kg;1.67165E-07;x;1.64925E-07;1.38414E-10;2.10249E-09
330;Copper;Air;low. pop.;kg;3.98753E-07;x;3.96637E-07;1.3071E-10;1.98541E-09
331;Copper;Air;stratosphere + troposphere;kg;4.35009E-14;x;4.32064E-14;1.81886E-17;2.76271E-16
332;Copper;Sol;;kg;1.09356E-07;x;1.03319E-07;1.03544E-09;5.00127E-09
333;Copper;Sol;agricultural;kg;3.02072E-09;x;2.99458E-09;1.61507E-12;2.45315E-11
334;Copper;Sol;industrial;kg;1.8917E-09;x;1.86285E-09;1.78224E-12;2.70718E-11
335;Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;1.14656E-05;x;1.13821E-05;5.15588E-09;7.83149E-08
336;Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;6.31212E-05;x;6.26619E-05;2.83702E-08;4.30928E-07
337;Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;1.67435E-05;x;1.66217E-05;7.52557E-09;1.14309E-07
338;Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;8.35176E-05;x;8.29115E-05;3.74404E-08;5.68729E-07
339;Copper, ion;Eau;;kg;1.14938E-07;x;1.10059E-07;9.63931E-10;3.91481E-09
340;Copper, ion;Eau;groundwater;kg;1.1306E-08;x;1.12357E-08;4.34459E-12;6.59945E-11
341;Copper, ion;Eau;lake;kg;1.87085E-13;x;1.86293E-13;4.89282E-17;7.43204E-16
342;Copper, ion;Eau;ocean;kg;5.19514E-08;x;5.1396E-08;3.43062E-11;5.21088E-10
343;Copper, ion;Eau;river;kg;2.56093E-07;x;2.55217E-07;5.41255E-11;8.22155E-10
344;Cumene;Air;;kg;1.10195E-19;x;1.088E-19;8.61326E-23;1.30829E-21
345;Cumene;Air;high. pop.;kg;2.3169E-07;x;2.2819E-07;2.1618E-10;3.2837E-09
346;Cumene;Air;low. pop.;kg;2.24091E-13;x;2.21849E-13;1.385E-16;2.10376E-15
347;Cumene;Eau;river;kg;5.56739E-07;x;5.48329E-07;5.19487E-10;7.89061E-09
348;Cyanide;Air;;kg;5.19471E-17;x;5.12897E-17;4.06038E-20;6.1674E-19
349;Cyanide;Air;high. pop.;kg;6.87481E-09;x;6.78988E-09;5.24586E-12;7.96851E-11
350;Cyanide;Air;low. pop.;kg;4.41279E-08;x;4.40397E-08;5.44949E-12;8.27735E-11
351;Cyanide;Eau;;kg;1.11582E-07;x;1.11352E-07;1.42076E-11;2.15801E-10
352;Cyanide;Eau;ocean;kg;1.75156E-07;x;1.73177E-07;1.22265E-10;1.85718E-09
353;Cyanide;Eau;river;kg;3.32386E-07;x;3.29147E-07;2.00032E-10;3.03845E-09
354;Cyanoacetic acid;Air;high. pop.;kg;4.73955E-14;x;4.56391E-14;1.08493E-16;1.64796E-15
355;Cypermethrin;Sol;agricultural;kg;2.35617E-10;x;2.32158E-10;2.13654E-13;3.2453E-12
356;Diatomite;Brut;in ground;kg;2.23269E-11;x;2.13087E-11;6.28903E-14;9.55249E-13
357;Dichromate;Eau;river;kg;4.29804E-09;x;4.23886E-09;3.65596E-12;5.55304E-11
358;Diethylamine;Air;high. pop.;kg;4.56324E-13;x;4.49797E-13;4.03141E-16;6.12376E-15
359;Diethylamine;Eau;river;kg;1.09519E-12;x;1.07952E-12;9.67561E-16;1.46967E-14
360;Dimethyl malonate;Air;high. pop.;kg;5.9433E-14;x;5.72305E-14;1.36046E-16;2.06652E-15
361;Dimethylamine;Eau;river;kg;8.19909E-13;x;7.99727E-13;1.24665E-15;1.89354E-14
362;Dinitrogen monoxide;Air;;kg;0.000213612;x;0.000209464;7.33946E-08;4.07464E-06
363;Dinitrogen monoxide;Air;high. pop.;kg;8.63786E-06;x;8.53655E-06;6.25762E-09;9.50497E-08
364;Dinitrogen monoxide;Air;low. pop.;kg;1.05222E-05;x;1.03627E-05;9.85635E-09;1.49707E-07
365;Dinitrogen monoxide;Air;stratosphere + troposphere;kg;7.6768E-13;x;7.62484E-13;3.20979E-16;4.87558E-15
366;Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;Air;;kg;1.26284E-12;x;1.26032E-12;1.55335E-16;2.3595E-15
367;Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;Air;high. pop.;kg;1.13831E-13;x;1.13528E-13;1.87111E-17;2.8421E-16
368;Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;Air;low. pop.;kg;7.21533E-14;x;7.15547E-14;3.69771E-17;5.61657E-16
369;Dipropylamine;Air;high. pop.;kg;2.88677E-13;x;2.8461E-13;2.51223E-16;3.81597E-15
370;Dipropylamine;Eau;river;kg;6.92842E-13;x;6.8308E-13;6.02936E-16;9.15856E-15
371;DOC, Dissolved Organic Carbon;Eau;;kg;3.06528E-06;x;3.05618E-06;5.61942E-10;8.53536E-09
372;DOC, Dissolved Organic Carbon;Eau;lake;kg;6.74772E-09;x;6.64605E-09;6.28019E-12;9.53923E-11
373;DOC, Dissolved Organic Carbon;Eau;ocean;kg;0.001530814;x;0.001509352;1.32565E-06;2.01365E-05
374;DOC, Dissolved Organic Carbon;Eau;river;kg;0.007463343;x;0.007370899;5.71002E-06;8.67348E-05
375;Dolomite;Brut;in ground;kg;0.000368359;x;0.000367493;5.34838E-08;8.12376E-07
376;Energy, gross calorific value, in biomass;Brut;biotic;MJ;0.120523127;x;0.11957842;5.83536E-05;0.000886354
377;Energy, gross calorific value, in biomass, primary forest;Brut;biotic;MJ;0.000145917;x;0.000143778;1.32092E-07;2.00646E-06
378;Energy, kinetic (in wind), converted;Brut;in air;MJ;0.049469609;x;0.049063237;2.5101E-05;0.000381271
379;Energy, potential (in hydropower reservoir), converted;Brut;in water;MJ;0.37564513;x;0.372293702;0.000207009;0.00314442
380;Energy, solar, converted;Brut;in air;MJ;0.000712884;x;0.000706481;3.95485E-07;6.00718E-06
381;Ethane;Air;;kg;3.08093E-10;x;3.04194E-10;2.40813E-13;3.65785E-12
382;Ethane;Air;high. pop.;kg;3.14528E-05;x;3.08788E-05;3.54546E-08;5.38541E-07
383;Ethane;Air;low. pop.;kg;3.06101E-05;x;3.0413E-05;1.21784E-08;1.84989E-07
384;Ethane, 1,1-difluoro-, HFC-152a;Air;high. pop.;kg;2.62415E-10;x;2.60071E-10;1.44775E-13;2.19906E-12
385;Ethane, 1,1,1-trichloro-, HCFC-140;Air;;kg;2.27134E-18;x;2.2426E-18;1.7753E-21;2.69663E-20
386;Ethane, 1,1,1-trichloro-, HCFC-140;Air;low. pop.;kg;8.23019E-13;x;8.14784E-13;5.08674E-16;7.72652E-15
387;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Air;;kg;5.38293E-08;x;3.29355E-08;1.82486E-08;2.64519E-09
388;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Air;high. pop.;kg;1.25799E-11;x;1.25211E-11;3.62873E-15;5.51188E-14
389;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Air;low. pop.;kg;2.03061E-10;x;2.01083E-10;1.22139E-13;1.85525E-12
390;Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;Air;high. pop.;kg;4.93481E-12;x;4.91415E-12;1.27632E-15;1.93867E-14
391;Ethane, 1,2-dichloro-;Air;high. pop.;kg;1.85125E-08;x;1.82592E-08;1.56496E-11;2.37707E-10
392;Ethane, 1,2-dichloro-;Air;low. pop.;kg;1.64401E-12;x;1.62756E-12;1.0161E-15;1.54337E-14
393;Ethane, 1,2-dichloro-;Eau;river;kg;1.69194E-09;x;1.67188E-09;1.23852E-12;1.88122E-11
394;Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114;Air;low. pop.;kg;3.51251E-09;x;3.4774E-09;2.16898E-12;3.29459E-11
395;Ethane, hexafluoro-, HFC-116;Air;;kg;4.76943E-09;x;4.7213E-09;2.97309E-12;4.51591E-11
396;Ethane, hexafluoro-, HFC-116;Air;high. pop.;kg;3.4656E-10;x;3.45078E-10;9.15312E-14;1.39028E-12
397;Ethanol;Air;high. pop.;kg;2.37667E-07;x;2.34757E-07;1.79763E-10;2.7305E-09
398;Ethanol;Air;low. pop.;kg;1.17937E-09;x;1.16726E-09;7.47427E-13;1.1353E-11
399;Ethanol;Eau;river;kg;1.57988E-09;x;1.57284E-09;4.34815E-13;6.60442E-12
400;Ethene;Air;high. pop.;kg;6.26958E-06;x;6.15778E-06;6.90592E-09;1.04895E-07
401;Ethene;Air;low. pop.;kg;2.50517E-06;x;2.49977E-06;3.33536E-10;5.06619E-09
402;Ethene;Eau;river;kg;2.30609E-07;x;2.27099E-07;2.16796E-10;3.29309E-09
403;Ethene, chloro-;Air;;kg;8.32069E-19;x;8.21539E-19;6.50371E-22;9.87901E-21
404;Ethene, chloro-;Air;high. pop.;kg;6.10782E-09;x;6.03309E-09;4.61602E-12;7.0116E-11
405;Ethene, chloro-;Eau;river;kg;5.76388E-11;x;5.69953E-11;3.97498E-14;6.03757E-13
406;Ethene, tetrachloro-;Air;;kg;1.79907E-15;x;1.77631E-15;1.40624E-18;2.13597E-17
407;Ethene, tetrachloro-;Air;high. pop.;kg;2.36196E-13;x;2.34159E-13;1.25793E-16;1.91077E-15
408;Ethene, tetrachloro-;Air;low. pop.;kg;1.76828E-12;x;1.75058E-12;1.0929E-15;1.66006E-14
409;Ethyl acetate;Air;high. pop.;kg;1.87207E-07;x;1.86419E-07;4.86527E-11;7.39006E-10
410;Ethyl acetate;Eau;river;kg;1.27265E-12;x;1.25559E-12;1.05367E-15;1.6005E-14
411;Ethyl cellulose;Air;high. pop.;kg;3.77475E-10;x;3.75895E-10;9.76164E-14;1.48276E-12
412;Ethylamine;Air;high. pop.;kg;6.1082E-14;x;6.03382E-14;4.59416E-17;6.97845E-16
413;Ethylamine;Eau;river;kg;1.46598E-13;x;1.44813E-13;1.1026E-16;1.67481E-15
414;Ethylene diamine;Air;high. pop.;kg;9.17823E-13;x;9.08745E-13;5.60758E-16;8.51768E-15
415;Ethylene diamine;Eau;river;kg;2.20891E-12;x;2.18699E-12;1.35414E-15;2.05685E-14
416;Ethylene oxide;Air;;kg;1.09088E-11;x;1.08349E-11;4.56117E-15;6.92818E-14
417;Ethylene oxide;Air;high. pop.;kg;3.03631E-09;x;2.99164E-09;2.75888E-12;4.19066E-11
418;Ethylene oxide;Air;low. pop.;kg;7.69282E-13;x;7.64075E-13;3.2165E-16;4.88569E-15
419;Ethylene oxide;Air;stratosphere + troposphere;kg;4.67498E-12;x;4.64334E-12;1.9547E-15;2.96917E-14
420;Ethylene oxide;Eau;river;kg;1.211E-10;x;1.20489E-10;3.77782E-14;5.73812E-13
421;Ethyne;Air;;kg;4.30004E-10;x;4.25881E-10;2.5468E-13;3.86851E-12
422;Ethyne;Air;high. pop.;kg;5.64255E-08;x;5.63151E-08;6.82076E-12;1.03602E-10
423;Ethyne;Air;low. pop.;kg;8.37293E-08;x;8.35159E-08;1.318E-11;2.00199E-10
424;Feldspar;Brut;in ground;kg;7.52131E-11;x;7.44697E-11;4.59179E-14;6.97459E-13
425;Fenpiclonil;Sol;agricultural;kg;3.86583E-11;x;3.83794E-11;1.72257E-14;2.61652E-13
426;Fluoride;Eau;;kg;1.14386E-07;x;1.12849E-07;9.49724E-11;1.4426E-09
427;Fluoride;Eau;groundwater;kg;7.79515E-07;x;7.75253E-07;2.63212E-10;3.99812E-09
428;Fluoride;Eau;ocean;kg;4.99089E-06;x;4.93174E-06;3.65351E-09;5.54972E-08
429;Fluoride;Eau;river;kg;6.10981E-06;x;6.00426E-06;6.51949E-09;9.90276E-08
430;Fluoride;Sol;;kg;1.11545E-07;x;1.10009E-07;9.48856E-11;1.44122E-09
431;Fluoride;Sol;industrial;kg;3.22504E-06;x;3.1805E-06;2.75114E-09;4.17884E-08
432;Fluorine;Air;;kg;5.13046E-12;x;5.06709E-12;3.91436E-15;5.94586E-14
433;Fluorine;Air;high. pop.;kg;3.90497E-09;x;3.87199E-09;2.03725E-12;3.09448E-11
434;Fluorine;Air;low. pop.;kg;2.64843E-08;x;2.64219E-08;3.8547E-12;5.85525E-11
435;Fluorine, 4.5% in apatite, 1% in crude ore, in ground;Brut;in ground;kg;6.62484E-06;x;6.54122E-06;5.16456E-09;7.84475E-08
436;Fluorine, 4.5% in apatite, 3% in crude ore, in ground;Brut;in ground;kg;2.92334E-06;x;2.88629E-06;2.28816E-09;3.47564E-08
437;Fluorspar;Brut;in ground;kg;0.000182309;x;0.000179882;1.49897E-07;2.27691E-06
438;Fluosilicic acid;Air;high. pop.;kg;5.57418E-09;x;5.51793E-09;3.47466E-12;5.2779E-11
439;Fluosilicic acid;Eau;river;kg;1.00336E-08;x;9.93239E-09;6.25446E-12;9.5E-11
440;Formaldehyde;Air;;kg;2.71525E-06;x;1.61458E-07;2.84838E-07;2.26895E-06
441;Formaldehyde;Air;high. pop.;kg;6.76506E-07;x;6.71075E-07;3.35438E-10;5.09514E-09
442;Formaldehyde;Air;low. pop.;kg;1.48287E-07;x;1.46937E-07;8.3386E-11;1.26657E-09
443;Formaldehyde;Air;stratosphere + troposphere;kg;4.03048E-12;x;4.0032E-12;1.68524E-15;2.55978E-14
444;Formaldehyde;Eau;;kg;2.97589E-08;x;2.93043E-08;2.80789E-11;4.26508E-10
445;Formaldehyde;Eau;river;kg;2.62164E-10;x;2.5856E-10;2.22597E-13;3.38122E-12
446;Formamide;Air;high. pop.;kg;6.78536E-14;x;6.73425E-14;3.15738E-17;4.79586E-16
447;Formamide;Eau;river;kg;1.62854E-13;x;1.61627E-13;7.57782E-17;1.15105E-15
448;Formate;Eau;river;kg;1.32928E-11;x;1.28625E-11;2.65777E-14;4.03707E-13
449;Formic acid;Air;high. pop.;kg;2.33552E-10;x;2.32575E-10;6.03852E-14;9.17238E-13
450;Formic acid;Air;low. pop.;kg;9.50576E-09;x;9.36645E-09;8.60537E-12;1.30707E-10
451;Formic acid;Eau;river;kg;4.72728E-14;x;4.69167E-14;2.19976E-17;3.34127E-16
452;Furan;Air;;kg;1.7676E-19;x;1.74524E-19;1.38161E-22;2.09856E-21
453;Furan;Air;low. pop.;kg;2.69928E-09;x;2.65973E-09;2.44349E-12;3.71155E-11
454;Gallium;Brut;in ground;kg;2.02091E-12;x;2.00285E-12;1.11547E-15;1.69442E-14
455;Gas, mine, off-gas, process, coal mining/m3;Brut;in ground;m3;0.001758177;x;0.001750462;4.76527E-07;7.23812E-06
456;Gas, natural/m3;Brut;in ground;m3;0.19909429;x;0.196177905;0.000180142;0.002736243
457;Glutaraldehyde;Eau;ocean;kg;6.36245E-08;x;6.28911E-08;4.53078E-11;6.88177E-10
