i,Estimate
1,0.45200190284318
1,5.1321873996669
2,0.5525238427926
2,3.34128002859111
3,0.33212887205082
3,1.27673675256616
4,0.46330150342099
4,1.59503290975977
5,0.61041062650224
5,4.62037439561494
6,0.81488601339836
6,5.69242337802362
7,0.1945672332154
7,0.66029127322352
8,0.62400540519788
8,3.04702371265246
9,0.54915191339259
9,4.7553858373829
10,0.77804063852022
10,4.6441995668149
11,0.31683921686749
11,1.61150879282632
12,0.28228744453762
12,1.36875225916487
13,0.68437364212038
13,6.25898452302365
14,0.80515342295313
14,5.75135466662414
15,0.20607841370011
15,1.36921061532656
16,0.61935913053229
16,6.11090044419793
17,0.58299382677585
17,5.57225959358456
18,0.72843234758088
18,3.52458798315904
19,0.31762188366742
19,2.09563456573153
20,0.50802266286686
20,2.49993711566316
21,0.81050401009089
21,3.13770208682464
22,0.45257871934484
22,2.36980350514139
23,0.86242352667926
23,3.68102222509551
24,0.3634639282572
24,2.91352674391725
25,1.04780700315748
25,5.8162324754751
26,0.69889319835591
26,3.33402316040629
27,0.78673544964881
27,3.732920096252
28,0.62028683712832
28,3.90090802169528
29,0.24509656657969
29,1.50997965998688
30,0.65731697996204
30,4.04350701438425
31,0.66091066122042
31,2.72209121750261
32,0.56617523084529
32,2.66781961255825
33,0.73664475776337
33,4.78460962043623
34,0.55699195882204
34,4.16742047342674
35,0.18506375235045
35,1.28861681544554
36,0.74607967861809
36,5.15984573837961
37,0.78229229810642
37,2.67056989876584
38,0.40655685410845
38,3.05176402468031
39,0.61869309211
39,1.59095853777507
40,0.55808804084279
40,2.16754745638152
41,0.50882957837026
41,1.84282783387321
42,0.58533406027952
42,5.06608180226876
43,0.61307029211104
43,4.89845884201811
44,0.56777063100484
44,3.21534544325023
