i,Estimate
1,0.12119838431004
1,4.80083454628E-6
1,5.12165459475E-7
1,-0.0000248102102
1,-1.5107895281E-8
1,2.30160052074E-7
1,0.00007162807743
1,1.70780242974E-7
1,-1.1586092557E-8
1,1.03015938838E-6
1,-6.0565002629E-7
1,-6.95699101E-10
1,-2.128123971E-11
1,-9.9732111346E-9
1,1.9266982431E-10
1,0.00061850930074
1,1.56733176802E-6
1,1.42649444555E-6
1,2.22205823932E-6
1,-1.1833519733E-8
1,0.0005286526493
1,-0.0214409321975
1,-2.1722077756E-6
1,1.97876779086E-6
1,4.28841922943E-7
1,2.61931705393E-9
1,-0.0001049186372
1,0.0042500978885
1,0.00098314968065
1,1.10877920391E-7
1,-4.1989140329E-8
1,-4.5029797873E-8
1,1.273583804E-10
1,4.62898708467E-6
1,-0.000199832138
1,9.51691531874E-6
1,2.29528263419E-7
1,-1.860711719E-10
1,-6.510862364E-11
1,2.06627219506E-9
1,-3.261782205E-11
1,-1.4642245311E-7
1,-7.0094256083E-7
1,4.1214621971E-8
1,3.77515323876E-9
1,-0.0019991656539
1,-3.7750085665E-6
1,2.60271773344E-7
1,-0.0000243165633
1,1.84003877475E-7
1,-0.0000620997483
1,-0.0000238307589
1,1.90317045235E-6
1,-6.6190572342E-8
1,0.00068380011974
2,2.287236266435
2,-0.0000130991589
2,1.43477958398E-6
2,-0.0002678252014
2,-6.8326807836E-8
2,5.85152946321E-7
2,0.00024320411968
2,6.39398014187E-7
2,1.0484781571E-8
2,4.72816425634E-6
2,-2.6506347252E-7
2,-5.4078937268E-9
2,-6.405846623E-10
2,-4.5706862586E-8
2,4.01930979248E-9
2,-0.3408082342642
2,1.39722776501E-6
2,0.00003819481364
2,-2.8914170167E-6
2,-1.3963862575E-7
2,0.0513464574525
2,0.01272233171431
2,-6.3772588947E-8
2,-1.3980069818E-6
2,3.94755761705E-8
2,5.83762444169E-9
2,-0.001924353613
2,0.00007237337129
2,-0.0050902352503
2,-9.8091189122E-6
2,1.18129959999E-7
2,-0.0000765395161
2,2.80083818993E-7
2,-0.0000427375031
2,3.52435730031E-6
2,0.0018090930862
3,4.56611814640406
3,0.00017303412678
3,7.00078749921E-6
3,-0.0006411680208
3,-3.3904213039E-7
3,1.6158423991E-6
3,-0.6713313609064
3,-0.0000305742912
3,0.00007812611082
3,0.10008007051733
3,0.02458933878347
3,7.98199111951E-7
3,-2.5213643689E-6
3,-0.0036952004359
