SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:50;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 ha _Oak forest manual clearance by brush-cutter, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest manual clearance by brush-cutter, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_Brush-cutter/hr/FR U;Operation, passenger car, diesel, fleet average/RER S
58;Aldrin;Sol;agricultural;kg;1.22534E-11;x;1.01293E-11;2.12407E-12
59;Aluminium;Brut;in ground;kg;0.010735407;x;0.0102982;0.000437207
60;Aluminium;Air;;kg;0.000211919;x;0.000186834;2.50856E-05
61;Aluminium;Air;high. pop.;kg;5.15619E-05;x;5.11152E-05;4.46722E-07
62;Aluminium;Air;low. pop.;kg;2.07892E-06;x;1.72396E-06;3.54968E-07
63;Aluminium;Eau;;kg;2.48688E-07;x;1.90504E-07;5.81842E-08
64;Aluminium;Eau;groundwater;kg;5.21533E-06;x;4.12394E-06;1.0914E-06
65;Aluminium;Eau;ocean;kg;7.616E-05;x;5.23014E-05;2.38586E-05
66;Aluminium;Eau;river;kg;3.6935E-05;x;2.88971E-05;8.03787E-06
67;Aluminium;Sol;agricultural;kg;3.86288E-06;x;3.40344E-06;4.59437E-07
68;Aluminium;Sol;industrial;kg;0.000557977;x;0.000389249;0.000168728
69;Ammonia;Air;;kg;0.000714967;x;0.00011665;0.000598317
70;Ammonia;Air;high. pop.;kg;1.74592E-05;x;1.28099E-05;4.64936E-06
71;Ammonia;Air;low. pop.;kg;7.37161E-05;x;5.10131E-05;2.27031E-05
72;Ammonium carbonate;Air;high. pop.;kg;1.31713E-08;x;1.25483E-08;6.23012E-10
73;Ammonium, ion;Eau;;kg;3.68826E-09;x;3.07978E-09;6.08478E-10
74;Ammonium, ion;Eau;groundwater;kg;6.81888E-07;x;5.73435E-07;1.08452E-07
75;Ammonium, ion;Eau;ocean;kg;5.19795E-05;x;3.8144E-05;1.38355E-05
76;Ammonium, ion;Eau;river;kg;7.95082E-05;x;5.88229E-05;2.06853E-05
77;Anhydrite;Brut;in ground;kg;6.72234E-07;x;6.44294E-07;2.79399E-08
78;Aniline;Air;high. pop.;kg;9.60939E-12;x;6.86325E-12;2.74614E-12
79;Aniline;Eau;river;kg;2.31079E-11;x;1.64931E-11;6.61483E-12
80;Anthranilic acid;Air;high. pop.;kg;8.04994E-14;x;3.72416E-14;4.32578E-14
81;Antimony;Air;;kg;1.93918E-10;x;1.2614E-10;6.77779E-11
82;Antimony;Air;high. pop.;kg;7.87152E-09;x;7.76317E-09;1.08346E-10
83;Antimony;Air;low. pop.;kg;6.81461E-08;x;5.67165E-08;1.14296E-08
84;Antimony;Eau;;kg;3.36761E-12;x;2.81204E-12;5.55574E-13
85;Antimony;Eau;groundwater;kg;2.54995E-07;x;1.95169E-07;5.98261E-08
86;Antimony;Eau;river;kg;4.95217E-07;x;4.50021E-07;4.51964E-08
87;Antimony;Sol;agricultural;kg;2.48155E-12;x;2.18703E-12;2.94524E-13
88;Antimony-122;Eau;river;Bq;4.70682E-05;x;2.20216E-05;2.50465E-05
89;Antimony-124;Air;low. pop.;Bq;1.16748E-07;x;5.46224E-08;6.21261E-08
90;Antimony-124;Eau;river;Bq;0.017186614;x;0.012551639;0.004634974
