SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:55;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;
Product: ;1 ha _Oak forest rack cleaning by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;
Méthode: ;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;
;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack cleaning by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
138;Benzene, ethyl-;Air;high. pop.;kg;3.69025E-05;x;1.8145E-06;3.21747E-05;x;x;1.81554E-06;1.09774E-06
139;Benzene, ethyl-;Air;low. pop.;kg;2.34118E-10;x;1.2905E-12;2.18053E-11;x;x;1.27737E-10;8.32845E-11
140;Benzene, ethyl-;Eau;;kg;9.9776E-10;x;8.1855E-13;1.17399E-11;x;x;8.19336E-10;1.65866E-10
141;Benzene, ethyl-;Eau;ocean;kg;1.3777E-05;x;4.3672E-07;1.24608E-05;x;x;5.78937E-07;3.00539E-07
142;Benzene, ethyl-;Eau;river;kg;2.84569E-05;x;1.3437E-06;2.45984E-05;x;x;1.64271E-06;8.72139E-07
143;Benzene, hexachloro-;Air;;kg;6.5308E-09;x;8.9347E-11;1.70647E-09;x;x;1.6773E-09;3.05768E-09
144;Benzene, hexachloro-;Air;high. pop.;kg;1.31515E-10;x;6.5356E-13;1.00412E-11;x;x;8.82479E-11;3.25723E-11
145;Benzene, pentachloro-;Air;high. pop.;kg;3.30122E-10;x;1.6402E-12;2.5199E-11;x;x;2.21525E-10;8.17577E-11
146;Benzo(a)pyrene;Air;;kg;1.67002E-07;x;2.7591E-10;3.92574E-09;x;x;1.53626E-07;9.17427E-09
147;Benzo(a)pyrene;Air;high. pop.;kg;1.63648E-09;x;1.8567E-11;3.53721E-10;x;x;7.89141E-10;4.75055E-10
148;Benzo(a)pyrene;Air;low. pop.;kg;8.31817E-07;x;1.7168E-09;3.54157E-08;6.552E-07;x;5.04899E-08;8.89949E-08
149;Beryllium;Air;;kg;6.71358E-10;x;1.7885E-11;2.60486E-10;x;x;1.75945E-10;2.17042E-10
150;Beryllium;Air;high. pop.;kg;1.14791E-08;x;1.3424E-11;2.58061E-10;x;x;4.07644E-09;7.13113E-09
151;Beryllium;Air;low. pop.;kg;9.88775E-09;x;1.6222E-11;2.75839E-10;x;x;3.97662E-09;5.61907E-09
152;Beryllium;Eau;;kg;1.06117E-10;x;8.7057E-14;1.24857E-12;x;x;8.71408E-11;1.76406E-11
153;Beryllium;Eau;groundwater;kg;5.68955E-08;x;3.0339E-10;5.99967E-09;x;x;2.76557E-08;2.29368E-08
154;Beryllium;Eau;river;kg;2.50858E-09;x;2.3488E-11;4.32607E-10;x;x;9.90217E-10;1.06227E-09
155;BOD5, Biological Oxygen Demand;Eau;;kg;0.000656254;x;1.8942E-06;3.72154E-05;x;x;0.00019532;0.000421825
156;BOD5, Biological Oxygen Demand;Eau;groundwater;kg;7.82831E-07;x;3.7896E-09;7.65623E-08;x;x;2.41386E-07;4.61094E-07
157;BOD5, Biological Oxygen Demand;Eau;ocean;kg;0.0575698;x;0.0022164;0.051227904;x;x;0.002601417;0.001524079
158;BOD5, Biological Oxygen Demand;Eau;river;kg;0.312576822;x;0.010006;0.28230384;x;x;0.013342308;0.006924673
159;Borate;Eau;river;kg;1.65491E-09;x;2.2837E-12;2.29102E-11;x;x;8.31968E-10;7.97745E-10
160;Borax;Brut;in ground;kg;1.93759E-07;x;5.4637E-09;4.92492E-08;x;x;6.47424E-08;7.43034E-08
161;Boron;Air;;kg;1.37936E-14;x;1.0878E-16;1.85085E-15;x;x;5.61079E-15;6.22315E-15
162;Boron;Air;high. pop.;kg;4.39974E-06;x;4.0161E-09;7.32164E-08;x;x;1.66714E-06;2.65537E-06
163;Boron;Air;low. pop.;kg;4.5826E-05;x;8.4519E-07;1.75875E-05;x;x;1.43818E-05;1.30114E-05
164;Boron;Eau;;kg;3.32369E-08;x;2.7267E-11;3.91067E-10;x;x;2.72935E-08;5.52509E-09
165;Boron;Eau;groundwater;kg;0.000163018;x;2.267E-07;3.14147E-06;x;x;0.000117193;4.24563E-05
166;Boron;Eau;ocean;kg;4.69375E-06;x;1.4876E-07;4.24439E-06;x;x;1.97631E-07;1.02976E-07
167;Boron;Eau;river;kg;8.43323E-06;x;3.4695E-07;6.06191E-06;x;x;1.18456E-06;8.39801E-07
168;Boron;Sol;;kg;8.16076E-07;x;1.339E-08;1.93865E-07;x;x;3.88225E-07;2.20596E-07
169;Boron;Sol;agricultural;kg;5.92063E-09;x;2.8764E-10;5.26803E-09;x;x;2.39089E-10;1.25879E-10
170;Boron;Sol;industrial;kg;8.0788E-06;x;2.9683E-07;7.17378E-06;x;x;3.85796E-07;2.22387E-07
171;Boron trifluoride;Air;high. pop.;kg;1.72632E-16;x;2.3144E-18;1.59952E-17;x;x;1.164E-16;3.79225E-17
172;Bromate;Eau;river;kg;6.22729E-06;x;5.7117E-08;1.1708E-06;x;x;3.57485E-06;1.42452E-06
173;Bromide;Eau;river;kg;1.03676E-07;x;3.8281E-10;6.85623E-09;x;x;4.75425E-08;4.88943E-08
174;Bromine;Brut;in water;kg;1.18887E-07;x;3.7619E-10;6.43974E-09;x;x;5.55249E-08;5.65459E-08
175;Bromine;Air;;kg;1.1663E-14;x;8.9026E-17;1.51388E-15;x;x;4.91708E-15;5.143E-15
176;Bromine;Air;high. pop.;kg;2.11041E-07;x;1.9277E-09;3.72525E-08;x;x;8.15832E-08;9.02775E-08
177;Bromine;Air;low. pop.;kg;5.06292E-06;x;9.237E-08;1.92133E-06;x;x;1.62077E-06;1.42845E-06
178;Bromine;Eau;;kg;2.26918E-06;x;1.8616E-09;2.66994E-08;x;x;1.86339E-06;3.77227E-07
179;Bromine;Eau;groundwater;kg;1.30251E-06;x;2.441E-08;5.08173E-07;x;x;3.96101E-07;3.73823E-07
180;Bromine;Eau;ocean;kg;0.000401757;x;0.000012735;0.000363374;x;x;1.68834E-05;8.76431E-06
181;Bromine;Eau;river;kg;0.000844575;x;0.000039372;0.000720698;x;x;5.52407E-05;2.92645E-05
182;Butadiene;Air;;kg;1.27677E-11;x;2.5454E-13;4.45427E-12;x;x;5.91053E-12;2.14839E-12
183;Butadiene;Air;high. pop.;kg;4.12103E-12;x;6.0021E-15;6.85689E-14;x;x;2.3557E-12;1.69075E-12
184;Butadiene;Air;low. pop.;kg;9.00374E-13;x;1.795E-14;3.14103E-13;x;x;4.16816E-13;1.51505E-13
185;Butadiene;Air;stratosphere + troposphere;kg;5.47185E-12;x;1.0909E-13;1.90893E-12;x;x;2.53311E-12;9.20733E-13
186;Butane;Air;;kg;1.07031E-07;x;8.7808E-11;1.25934E-09;x;x;8.78917E-08;1.77926E-08
187;Butane;Air;high. pop.;kg;0.001616092;x;0.000077883;0.001383651;x;x;9.16252E-05;6.29321E-05
188;Butane;Air;low. pop.;kg;5.24195E-05;x;1.3942E-06;3.90368E-05;x;x;6.00137E-06;5.98709E-06
189;Butene;Air;high. pop.;kg;3.68195E-05;x;1.8133E-06;3.21507E-05;x;x;1.78124E-06;1.07433E-06
190;Butene;Eau;river;kg;2.54384E-09;x;3.8097E-11;4.85874E-10;x;x;1.39328E-09;6.26583E-10
191;Butyl acetate;Eau;river;kg;9.24721E-09;x;1.2381E-10;8.69341E-10;x;x;6.20468E-09;2.04938E-09
192;Butyrolactone;Air;high. pop.;kg;6.61665E-12;x;8.8471E-14;6.33709E-13;x;x;4.41225E-12;1.48222E-12
193;Butyrolactone;Eau;river;kg;1.58804E-11;x;2.1233E-13;1.52092E-12;x;x;1.05897E-11;3.55743E-12
194;Cadmium;Brut;in ground;kg;0.000213922;x;9.9395E-08;4.1116E-07;x;x;0.000173575;3.98367E-05
195;Cadmium;Air;;kg;1.16627E-07;x;1.7869E-08;7.62806E-09;x;x;2.84448E-08;6.26854E-08
196;Cadmium;Air;high. pop.;kg;1.11383E-06;x;4.1561E-08;9.32983E-07;x;x;8.25033E-08;5.67802E-08
197;Cadmium;Air;low. pop.;kg;3.44065E-06;x;4.2885E-09;6.14032E-08;2.184E-07;x;2.32258E-06;8.3398E-07
198;Cadmium;Air;stratosphere + troposphere;kg;2.89515E-15;x;5.7719E-17;1.01001E-15;x;x;1.34025E-15;4.87167E-16
199;Cadmium;Sol;;kg;8.7592E-09;x;7.9654E-09;2.07286E-10;x;x;2.71228E-10;3.15289E-10
200;Cadmium;Sol;agricultural;kg;7.13614E-07;x;5.9965E-11;1.06127E-09;x;7.06667E-07;2.38588E-09;3.44001E-09
201;Cadmium, ion;Eau;;kg;5.55825E-07;x;1.1213E-08;6.69855E-08;x;x;1.50152E-07;3.27475E-07
202;Cadmium, ion;Eau;groundwater;kg;1.22374E-07;x;3.0501E-10;5.35713E-09;x;x;7.61374E-08;4.05742E-08
203;Cadmium, ion;Eau;lake;kg;4.34932E-14;x;5.8153E-16;4.16751E-15;x;x;2.89984E-14;9.7458E-15
204;Cadmium, ion;Eau;ocean;kg;1.55739E-07;x;4.8653E-09;1.37345E-07;x;x;8.21942E-09;5.30925E-09
205;Cadmium, ion;Eau;river;kg;3.34671E-07;x;7.4684E-09;1.11635E-07;x;x;1.44375E-07;7.11929E-08
206;Calcite;Brut;in ground;kg;1.887573184;x;0.011388;0.186769128;x;x;0.591848056;1.097568
207;Calcium;Air;high. pop.;kg;2.46675E-05;x;2.9955E-07;6.14971E-06;x;x;8.23561E-06;9.9826E-06
208;Calcium;Air;low. pop.;kg;3.90538E-06;x;7.877E-09;1.49897E-07;x;x;1.14922E-06;2.59839E-06
209;Calcium;Sol;agricultural;kg;5.44668E-05;x;9.5919E-07;1.90947E-05;x;x;1.66891E-05;1.77237E-05
210;Calcium;Sol;industrial;kg;0.003231561;x;0.00011873;0.002869558;x;x;0.000154318;8.89554E-05
211;Calcium, ion;Eau;;kg;3.40368E-05;x;2.7924E-08;4.0048E-07;x;x;2.79501E-05;5.65829E-06
212;Calcium, ion;Eau;groundwater;kg;0.002898311;x;0.000023868;0.000484935;x;x;0.001262858;0.00112665
213;Calcium, ion;Eau;lake;kg;4.71731E-07;x;6.1883E-09;1.24353E-07;x;x;1.99692E-07;1.41498E-07
214;Calcium, ion;Eau;ocean;kg;0.018266934;x;0.00057658;0.016392886;x;x;0.000824165;0.000473304
215;Calcium, ion;Eau;river;kg;0.039574765;x;0.0017305;0.031619952;x;x;0.004034036;0.002190277
216;Carbetamide;Sol;agricultural;kg;1.37123E-08;x;1.6306E-11;9.66966E-11;x;x;4.68432E-09;8.91503E-09
217;Carbofuran;Sol;agricultural;kg;2.2807E-08;x;8.1373E-10;1.80992E-08;x;x;2.79708E-09;1.0969E-09
218;Carbon;Sol;agricultural;kg;1.20985E-05;x;3.7887E-07;6.90253E-06;x;x;2.83683E-06;1.98029E-06
219;Carbon;Sol;industrial;kg;0.00242364;x;0.000089048;0.002152135;x;x;0.00011574;6.67159E-05
220;Carbon-14;Air;low. pop.;Bq;315.3191338;x;2.782;49.323456;x;x;123.3339444;139.8797333
221;Carbon dioxide, biogenic;Air;;kg;0.014528883;x;0.00023654;0.004179302;x;x;0.004687114;0.005425927
222;Carbon dioxide, biogenic;Air;high. pop.;kg;0.192605943;x;0.0027292;0.052992576;x;x;0.081717167;0.055167
223;Carbon dioxide, biogenic;Air;low. pop.;kg;0.034458386;x;0.00043056;0.008419757;x;x;0.012966156;0.012641913
224;Carbon dioxide, fossil;Air;;kg;9.613103258;x;3.8482;0.50553048;x;x;1.747086111;3.512286667
225;Carbon dioxide, fossil;Air;high. pop.;kg;13.91526742;x;0.25162;5.0729952;x;x;4.969338889;3.621313333
226;Carbon dioxide, fossil;Air;low. pop.;kg;75.96104422;x;0.30759;4.479384;67.94666667;x;1.602955556;1.624448
227;Carbon dioxide, fossil;Air;stratosphere + troposphere;kg;9.11977E-07;x;1.8181E-08;3.18165E-07;x;x;4.22174E-07;1.53456E-07
228;Carbon dioxide, in air;Brut;in air;kg;0.317960454;x;0.0033887;0.066441648;x;x;0.138163639;0.109966467
229;Carbon dioxide, land transformation;Air;low. pop.;kg;0.000613312;x;0.000016383;0.0003549;x;x;0.000129123;0.000112907
230;Carbon disulfide;Air;;kg;1.38702E-15;x;1.1379E-18;1.63197E-17;x;x;1.13898E-15;2.30574E-16
231;Carbon disulfide;Air;high. pop.;kg;4.03802E-10;x;7.4921E-13;1.22155E-11;x;x;3.36403E-10;5.44344E-11
232;Carbon disulfide;Air;low. pop.;kg;0.000251568;x;3.1538E-07;4.64493E-06;x;x;0.000183439;6.31689E-05
233;Carbon disulfide;Eau;river;kg;4.33933E-10;x;7.1623E-13;1.03008E-11;x;x;3.24331E-10;9.85853E-11
234;Carbon monoxide, biogenic;Air;high. pop.;kg;3.90457E-05;x;3.0455E-07;5.45061E-06;x;x;2.52722E-05;8.01839E-06
235;Carbon monoxide, biogenic;Air;low. pop.;kg;5.19042E-05;x;3.0908E-07;5.66093E-06;x;x;3.69955E-05;8.93871E-06
236;Carbon monoxide, fossil;Air;;kg;0.156272091;x;0.0093831;0.00615888;x;x;0.046528111;0.094202
237;Carbon monoxide, fossil;Air;high. pop.;kg;0.005678581;x;0.00006065;0.001198361;x;x;0.003040728;0.001378842
238;Carbon monoxide, fossil;Air;low. pop.;kg;0.18891071;x;0.00046967;0.00865541;0.174050575;x;0.002212161;0.003522893
239;Carbon monoxide, fossil;Air;stratosphere + troposphere;kg;1.0712E-09;x;2.1356E-11;3.73704E-10;x;x;4.95889E-10;1.80249E-10
240;Carbon, in organic matter, in soil;Brut;in ground;kg;2.88085E-05;x;1.0278E-06;2.28621E-05;x;x;3.53304E-06;1.38555E-06
241;Carbonate;Eau;river;kg;1.66832E-05;x;1.1464E-07;2.01878E-06;x;x;1.00597E-05;4.49007E-06
242;Carboxylic acids, unspecified;Eau;ocean;kg;0.003233695;x;0.00010245;0.002923066;x;x;0.000136649;7.15309E-05
243;Carboxylic acids, unspecified;Eau;river;kg;0.004363158;x;0.00020602;0.00377155;x;x;0.000251868;0.00013372
244;Cerium-141;Air;low. pop.;Bq;0.000624208;x;1.7985E-06;1.01973E-05;x;x;0.000275364;0.000336848
245;Cerium-141;Eau;river;Bq;0.002678336;x;7.7169E-06;4.37543E-05;x;x;0.001181547;0.001445319
246;Cerium-144;Eau;river;Bq;0.000815367;x;2.3493E-06;1.33202E-05;x;x;0.000359693;0.000440004
247;Cesium;Eau;ocean;kg;5.73947E-07;x;1.8194E-08;5.19115E-07;x;x;2.41179E-08;1.25203E-08
248;Cesium;Eau;river;kg;1.18567E-06;x;5.5984E-08;1.02491E-06;x;x;6.84436E-08;3.63365E-08
249;Cesium-134;Air;low. pop.;Bq;2.98957E-05;x;8.6138E-08;4.88386E-07;x;x;1.31885E-05;1.61327E-05
250;Cesium-134;Eau;river;Bq;0.054994158;x;0.00058807;0.011079869;x;x;0.021298639;0.02202758
251;Cesium-136;Eau;river;Bq;0.000475347;x;1.3696E-06;7.76543E-06;x;x;0.000209703;0.000256509
252;Cesium-137;Air;low. pop.;Bq;0.000529959;x;1.5269E-06;8.65759E-06;x;x;0.000233789;0.000285985
253;Cesium-137;Eau;ocean;Bq;45.79276471;x;0.49415;9.2883336;x;x;17.15286111;18.85742
254;Cesium-137;Eau;river;Bq;0.880155945;x;0.0034556;0.036184512;x;x;0.382085833;0.45843
255;Chloramine;Air;high. pop.;kg;3.24986E-11;x;4.4725E-14;4.45602E-13;x;x;1.62371E-11;1.57711E-11
256;Chloramine;Eau;river;kg;2.95326E-10;x;4.0542E-13;4.0131E-12;x;x;1.46697E-10;1.44211E-10
257;Chlorate;Eau;river;kg;4.94913E-05;x;4.8565E-07;1.00925E-05;x;x;2.78309E-05;1.10822E-05
258;Chloride;Eau;;kg;0.000545172;x;6.1774E-06;0.000140942;x;x;0.000325597;7.24559E-05
259;Chloride;Eau;groundwater;kg;0.052137597;x;0.00025245;0.005087191;x;x;0.015994222;0.030803733
260;Chloride;Eau;ocean;kg;0.287953431;x;0.009128;0.260442;x;x;0.012101078;0.006282353
261;Chloride;Eau;river;kg;0.606864677;x;0.028285;0.5182632;x;x;0.038694417;0.02162206
262;Chloride;Sol;;kg;0.000895853;x;0.000074913;0.000217347;x;x;0.000283123;0.000320469
263;Chloride;Sol;agricultural;kg;5.7214E-07;x;9.1891E-09;1.8583E-07;x;x;1.81289E-07;1.95831E-07
264;Chloride;Sol;industrial;kg;0.002827483;x;0.00010389;0.002510726;x;x;0.000135031;7.78357E-05
265;Chlorinated solvents, unspecified;Eau;ocean;kg;4.04096E-15;x;4.6148E-17;8.24198E-16;x;x;1.61444E-15;1.55617E-15
266;Chlorinated solvents, unspecified;Eau;river;kg;3.07927E-08;x;3.4921E-10;6.68916E-09;x;x;1.6882E-08;6.87238E-09
267;Chlorine;Air;;kg;4.34701E-09;x;5.0122E-12;6.03854E-11;x;x;4.17139E-09;1.10216E-10
268;Chlorine;Air;high. pop.;kg;1.91499E-05;x;3.3632E-07;7.03685E-06;x;x;4.211E-06;7.56576E-06
269;Chlorine;Air;low. pop.;kg;3.94573E-08;x;3.6209E-10;6.50133E-09;x;x;1.53847E-08;1.72092E-08
270;Chlorine;Eau;river;kg;2.59647E-07;x;3.807E-09;6.51618E-08;x;x;7.35655E-08;1.17112E-07
271;Chloroacetic acid;Air;high. pop.;kg;3.66921E-09;x;1.9948E-11;1.07189E-10;x;x;1.22457E-09;2.31751E-09
272;Chloroacetic acid;Eau;river;kg;8.34674E-07;x;1.0292E-09;6.00403E-09;x;x;2.82976E-07;5.44665E-07
273;Chloroacetyl chloride;Eau;river;kg;1.62629E-11;x;1.946E-14;1.16993E-13;x;x;5.54027E-12;1.05862E-11
274;Chloroform;Air;;kg;6.31093E-16;x;5.1774E-19;7.4256E-18;x;x;5.18237E-16;1.04912E-16
275;Chloroform;Air;high. pop.;kg;6.32285E-09;x;4.7348E-11;6.36483E-10;x;x;2.83491E-09;2.80411E-09
276;Chloroform;Air;low. pop.;kg;2.43974E-10;x;1.3449E-12;2.27245E-11;x;x;1.33115E-10;8.67897E-11
277;Chloroform;Eau;river;kg;1.58009E-10;x;1.9389E-12;1.34458E-11;x;x;1.03017E-10;3.96073E-11
278;Chlorosilane, trimethyl-;Air;high. pop.;kg;9.85411E-10;x;2.4884E-11;4.20922E-10;x;x;2.64941E-10;2.74663E-10
279;Chlorosulfonic acid;Air;high. pop.;kg;6.02086E-11;x;7.1466E-14;4.18869E-13;x;x;2.04021E-11;3.93162E-11
280;Chlorosulfonic acid;Eau;river;kg;1.50145E-10;x;1.7822E-13;1.04454E-12;x;x;5.08771E-11;9.80451E-11
281;Chlorothalonil;Sol;agricultural;kg;9.48296E-08;x;1.5779E-10;2.29932E-09;x;x;7.20785E-08;2.0294E-08
282;Chromium;Brut;in ground;kg;0.061801606;x;0.000032053;0.000522959;x;x;0.016481528;0.044765067
283;Chromium;Air;;kg;2.00738E-06;x;3.0182E-07;2.33404E-07;x;x;4.74394E-07;9.97767E-07
284;Chromium;Air;high. pop.;kg;8.79491E-07;x;2.1425E-08;5.04504E-07;x;x;1.64344E-07;1.89218E-07
285;Chromium;Air;low. pop.;kg;0.000213626;x;1.0493E-07;1.7049E-06;1.09618E-06;x;5.67159E-05;0.000154004
286;Chromium;Air;stratosphere + troposphere;kg;1.44759E-14;x;2.886E-16;5.05006E-15;x;x;6.70141E-15;2.43583E-15
287;Chromium;Sol;;kg;4.17747E-08;x;3.7989E-08;9.88566E-10;x;x;1.29352E-09;1.50363E-09
288;Chromium;Sol;agricultural;kg;7.33429E-08;x;7.7242E-10;1.46782E-08;x;x;2.33318E-08;3.45605E-08
289;Chromium;Sol;industrial;kg;4.03951E-06;x;1.4841E-07;3.587E-06;x;x;1.92905E-07;1.11192E-07
290;Chromium-51;Air;low. pop.;Bq;3.99998E-05;x;1.1525E-07;6.53453E-07;x;x;1.76461E-05;2.15851E-05
291;Chromium-51;Eau;river;Bq;0.510423185;x;0.0017054;0.013922563;x;x;0.223807222;0.270988
292;Chromium VI;Air;;kg;2.56828E-10;x;1.2395E-10;5.06579E-11;x;x;3.73959E-11;4.48243E-11
293;Chromium VI;Air;high. pop.;kg;3.13107E-08;x;2.377E-10;5.51285E-09;x;x;9.37909E-09;1.61811E-08
294;Chromium VI;Air;low. pop.;kg;5.31257E-06;x;2.6989E-09;4.42435E-08;x;x;1.41713E-06;3.84849E-06
295;Chromium VI;Eau;;kg;4.31669E-07;x;1.2655E-09;2.51029E-08;x;x;1.23952E-07;2.81348E-07
296;Chromium VI;Eau;groundwater;kg;1.70806E-06;x;3.1287E-08;6.5105E-07;x;x;5.17074E-07;5.08651E-07
297;Chromium VI;Eau;river;kg;6.8518E-05;x;4.4523E-07;8.73513E-06;x;x;2.16667E-05;3.76709E-05
298;Chromium VI;Sol;;kg;4.61026E-06;x;7.5677E-08;1.09523E-06;x;x;2.19405E-06;1.2453E-06
299;Chromium, ion;Eau;;kg;5.68359E-07;x;4.6982E-08;1.89897E-07;x;x;1.2194E-07;2.09541E-07
300;Chromium, ion;Eau;groundwater;kg;3.91071E-08;x;5.2377E-11;4.23434E-10;x;x;1.34417E-08;2.51896E-08
301;Chromium, ion;Eau;ocean;kg;2.72035E-06;x;8.6141E-08;2.45591E-06;x;x;1.16345E-07;6.19528E-08
302;Chromium, ion;Eau;river;kg;2.1222E-06;x;1.1882E-07;1.62608E-06;x;x;2.02534E-07;1.74776E-07
303;Chrysotile;Brut;in ground;kg;1.27158E-06;x;1.092E-08;2.22222E-07;x;x;7.0677E-07;3.31668E-07
304;Cinnabar;Brut;in ground;kg;1.07407E-07;x;1.011E-09;2.07419E-08;x;x;6.22927E-08;2.33613E-08
305;Clay;Brut;in ground;kg;0.183714046;x;0.0034045;0.051712752;x;x;0.063015528;0.065581267
306;Clay, bentonite;Brut;in ground;kg;0.073816419;x;0.00040632;0.009250332;x;x;0.0197425;0.044417267
307;Coal, brown;Brut;in ground;kg;1.759200238;x;0.033012;0.68728296;x;x;0.534225278;0.50468
308;Coal, hard;Brut;in ground;kg;5.407123;x;0.026307;0.530166;x;x;1.680983333;3.169666667
309;Cobalt;Brut;in ground;kg;7.29452E-07;x;3.476E-08;6.46944E-07;x;x;3.12082E-08;1.6539E-08
310;Cobalt;Air;;kg;9.02542E-10;x;2.3853E-11;3.47387E-10;x;x;2.40679E-10;2.90623E-10
311;Cobalt;Air;high. pop.;kg;1.31809E-06;x;4.3149E-08;1.00405E-06;x;x;1.49166E-07;1.21723E-07
312;Cobalt;Air;low. pop.;kg;3.32705E-06;x;3.6182E-09;6.88593E-08;x;x;9.19108E-07;2.33546E-06
313;Cobalt;Eau;;kg;2.34591E-10;x;1.9246E-13;2.76014E-12;x;x;1.9264E-10;3.8998E-11
314;Cobalt;Eau;groundwater;kg;4.92291E-07;x;3.3358E-09;6.69352E-08;x;x;2.36174E-07;1.85846E-07
315;Cobalt;Eau;ocean;kg;1.37946E-09;x;1.4886E-11;2.79792E-10;x;x;5.16706E-10;5.68073E-10
316;Cobalt;Eau;river;kg;1.15333E-06;x;1.7467E-08;3.82069E-07;x;x;3.17809E-07;4.35983E-07
317;Cobalt;Sol;agricultural;kg;3.38444E-09;x;5.405E-11;1.08392E-09;x;x;1.09878E-09;1.14769E-09
318;Cobalt-57;Eau;river;Bq;0.01508935;x;0.000043476;0.000246508;x;x;0.006656653;0.008142713
319;Cobalt-58;Air;low. pop.;Bq;5.57021E-05;x;1.6049E-07;9.09942E-07;x;x;2.45729E-05;3.00588E-05
320;Cobalt-58;Eau;river;Bq;2.305448934;x;0.0094666;0.104524056;x;x;0.996826944;1.194631333
321;Cobalt-60;Air;low. pop.;Bq;0.000492072;x;1.4178E-06;8.03865E-06;x;x;0.000217079;0.000265537
322;Cobalt-60;Eau;river;Bq;2.027350508;x;0.0078942;0.081742752;x;x;0.879858889;1.057854667
323;COD, Chemical Oxygen Demand;Eau;;kg;0.000660982;x;1.9399E-06;3.80933E-05;x;x;0.000198014;0.000422935
324;COD, Chemical Oxygen Demand;Eau;groundwater;kg;7.82831E-07;x;3.7896E-09;7.65623E-08;x;x;2.41386E-07;4.61094E-07
325;COD, Chemical Oxygen Demand;Eau;ocean;kg;0.058530998;x;0.0022469;0.052101504;x;x;0.002639694;0.0015429
326;COD, Chemical Oxygen Demand;Eau;river;kg;0.314788189;x;0.010096;0.28396368;x;x;0.013657069;0.00707144
327;Colemanite;Brut;in ground;kg;1.44981E-05;x;1.9892E-07;2.5068E-06;x;x;7.36994E-06;4.42249E-06
328;Copper;Air;;kg;1.99082E-05;x;0.000018521;3.62173E-07;x;x;4.0573E-07;6.19306E-07
329;Copper;Air;high. pop.;kg;3.09272E-06;x;7.467E-08;1.577E-06;x;x;1.05036E-06;3.90695E-07
330;Copper;Air;low. pop.;kg;7.78392E-05;x;7.0513E-08;1.10967E-06;3.71531E-05;x;2.414E-05;1.53659E-05
331;Copper;Air;stratosphere + troposphere;kg;4.92166E-13;x;9.812E-15;1.71697E-13;x;x;2.27841E-13;8.28159E-14
332;Copper;Sol;;kg;3.46411E-06;x;5.803E-07;6.97548E-07;x;x;1.38751E-06;7.98756E-07
333;Copper;Sol;agricultural;kg;3.32608E-08;x;8.7125E-10;1.56165E-08;x;x;1.19914E-08;4.78163E-09
334;Copper;Sol;industrial;kg;6.55357E-08;x;9.6146E-10;1.90301E-08;x;x;3.30764E-08;1.24678E-08
335;Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;0.002386702;x;2.7814E-06;3.69708E-05;x;x;0.001719997;0.000626953
336;Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;0.013231892;x;0.000015305;0.000203258;x;x;0.009537056;0.003476273
337;Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;0.003509957;x;4.0598E-06;5.39164E-05;x;x;0.002529867;0.000922114
338;Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground;Brut;in ground;kg;0.017405266;x;0.000020198;0.000267802;x;x;0.012544806;0.00457246
339;Copper, ion;Eau;;kg;2.88077E-06;x;5.4171E-07;1.88106E-07;x;x;6.69199E-07;1.48175E-06
340;Copper, ion;Eau;groundwater;kg;7.16586E-07;x;2.3437E-09;4.29877E-08;x;x;4.49587E-07;2.21667E-07
341;Copper, ion;Eau;lake;kg;1.97413E-12;x;2.6395E-14;1.89165E-13;x;x;1.31623E-12;4.42347E-13
342;Copper, ion;Eau;ocean;kg;6.31675E-07;x;1.8507E-08;5.05072E-07;x;x;7.50598E-08;3.30361E-08
343;Copper, ion;Eau;river;kg;2.70988E-06;x;2.9199E-08;5.24335E-07;x;x;1.77241E-06;3.83937E-07
