nom_dispo,xCoord,yCoord,an,secheresseEte,tIntervalVeg6,pred
hermousset,0.568355,48.397807,1973,1,12.45315327,12.895416187
hermousset,0.568355,48.397807,2000,1,12.997145948,13.369832718
hermousset,0.568355,48.397807,2005,0,13.12085911,13.457687632
mardescord,1.263985,47.562947,1961,0,12.841936783,12.684564395
mardescord,1.263985,47.562947,1966,0,13.190407363,12.772419308
mardescord,1.263985,47.562947,1973,1,12.893552848,12.895416187
mardescord,1.263985,47.562947,1989,0,13.212915268,13.176551909
mardescord,1.263985,47.562947,1998,0,13.875401034,13.334690753
mardescord,1.263985,47.562947,2001,1,14.096847711,13.387403701
mardescord,1.263985,47.562947,2006,0,13.39678561,13.475258614
mortefert,3.120216,49.204183,1961,0,12.947891816,12.684564395
pauverts,1.261664,47.572551,1966,0,13.190407363,12.772419308
pauverts,1.261664,47.572551,1973,1,12.893552848,12.895416187
pauverts,1.261664,47.572551,2001,1,14.096847711,13.387403701
pauverts,1.261664,47.572551,2006,0,13.39678561,13.475258614
planto,2.735896,46.643062,1982,1,13.716778954,13.053555031
planto,2.735896,46.643062,1992,0,13.374049075,13.229264857
planto,2.735896,46.643062,1998,1,13.968682263,13.334690753
planto,2.735896,46.643062,2003,0,14.261664696,13.422545666
puiseux,3.129425,49.285705,1968,1,12.699726239,12.807561273
puiseux,3.129425,49.285705,1994,0,13.201347332,13.264406822
puiseux,3.129425,49.285705,1999,1,13.497944607,13.352261736
reno,0.685563,48.526383,1991,0,12.432024772,13.211693874
reno,0.685563,48.526383,1993,0,12.452324118,13.24683584
reno,0.685563,48.526383,1995,0,13.09224225,13.281977805
reno,0.685563,48.526383,2000,1,12.786680895,13.369832718
reno,0.685563,48.526383,2004,0,13.184611088,13.440116649
richebourg,2.710052,46.683995,1959,1,13.053904479,12.649422429
richebourg,2.710052,46.683995,1963,0,13.139162623,12.71970636
richebourg,2.710052,46.683995,1995,1,13.707475065,13.281977805
sablo,1.257627,47.568466,1966,0,13.190407363,12.772419308
sablo,1.257627,47.568466,1973,1,12.893552848,12.895416187
sablo,1.257627,47.568466,1976,0,12.929183371,12.948129135
sablo,1.257627,47.568466,1981,1,13.314637672,13.035984048
sablo,1.257627,47.568466,1991,0,13.246577189,13.211693874
sablo,1.257627,47.568466,2001,1,14.096847711,13.387403701
sablo,1.257627,47.568466,2006,0,13.39678561,13.475258614
sablorouges,0.56821,48.394117,1994,0,13.170610006,13.264406822
sablorouges,0.56821,48.394117,1998,0,12.814269084,13.334690753
sablorouges,0.56821,48.394117,2000,1,12.997145948,13.369832718
sablorouges,0.56821,48.394117,2005,0,13.12085911,13.457687632
stemarie,6.1073,48.043994,1962,0,12.48267898,12.702135377
tresor,2.724191,46.668473,1959,1,13.053904479,12.649422429
tresor,2.724191,46.668473,1963,0,13.139162623,12.71970636
tresor,2.724191,46.668473,1982,1,13.716778954,13.053555031
tresor,2.724191,46.668473,1992,0,13.374049075,13.229264857
tresor,2.724191,46.668473,1998,1,13.968682263,13.334690753
tresor,2.724191,46.668473,2003,0,14.261664696,13.422545666
