i,Estimate
1,0.61200990694881
1,1.60433647390079
2,0.52864964994821
2,1.86988517840744
3,0.26924279550393
3,1.37784595217023
4,0.82375788995278
4,5.56759661619736
5,0.63363890505027
5,2.98966607945862
6,0.52874869956772
6,4.67737240557008
7,0.84410723774002
7,4.50407366167234
8,0.69863366820051
8,4.72493321034395
9,0.68521673902785
9,2.68309836173889
10,0.48916646205991
10,4.10016649222658
11,0.66214625418175
11,4.02459354084349
12,0.5972516843916
12,2.76455042864974
13,0.25312080000154
13,1.55293737694844
14,0.18667062416683
14,1.26724610157188
15,0.63395287226775
15,3.8544079100704
16,0.75534653961293
16,5.48799897335591
17,0.71785752476697
17,3.49564172040332
18,0.61379730390513
18,1.52241622070159
19,0.55740158017076
19,3.19327710291747
20,0.67040061314255
20,4.50959981593066
21,0.77453453425697
21,5.64374558753853
22,0.74907821440495
22,6.1231579647372
23,0.21680876026016
23,1.37977259837063
24,0.70064818011648
24,5.90966710027855
25,0.78331787323274
25,3.67516996828728
26,0.31077056144002
26,1.63026201587403
27,0.51567402628817
27,3.21087175670899
28,1.0035824904828
28,5.84316738926848
29,0.4766188041876
29,2.75376590094768
30,0.35017840931911
30,2.09647479131898
31,0.79461805256019
31,3.05884570467189
32,0.51613476261731
32,2.31733417977862
33,0.49476360790422
33,2.40754332906773
34,0.90280423145756
34,3.60172887939825
35,0.75970801425767
35,5.1346831047566
36,0.57849588256814
36,5.02964018276805
37,0.78394240098743
37,2.68941884736188
38,0.63706565152978
38,2.24251238601278
39,0.53855306308584
39,4.55425228559846
40,0.58452867324561
40,4.76123970264361
41,0.67488339408984
41,3.35775805946138
