"count_speciesBeech","count_speciesHornbeam","count_speciesOak","count_speciesOthers","count_speciesBeech:G","count_speciesHornbeam:G","count_speciesOak:G","count_speciesOthers:G","count_speciesBeech:G_thisSpecies","count_speciesHornbeam:G_thisSpecies","count_speciesOak:G_thisSpecies","count_speciesOthers:G_thisSpecies","zero_speciesBeech","zero_speciesHornbeam","zero_speciesOak","zero_speciesOthers","zero_speciesBeech:G","zero_speciesHornbeam:G","zero_speciesOak:G","zero_speciesOthers:G","zero_speciesBeech:logG","zero_speciesHornbeam:logG","zero_speciesOak:logG","zero_speciesOthers:logG","zero_speciesBeech:G_thisSpecies","zero_speciesHornbeam:G_thisSpecies","zero_speciesOak:G_thisSpecies","zero_speciesOthers:G_thisSpecies","zero_speciesBeech:logG_thisSpecies","zero_speciesHornbeam:logG_thisSpecies","zero_speciesOak:logG_thisSpecies","zero_speciesOthers:logG_thisSpecies"
0.0208444386907887,0.00761281355331018,0.00678540954892035,0.00737554328337498,-0.000613046725022166,2.41939512255539e-05,6.70412548773578e-05,3.22753781090278e-05,-0.000100736594405226,-3.50312516555715e-05,4.97308888883876e-06,-3.12147172627041e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00761281355331018,0.0175726789049565,0.00699144453420269,0.00759949733373606,3.06395609195035e-05,-0.00042138509130053,6.90769233012577e-05,3.32554010546927e-05,4.93517970458595e-06,-5.10567274699038e-05,5.12409381914289e-06,-3.21625338632271e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00678540954892035,0.00699144453420269,0.0136057981058417,0.00677354061205212,2.73094786549089e-05,2.22192054057486e-05,-0.000402768357543748,2.96410143621041e-05,4.39879622148037e-06,-3.21719494636946e-05,-8.98497196901748e-05,-2.86669262112852e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00737554328337497,0.00759949733373605,0.00677354061205212,0.0116904392045894,2.96846108423529e-05,2.41516315280296e-05,6.6923987317313e-05,-0.000188529481210779,4.78136385023908e-06,-3.4969975514269e-05,4.96439003615549e-06,-2.9720855963871e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.000613046725022166,3.06395609195036e-05,2.7309478654909e-05,2.9684610842353e-05,0.000121413827150129,9.73742542448753e-08,2.69823318087385e-07,1.29899859867391e-07,-0.000140337303368796,-1.40991521947971e-07,2.00153673672235e-08,-1.25630980511777e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.41939512255539e-05,-0.00042138509130053,2.22192054057485e-05,2.41516315280295e-05,9.73742542448747e-08,3.5175249007289e-05,2.19530361732722e-07,1.05687541862052e-07,1.56842796984274e-08,-3.46546199325184e-05,1.62846594189345e-08,-1.02214348233813e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.70412548773578e-05,6.90769233012577e-05,-0.000402768357543749,6.69239873173131e-05,2.69823318087384e-07,2.19530361732723e-07,0.000304219558796889,2.92859374861084e-07,4.34610197824753e-08,-3.17865539043286e-07,-0.000328470906394463,-2.83235181727089e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.22753781090281e-05,3.3255401054693e-05,2.96410143621043e-05,-0.000188529481210779,1.29899859867392e-07,1.05687541862053e-07,2.92859374861086e-07,2.64810620882922e-05,2.09232486630719e-08,-1.53028616174024e-07,2.17241712700371e-08,-2.88040069798612e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.000100736594405226,4.93517970458579e-06,4.39879622148023e-06,4.78136385023892e-06,-0.000140337303368796,1.56842796984269e-08,4.34610197824739e-08,2.09232486630711e-08,0.000400495891297712,-2.2709806431768e-08,3.22391809301915e-09,-2.0235651121693e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.50312516555716e-05,-5.10567274699037e-05,-3.21719494636946e-05,-3.49699755142691e-05,-1.40991521947971e-07,-3.46546199325185e-05,-3.17865539043286e-07,-1.53028616174023e-07,-2.27098064317687e-08,0.000158366696604828,-2.35791168177371e-08,1.47999660014482e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.97308888883835e-06,5.12409381914247e-06,-8.98497196901748e-05,4.96439003615508e-06,2.00153673672218e-08,1.62846594189332e-08,-0.000328470906394463,2.17241712700352e-08,3.22391809301899e-09,-2.35791168177352e-08,0.000485912692236903,-2.10102531307304e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.12147172627044e-05,-3.21625338632273e-05,-2.86669262112854e-05,-2.9720855963874e-06,-1.25630980511777e-07,-1.02214348233814e-07,-2.83235181727091e-07,-2.88040069798613e-05,-2.02356511216938e-08,1.47999660014483e-07,-2.10102531307322e-08,7.63000262767413e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0145713900639623,0,0,0,0.000522904170317429,0,0,0,-0.00894568722911764,0,0,0,-6.56580396512736e-05,0,0,0,0.000787277447970628,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.020553132478837,0,0,0,0.000639060320694122,0,0,0,-0.0114348194399161,0,0,0,1.63843022458008e-05,0,0,0,0.000151710047203583,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00960748163825809,0,0,0,0.000637480344910171,0,0,0,-0.00834385648376667,0,0,0,-0.000163524673015959,0,0,0,0.00194554026819135,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00894747710364038,0,0,0,0.000323468238608065,0,0,0,-0.00523173839868217,0,0,0,-2.79406182378565e-05,0,0,0,1.41781752179391e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.000522904170317433,0,0,0,9.98956786940356e-05,0,0,0,-0.000901154304656642,0,0,0,-4.95511155154144e-05,0,0,0,0.000232010999734735,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.000639060320694121,0,0,0,5.53128655981685e-05,0,0,0,-0.000599884471350356,0,0,0,-2.0308052135199e-05,0,0,0,7.57117376603072e-05,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000637480344910179,0,0,0,0.000263110426647621,0,0,0,-0.00198032593954594,0,0,0,-0.000232000320016304,0,0,0,0.00136090675798378,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000323468238608064,0,0,0,4.22653470184441e-05,0,0,0,-0.000396871301423562,0,0,0,-2.84655149291689e-05,0,0,0,0.000112039489439828
0,0,0,0,0,0,0,0,0,0,0,0,-0.00894568722911766,0,0,0,-0.00090115430465664,0,0,0,0.0109537712895393,0,0,0,0.00060299586892539,0,0,0,-0.00471208065531008,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114348194399161,0,0,0,-0.000599884471350356,0,0,0,0.00842287266258709,0,0,0,0.000260968308015075,0,0,0,-0.00161632080363417,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00834385648376674,0,0,0,-0.00198032593954594,0,0,0,0.0224343395578796,0,0,0,0.00189528795965003,0,0,0,-0.0179132805243365,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00523173839868217,0,0,0,-0.000396871301423563,0,0,0,0.00482871360051401,0,0,0,0.000260550040906899,0,0,0,-0.00152173566702814
0,0,0,0,0,0,0,0,0,0,0,0,-6.56580396512786e-05,0,0,0,-4.95511155154145e-05,0,0,0,0.000602995868925393,0,0,0,0.000471309174414427,0,0,0,-0.00234282139642638,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.63843022458006e-05,0,0,0,-2.03080521351989e-05,0,0,0,0.000260968308015075,0,0,0,0.000435288178154421,0,0,0,-0.0017185186166299,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000163524673015973,0,0,0,-0.000232000320016305,0,0,0,0.00189528795965005,0,0,0,0.000448634150356559,0,0,0,-0.00268283257784024,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7940618237854e-05,0,0,0,-2.84655149291688e-05,0,0,0,0.000260550040906897,0,0,0,0.000117626428079298,0,0,0,-0.000577544668731653
0,0,0,0,0,0,0,0,0,0,0,0,0.000787277447970666,0,0,0,0.000232010999734736,0,0,0,-0.00471208065531011,0,0,0,-0.00234282139642638,0,0,0,0.0148004466402055,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151710047203577,0,0,0,7.57117376603066e-05,0,0,0,-0.00161632080363417,0,0,0,-0.0017185186166299,0,0,0,0.00814617453023995,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194554026819145,0,0,0,0.00136090675798379,0,0,0,-0.0179132805243366,0,0,0,-0.00268283257784024,0,0,0,0.0237184278694294,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41781752179263e-05,0,0,0,0.000112039489439827,0,0,0,-0.00152173566702814,0,0,0,-0.000577544668731654,0,0,0,0.00378217579800981
