"idp","XCOORD","YCOORD","xl93","yl93","dc","dep"
424610,5.399215,46.447428,884103,6597160,0,"39"
424647,0.858826,42.989236,525199,6212558,0,"31"
424752,0.764377,42.86211,517092,6198641,0,"31"
424794,3.587042,48.047149,743701,6772226,0,"89"
424801,5.460149,44.789165,894515,6413234,0,"26"
424825,0.436605,46.14879,502142,6564409,0,"86"
424917,7.130897,47.757432,1009308,6747965,8,"68"
424938,2.112532,47.873748,633616,6753168,0,"45"
424946,4.118548,47.104625,784786,6667953,0,"71"
424987,2.379363,47.244343,653013,6683056,0,"18"
425027,4.13665,47.644189,785296,6727904,9,"89"
425097,2.082606,48.539071,632238,6827131,0,"75"
425107,2.060568,47.585837,629351,6721227,0,"41"
425247,2.020867,45.318632,623245,6469483,0,"19"
425336,-0.856434,43.455369,387818,6269633,0,"64"
425345,1.742558,49.86761,609491,6975237,0,"80"
425386,4.470869,46.684646,812371,6621754,0,"71"
425449,0.121284,46.899082,480856,6648517,0,"86"
425460,1.129184,46.446244,556359,6595932,0,"86"
425478,5.307941,46.683938,876332,6623206,0,"71"
425691,1.714329,49.90338,607525,6979251,0,"80"
425724,4.928908,46.963205,846615,6653436,0,"71"
425732,6.243877,47.322263,944910,6696559,0,"25"
425822,1.752563,46.577121,604433,6609520,0,"36"
425834,0.280545,48.917096,500694,6872199,0,"61"
426033,-3.119689,48.016735,244157,6786355,0,"56"
426084,5.210096,48.28852,863868,6801182,0,"52"
426155,0.117584,46.989013,480939,6658509,0,"86"
426174,5.6062,46.423656,900071,6595025,8,"39"
426192,0.98117,42.990865,535187,6212476,0,"31"
426200,-1.009711,45.232752,385445,6467457,0,"33"
426216,5.133406,46.850384,862498,6641310,8,"71"
426244,6.950651,49.061519,988572,6892050,8,"57"
426256,0.80213,46.964211,532862,6654082,0,"37"
426281,5.901304,48.935495,912468,6874718,0,"54"
426306,3.151524,47.63727,711337,6726532,0,"89"
426322,2.432712,47.532159,657278,6714997,0,"18"
426333,6.586715,48.300876,965844,6806301,8,"88"
426337,0.71794,48.887884,532640,6867937,0,"27"
426354,1.348576,48.697038,578426,6845570,0,"28"
426368,5.825153,46.182992,917832,6568894,0,"1"
426411,5.254653,46.181139,873855,6567273,0,"1"
426497,3.329738,47.204086,724920,6678452,0,"58"
426498,5.578264,44.209713,905954,6349198,0,"26"
426513,4.896909,47.395951,843028,6701431,8,"21"
426525,1.154035,46.500501,558407,6601911,0,"36"
426596,1.326029,47.059988,572911,6663741,0,"36"
426602,3.018077,45.532918,701370,6492805,0,"63"
426605,1.225195,46.843127,564718,6639828,9,"36"
426616,3.049012,45.946584,703756,6538744,0,"63"
426707,-0.877301,45.146628,395353,6457385,0,"33"
426744,6.082836,47.669784,931249,6734649,0,"70"
426758,3.879326,45.200434,769000,6456265,0,"43"
426870,6.44108,47.8198,957384,6752411,8,"70"
426872,4.558324,48.176697,815783,6787603,0,"10"
426903,1.299008,47.09574,570946,6667755,0,"37"
426935,2.965011,47.620441,697331,6724652,0,"89"
427048,3.302182,45.674781,723484,6508604,0,"63"
427052,2.515973,48.593142,664265,6832858,0,"75"
427104,4.694842,47.022257,828681,6659585,0,"21"
427107,2.582382,45.426761,667302,6481102,0,"15"
427113,7.046746,48.913733,996428,6875992,0,"67"
427152,6.098431,48.641501,928182,6842603,0,"54"
427269,4.920048,48.42118,842003,6815360,9,"52"
427346,0.46619,43.019041,493269,6216819,0,"65"
427406,6.304733,47.428269,949010,6708515,9,"25"
427433,6.442112,48.52207,954060,6830387,8,"54"
427436,1.93105,47.135689,618940,6671351,0,"18"
427443,5.008953,46.457274,854129,6597417,0,"1"
427463,5.932117,48.592667,916139,6836710,8,"54"
427492,2.943448,45.731273,695561,6514834,0,"63"
427528,-0.513034,43.500957,415819,6273398,0,"64"
427532,-3.695328,48.583613,206717,6852613,0,"29"
427566,5.038409,47.572731,853191,6721329,0,"21"
427591,2.579892,50.676503,670212,7064685,0,"59"
427676,2.727276,47.855322,679564,6750783,0,"45"
427705,0.353981,45.571392,493620,6500535,0,"16"
427712,2.192287,48.035754,639762,6771105,0,"45"
427731,3.009341,46.918523,700670,6646682,8,"18"
427862,3.18765,48.23058,713893,6792465,0,"89"
427871,-1.779627,48.395662,346375,6821501,0,"35"
427932,4.489107,47.800152,811428,6745669,8,"21"
427965,4.801885,48.207819,833804,6791446,0,"10"
428055,2.528735,44.689264,662618,6399218,0,"12"
428057,3.777723,48.152889,757793,6784099,0,"10"
428059,5.387849,45.781461,885467,6523211,0,"38"
428099,5.907492,45.459938,927135,6488883,0,"73"
428265,7.45495,48.068068,1031604,6783746,0,"68"
428296,4.826701,47.595461,837221,6723464,8,"21"
428357,2.007496,47.567709,625337,6719262,0,"41"
428358,5.986911,48.212987,921773,6794689,8,"88"
428373,6.634646,48.227095,969772,6798272,0,"88"
428390,4.815127,49.628156,831157,6949374,0,"8"
428421,7.370151,48.306005,1023835,6809796,0,"67"
428461,2.38001,48.05382,653768,6772986,0,"45"
428509,-4.034633,48.024575,176257,6792898,0,"29"
428554,3.166992,48.626329,712266,6836451,0,"77"
428578,3.275595,45.621027,721435,6502627,0,"63"
428601,4.241149,47.588545,793238,6721841,0,"21"
428604,3.428725,46.879307,732609,6642415,0,"58"
428652,1.691235,45.155279,597120,6451718,0,"19"
428696,2.57886,44.617218,666547,6391193,0,"12"
428701,3.146038,47.277493,710999,6686564,0,"58"
428705,0.467392,45.249386,501314,6464503,0,"24"
428772,5.254936,48.125457,867710,6783161,0,"52"
428788,1.915011,45.822086,615720,6525496,9,"23"
428799,0.796448,45.326412,527355,6472280,0,"24"
428808,5.361322,49.040346,872581,6885055,0,"55"
428875,6.174848,46.730131,942344,6630632,0,"25"
428942,1.93375,46.775837,618605,6631384,0,"36"
428977,3.859996,46.352479,766089,6584178,0,"3"
429012,3.375454,45.476184,729293,6486574,0,"63"
429047,1.382758,49.793484,583439,6967459,0,"76"
429102,-0.757232,42.990669,393384,6217643,0,"64"
429103,5.73936,47.302206,906907,6692889,0,"70"
429173,1.794341,45.011901,604978,6435667,0,"19"
429230,7.405685,47.835907,1029379,6757783,0,"68"
429260,-0.206117,46.04614,452105,6554831,0,"79"
429290,6.019253,49.05786,920583,6888640,0,"57"
429330,1.495629,42.960208,577105,6208131,0,"9"
429367,2.656866,45.048749,672944,6439093,0,"15"
