i,Estimate
1,0.04446311213383
1,0.00006745072919
1,4.03815479135E-6
1,-0.0000413052219
1,-1.2136031698E-7
1,8.42905138556E-7
1,0.00076271158851
1,3.59079315264E-6
1,-1.5761265793E-7
1,0.00001968800938
1,0.00060681902581
1,-8.9680388074E-7
1,9.87196772262E-6
1,0.00002648834419
1,0.00609778564275
1,-0.0156333770255
1,-0.0000547375349
1,4.06306185217E-6
1,-0.0002905872265
1,-0.000559345947
1,0.00597964809177
2,0.01508154972885
2,-0.0001025927415
2,4.32695344508E-6
2,-0.0000260971097
2,-1.2762362429E-7
2,2.06597215199E-6
2,-0.0004037396928
2,6.00935934942E-6
2,0.00001031414822
2,0.00404656205973
2,-0.0044759011177
2,1.81211739379E-7
2,9.94331073984E-7
2,-0.0001780286713
2,0.00170664358316
3,0.01751782810083
3,-0.000036699036
3,2.19756549186E-6
3,-0.0000140482735
3,4.66246884205E-8
3,8.78384373558E-7
3,-5.6731467304E-8
3,-4.1605335919E-8
3,-1.4366283378E-9
3,4.22481145848E-9
3,-0.006738075537
3,-2.631494184E-6
3,-4.2649513159E-7
3,2.03488099566E-7
3,0.00281955068517
4,0.05599766055766
4,0.00002189755685
4,5.69150384391E-6
4,-0.0000105868027
4,2.13302670799E-7
4,3.2977854131E-6
4,0.00076313838464
4,2.39815748672E-6
4,2.37567140335E-7
4,0.00001465907776
4,-7.509576753E-6
4,-1.9452882819E-8
4,-2.2464423237E-9
4,-1.8605616584E-7
4,5.26127519895E-9
4,0.00053007078781
4,0.00001205889292
4,8.76327547139E-6
4,0.00002694549181
4,-2.51315107E-7
4,0.00860835304101
4,-0.0182388035837
4,-0.000051911371
4,-8.0930384561E-6
4,-0.0002710358474
4,2.54952525156E-6
4,-0.000630701809
4,0.00643483876151
5,0.01096890523166
5,0.00001245654189
5,1.38526966722E-6
5,-2.2905408701E-6
5,-1.0523437932E-7
5,5.37098615679E-7
5,0.00016443417654
5,7.30520760243E-7
5,-1.7074226011E-8
5,3.60296135839E-6
5,-1.3417327361E-6
5,-1.040304243E-8
5,2.7370967766E-10
5,-4.5622794558E-8
5,3.58224317555E-9
5,0.0001180261814
5,-3.8468753636E-7
5,2.21392801846E-6
5,5.70062950499E-6
5,-5.5987591331E-8
5,0.00159864881012
5,-0.0037192250352
5,-0.0000137261913
5,-8.8531724892E-7
5,-0.0000602089767
5,4.30847983783E-7
5,-0.0001163137816
5,0.00136348517351
6,0.00526023656744
6,-7.1392972979E-6
6,8.5052600741E-7
6,-5.8465511589E-6
6,-6.8738825266E-8
6,3.74151548215E-7
6,0.00006740387894
6,2.52645339352E-7
6,-6.5933276715E-8
6,1.32889545894E-6
6,-3.7974530372E-7
6,-3.4029124593E-9
6,1.05400012206E-9
6,-8.7582956603E-9
6,1.07129450749E-9
6,1.08682708843E-6
6,1.22786584389E-6
6,9.62484168945E-7
6,2.51801836761E-6
6,-2.0991347994E-8
6,0.00054788667531
6,-0.001634001762
6,-3.8461807628E-6
6,1.0702025364E-6
6,-0.0000235935664
6,1.06515485349E-7
6,-0.0000490349604
6,0.00056999175431
7,0.00874343747475
7,-0.0001631540938
7,7.61114584242E-6
7,-3.9300191285E-6
7,-1.0312673893E-7
7,3.96220558129E-7
7,0.00003204208854
7,4.94326271358E-7
7,7.4341107317E-10
7,5.21184396081E-7
7,-0.0000741999184
7,-3.2192001833E-7
7,2.2122364234E-6
7,1.51061382547E-6
7,0.00164817424144
7,-0.002706325009
7,0.00004343345184
7,-1.242903179E-6
7,-0.0000131643531
7,-0.0000687994186
7,0.00094452337919
7,0.00004938851589
7,-2.0248763664E-6
7,1.63651686609E-8
7,-6.6402618723E-8
7,4.7497743627E-7
7,-0.0000156193958
7,6.23044213275E-7
8,0.00649081177015
8,-0.0001494042147
8,7.76170410637E-6
8,-2.3668090226E-6
8,-3.1956932924E-8
8,2.63674216722E-7
8,0.00002269805036
8,2.93196549816E-7
8,2.74456153154E-9
8,3.23466582589E-7
8,0.00002244803414
8,-2.4058905806E-7
8,9.99546594088E-7
8,8.98360748127E-7
8,0.0005166225347
8,-0.0018747186678
8,0.00003872235589
8,2.27389372058E-8
8,-8.0977408103E-6
8,-0.0000400601414
8,0.00057585005856
8,0.00004087183346
8,-2.0636676453E-6
8,-2.2843380684E-9
8,-6.5027100142E-8
8,2.77378693043E-7
8,-0.0000114666587
8,5.87034174097E-7
9,0.00695827813672
9,-0.0001219157806
9,0.00001014790603
9,-9.7030683515E-6
9,-1.3206677379E-8
9,2.80112674179E-7
9,0.00005142421736
9,1.02912035373E-6
9,-2.0840086769E-8
9,1.08832559289E-6
9,-0.0000432612907
9,-9.4104313845E-7
9,2.14085189885E-6
9,1.68564936597E-6
9,0.00222068136602
9,-0.0022540506191
9,0.00003420871604
9,5.79985704867E-7
9,-0.0000197541228
9,-0.0000533217097
9,0.0008064827209
9,0.00003906064827
9,-2.9685919321E-6
9,5.3042608831E-9
9,-2.5863297625E-7
9,1.08554961034E-7
9,-0.000012870636
9,9.68550195654E-7
10,0.10897355723547
10,0.00010978139557
10,0.00001587956093
10,0.00121706966136
10,5.04137678757E-6
10,0.00001953013994
10,-0.0367298785597
10,-0.0001436971694
10,-0.0004535050309
10,0.01336516755003
11,0.00778949186241
11,-0.0001632613617
11,8.63738873815E-6
11,-6.1667312022E-6
11,-5.8114631658E-8
11,2.20101854798E-7
11,0.00003836283391
11,6.20495219321E-7
11,-4.2335505238E-8
11,8.04481795787E-7
11,-2.4364042389E-7
11,-6.7989912657E-9
11,3.6833188161E-10
11,-8.3090941458E-9
11,1.5031355728E-10
11,0.00006938498086
11,-3.1079073178E-7
11,1.01549635077E-6
11,1.98579382644E-6
11,-1.248278701E-8
11,0.00048413673687
11,-0.0022630206515
11,0.00004258411033
11,1.29161436278E-6
11,-0.0000132591555
11,8.02891764693E-8
11,-0.0000639708209
11,0.00070169267887
11,0.00004535455266
11,-2.3235072084E-6
11,1.12968076895E-9
11,-1.5280226453E-7
11,1.95037291273E-9
11,3.6460017874E-7
11,-0.0000130172404
11,6.75734265186E-7
12,0.03084289270174
