"species","mean","min","max"
"Alisier blanc",18.1558327786908,7.95774715459477,52.2484129029342
"Alisier torminal",20.1922601125483,7.95774715459477,54.8405545350934
"Arbousier",14.8022769042698,7.63943726841098,44.7203167700519
"Aubepine monogyne",18.6665765605925,7.63943726841098,116.733761977369
"Aulne glutineux",21.5888545861342,7.63943726841098,70.6725585445847
"Bouleau verruqueux",20.2817062172291,7.63943726841098,72.3308752334823
"Charme",22.1199247841059,7.63943726841098,85.9517274078132
"Chataignier",22.4839621956184,7.63943726841098,138.980058105201
"Chene-liege",22.2975084994135,7.96199015524527,69.8271341229783
"Chene pedoncule",24.1600777716109,7.63943726841098,110.32919688881
"Chene pubescent",17.4897895165909,7.63943726841098,85.8007148868353
"Chene rouge",21.0388595932481,8.23511555567797,56.4741984656544
"Chene sessile",24.705350153569,7.63943726841098,91.1821731835353
"Chene tauzin",23.6451833544199,8.59436692696235,81.7877846691973
"Chene vert",14.8028667877082,7.63943726841098,70.6647947328015
"Douglas",25.2494810294989,7.88258941393395,66.3144828065203
"Epicea commun",25.8234636735731,7.63943726841098,84.0338099525207
"Epicea de sitka",27.7887902536912,8.99185500943715,57.2299194667536
"Erable a feuilles d'obier",17.4494261242987,7.63943726841098,58.1003470553835
"Erable champetre",19.6724151728422,8.20071635353138,60.7566348650695
"Erable de montpellier",14.7775426909008,7.63943726841098,51.7873373291991
"Erable sycomore",23.1608456622763,7.63943726841098,83.6369310947345
"Frene commun",21.6017728764819,7.63943726841098,82.604532361443
"Hetre",26.2526192308543,7.63943726841098,156.926773888609
"Houx",22.4340237233515,8.48021350615537,57.0270957772386
"Meleze d'europe",26.4989342448719,7.63943726841098,76.7126825702936
"Merisier",21.3218516005395,7.80021607247029,74.4409447660621
"Noisetier coudrier",19.2974586333593,7.63943726841098,50.8974197424983
"Orme champetre",18.9940531540549,7.63943726841098,62.5322991765755
"Peuplier cultive",22.376835220119,8.59436692696235,120.95775674984
"Pin a crochets",23.0680513513122,8.59436692696235,59.5239487163689
"Pin d'alep",20.4846227901464,7.63943726841098,68.9675500948783
"Pin laricio de corse",23.6299816338782,7.63943726841098,130.507053335354
"Pin maritime",24.6847248485181,7.63943726841098,103.552472669118
"Pin noir d'autriche",20.5496166600712,7.63943726841098,68.7549354156988
"Pin sylvestre",22.200880000382,7.63943726841098,72.7729777266915
"Robinier faux acacia",19.6358152332675,7.80021607247029,59.041369562965
"Sapin pectine",26.5227390751862,8.17133159407331,85.317219476712
"Saule cendre",18.4296871653436,7.63943726841098,55.9115246438185
"Saule marsault",17.4933898220138,7.63943726841098,55.6408252112138
"Sorbier des oiseleurs",20.8181699666165,7.95774715459477,47.4322274078348
"Tilleul a grandes feuilles",22.3571234612674,8.52131460108093,72.6027464265011
"Tilleul a petites feuilles",23.2821355321516,8.59436692696235,86.8907147316915
"Tremble",19.6554865450487,7.63943726841098,66.215151207703
