species;meanNbObs;lowNbObs;uppNbObs;meanBias;lowBias;uppBias;meanMse;lowMse;uppMse;meanMeanObs;lowMeanObs;uppMeanObs
ALISIER_BLANC;186.846;171.0;202.0;-0.20149440250151449;-0.5019906307351824;0.10530120144939761;4.693322050744564;3.802980882244421;5.6432667719743215;10.482348982909054;10.20391061452514;10.76666666666667
ALISIER_TORMINAL;162.04500000000002;147.0;177.0;-0.24983616397012282;-0.5450328715214843;0.02310662942193013;4.023072713904644;3.3472598723738973;4.889556879383428;10.951556237753746;10.628735632183913;11.266025641025642
AUBEPINE_MONOGYNE;140.468;125.0;155.0;0.0960658263816197;-0.12918869343091927;0.32378293339962544;2.7389907235001494;2.1002909339970075;3.4216617903735638;7.599382212702648;7.38367346938775;7.809701492537308
AULNE_GLUTINEUX;259.258;245.0;273.0;-0.2715124111123498;-0.7356135618441665;0.1651583421764541;8.610853732310765;7.233132433783171;10.293330613330184;16.801731896952784;16.387313432835832;17.179921259842512
BOULEAU_VERRUQUEUX;764.028;735.0;791.0;-0.17848888784688768;-0.36796139948912443;0.004424237484904738;6.036689375264842;5.425421524368141;6.649247129220563;15.997042242108684;15.772617449664455;16.195730918499343
CHARME;1532.434;1488.0;1575.0;-0.04632556330862359;-0.1951871772458636;0.09766815722413061;7.7434837262928;7.166594842316747;8.450081098273092;15.520996074884744;15.374577373211977;15.676814386640974
CHATAIGNIER;1405.519;1372.0;1438.0;0.11006057774675058;-0.0829080437733975;0.29751392007988325;8.73184538279571;8.015817928322765;9.731321274343344;16.432628600834576;16.271785714285677;16.581539558089812
CHENE_PEDONCULE;2857.779;2813.0;2905.0;-0.11817423928083466;-0.24334010670082992;0.003786992098606918;8.300650359238023;7.781967121786225;8.81787018189237;19.069745885629203;18.943980343980385;19.18949579831954
CHENE_PUBESCENT;822.073;796.0;848.0;0.003803563042655039;-0.2190587385625739;0.21307182092721175;5.8553969427728045;5.309566900882479;6.5061220925190035;13.863635340371552;13.671859296482411;14.05080346106305
CHENE_ROUGE;75.526;69.0;82.0;0.029158061586627756;-0.6423831821572707;0.7088767409355088;6.487882310201526;4.7574494536233;8.431634677084245;18.9716165799694;18.2;19.735064935064937
CHENE_SESSILE;2745.588;2698.0;2788.0;-0.12337080231910033;-0.2332959022051868;-0.008692654364796108;5.951548692080266;5.631781058807931;6.263557674550278;20.40958055761095;20.28870493009568;20.527236217597643
CHENE_TAUZIN;61.120000000000005;53.0;69.0;-0.20531654413370465;-0.7336462614897072;0.3597511886834564;4.428567438816868;2.889646929588625;5.899371085339748;12.299445206761067;11.51578947368421;13.12982456140351
CHENE_VERT;157.52100000000002;146.0;169.0;0.1932462059156896;-0.0869504657196103;0.5073623794934384;3.0291835697013894;2.351926346019831;3.8485317990050207;9.558891708629874;9.2258064516129;9.909493670886082
CHENE_LIEGE;45.045;40.0;50.0;-0.12865405445776149;-0.6922485901297136;0.3994104686890758;2.242497806535596;1.5079713248954856;3.210121783962022;8.323987243499616;7.784999999999998;8.85217391304348
DOUGLAS;767.655;751.0;785.0;0.0163103327202355;-0.20788019931195065;0.2388183653512407;5.205623379403661;4.506404864129078;6.083564090661;24.58094308056694;24.34095607235141;24.813888888888865
EPICEA_COMMUN;1940.797;1912.0;1970.0;-0.08675925009061007;-0.25039670238693207;0.08979087857543537;8.011007071809749;7.559427866808997;8.500458595307034;21.92717643832725;21.763833075734148;22.103806584362193
EPICEA_DE_SITKA;85.046;78.0;91.0;0.09856360203735344;-0.5479843378261305;0.7350287297618083;4.74766888245096;3.3651749504926105;7.256443573592523;21.83444915802368;21.187356321839083;22.536249999999995
ERABLE_A_FEUILLES_D_OBIER;87.288;77.0;98.0;0.15526453661480527;-0.24764634540885813;0.5670193207577741;3.5682327089600334;2.610012127162007;4.81175272411745;11.500033423433853;11.017777777777775;11.961363636363638
ERABLE_CHAMPETRE;323.37;302.0;345.0;0.049884247795617884;-0.20130376308881537;0.2982304056687624;6.252212138991368;5.285315387601499;7.238208727286381;13.24601334031777;12.944144144144142;13.560061919504646
ERABLE_SYCOMORE;443.741;423.0;463.0;0.06584053498502293;-0.19981327615259137;0.3328294871355904;7.403630501394884;6.513963087870416;8.289996587967218;16.902280812204335;16.601882352941164;17.201864801864808
FRENE_COMMUN;1228.084;1195.0;1262.0;-0.28216969683612086;-0.49809934192600147;-0.07355891815996417;9.70734411535913;8.87773121566137;10.694556569932288;19.01023310391569;18.795911692559244;19.2186991869918
HETRE;3025.121;2980.0;3070.0;-0.27400454238277383;-0.4094559598502535;-0.13946825010055242;9.222793529581624;8.764903380149974;9.736560801578849;18.755612629216518;18.62085134685729;18.895268034414304
HOUX;62.52;54.0;72.0;0.03876024541393051;-0.2449187846523933;0.31335648331933114;2.042430695109147;1.6061442182759984;2.4871996324410723;7.541185978766582;7.233333333333332;7.851923076923077
MELEZE_D_EUROPE;253.636;244.0;263.0;-0.5464942329910907;-1.010791824304229;-0.08544431694364171;8.708287645461743;6.880298544100013;10.749472953945126;20.78692123597659;20.370564516129033;21.186234817813773
MERISIER;384.391;362.0;406.0;-0.46396161486147924;-0.7337454227240156;-0.20025281339360912;8.103640096801126;7.089381627753598;9.19642036756114;15.365759874446882;15.035999999999989;15.692620865139963
NOISETIER_COUDRIER;282.499;264.0;302.0;0.06482034182552995;-0.11122946207388129;0.2336285912867462;2.6360904797648015;2.2786966756170224;2.9898652301858384;9.018986071855538;8.879487179487157;9.155147058823534
ORME_CHAMPETRE;154.02700000000002;141.0;168.0;0.23954165878322367;-0.15295339346779446;0.6112245017307818;6.179203180419052;4.993324126531473;7.3369272286352105;11.357248445296305;10.959602649006616;11.751677852348996
PEUPLIER_CULTIVE;86.986;78.0;95.0;-0.04745951577766884;-0.8438438356873788;0.8456917273066311;11.440357767580139;8.149797143245907;15.514081759691074;26.06984239581403;25.226744186046528;26.93555555555554
PIN_A_CROCHETS;177.224;170.0;185.0;-0.3759928758220697;-0.8292436146351594;0.09950229237546536;5.423641157510435;4.531289740713006;6.593699955913222;10.8777760673797;10.573295454545457;11.148603351955314
PIN_D_ALEP;162.4;155.0;170.0;-0.010374473084825512;-0.3219264159302201;0.30877936009207313;2.76290195394131;2.058111677785861;3.385512240184054;12.818357243900309;12.557051282051273;13.077647058823523
PIN_LARICIO_DE_CORSE;302.082;291.0;313.0;-0.048736155430349606;-0.3870095345959404;0.25926953880900006;4.43392443878995;3.6678226586448037;5.378754319082007;16.69189529740043;16.40295081967214;16.99315960912052
PIN_MARITIME;908.0600000000001;886.0;926.0;-0.024112302166705995;-0.20299988843941602;0.14034083163356886;3.8671516367159415;3.496080340327947;4.259207142540912;18.387271454976855;18.23238822246453;18.530131004366805
PIN_NOIR_D_AUTRICHE;220.77;210.0;232.0;-0.038119620641418495;-0.43804592414386023;0.409474709667978;5.593585713415417;4.3325551347248386;7.437885566843955;15.25198892884529;14.884090909090906;15.599545454545453
PIN_SYLVESTRE;1698.82;1668.0;1728.0;-0.28787148593985956;-0.45088826897824347;-0.12972169156659932;6.520600756676451;5.904785181741912;7.194124247974631;16.192355836029915;16.05067527891956;16.330593071051076
ROBINIER_FAUX_ACACIA;413.32;396.0;431.0;-0.007662699905902784;-0.32639605787026316;0.3254741584458125;7.750829280754014;6.828152313050879;8.649684149118697;16.304425703614857;16.00372960372961;16.585536159600995
SAPIN_PECTINE;2048.181;2016.0;2080.0;-0.048832882962504334;-0.19876707980173158;0.1014540055601053;6.7798241700436614;6.365849859233367;7.236053726330276;20.23172455978742;20.059562043795616;20.419061441702954
SAULE_MARSAULT;184.371;170.0;199.0;-0.2614351940504619;-0.6222664843554151;0.08192693493081092;6.299973114360789;5.056940428260723;7.784805239167012;11.538264436651188;11.244382022471907;11.83670212765958
SORBIER_DES_OISELEURS;65.989;57.0;74.0;-0.21521363645840755;-0.6349865139774192;0.16628846798148605;3.660105236059151;2.768440561390584;4.533702001961586;9.530947592963964;9.093442622950821;9.959649122807017
TILLEUL_A_GRANDES_FEUILLES;174.93200000000002;163.0;186.0;-0.0824170980550733;-0.5198227540937622;0.3784392218379023;7.445371756582756;6.012780947019778;8.992432242693683;15.93449816854895;15.453012048192774;16.374269005847953
TILLEUL_A_PETITES_FEUILLES;171.1;159.0;183.0;0.05065674222143515;-0.45806092424445716;0.5632095181130132;8.642737591651722;6.710984165049041;10.637183066469039;16.77201419843035;16.18034682080925;17.317159763313608
TREMBLE;368.34000000000003;348.0;387.0;-0.09483195534941344;-0.37601305235627486;0.16882417803983663;5.555002857162835;4.772952655293715;6.430792133600704;18.58153668146364;18.24297520661159;18.927083333333336
