"species","mean","min","max"
"Alisier blanc",26.0105010267935,0.439765002130793,95.2716750715579
"Alisier torminal",25.6975832881651,0.439765002130793,101.902622109264
"Aubepine monogyne",23.7664604717765,0.405287425963739,129.328297793712
"Aulne glutineux",26.4089761147738,0.439765002130793,108.716652478713
"Bouleau verruqueux",24.3965835949177,0.405287425963739,99.2153282169913
"Charme",25.6104861246633,0.439765002130793,117.595524861524
"Chataignier",28.6417281067818,0.405287425963739,129.328297793712
"Chene-liege",18.6192213624238,0.475649826304666,102.705061756275
"Chene pedoncule",24.9690052607591,0.405287425963739,111.744207702695
"Chene pubescent",19.7837710458865,0.405287425963739,104.189080616796
"Chene rouge",22.9186545058759,0.551578829935175,71.735545342737
"Chene sessile",25.4790543131931,0.405287425963739,104.209269580482
"Chene tauzin",22.5520738569101,0.5128838865086,67.1686360288876
"Chene vert",18.3953672801027,0.405287425963739,104.189080616796
"Douglas",29.8807108032208,0.5128838865086,130.751469332165
"Epicea commun",34.1420018636222,0.405287425963739,120.985900277582
"Epicea de sitka",35.1398247176464,1.68433119231852,88.3217859046567
"Erable a feuilles d'obier",26.3169257803663,0.405287425963739,76.1009676817309
"Erable champetre",25.5694379055399,0.813297356384008,117.595524861524
"Erable sycomore",27.4066563631646,0.405287425963739,110.59653257496
"Frene commun",25.3980416699921,0.405287425963739,117.595524861524
"Hetre",28.571741250141,0.405287425963739,110.59653257496
"Houx",31.8727559517049,0.551578829935175,80.3659287945886
"Meleze d'europe",26.9842833127609,0.405287425963739,116.805557630361
"Merisier",26.0988532515444,0.5128838865086,101.902622109264
"Noisetier coudrier",24.2506312228643,0.405287425963739,93.343729864187
"Orme champetre",23.7193039930688,0.439765002130793,89.9161104407409
"Peuplier cultive",24.5987166652541,0.5128838865086,79.8048510406074
"Pin a crochets",25.0374327831964,0.529475311861101,72.6706117481932
"Pin d'alep",17.0004772332096,0.439765002130793,58.3766950309232
"Pin laricio de corse",27.0852159948898,0.405287425963739,95.2730598787177
"Pin maritime",23.3215519983211,0.405287425963739,130.751469332165
"Pin noir d'autriche",22.901844995034,0.405287425963739,98.397898243355
"Pin sylvestre",25.5234222287418,0.405287425963739,90.4779282652074
"Robinier faux acacia",24.4785939544602,0.439765002130793,90.9061227029755
"Sapin pectine",34.1997359488538,0.5128838865086,110.59653257496
"Saule marsault",21.3582965562588,0.405287425963739,117.595524861524
"Sorbier des oiseleurs",29.0644716391202,0.439765002130793,116.805557630361
"Tilleul a grandes feuilles",28.4858423763136,1.71212553411526,90.456457865497
"Tilleul a petites feuilles",26.7833321786767,2.74462643657743,81.4778104530871
"Tremble",24.8354734892841,0.405287425963739,99.2153282169913
