"species","mean","min","max"
"Alisier blanc",12.5846659319625,7.63943726841098,63.0253574643906
"Alisier torminal",13.0040405803338,7.63943726841098,53.4760608788768
"Arbousier",10.0295438438644,7.63943726841098,31.1943688460115
"Aubepine monogyne",10.2613006371327,7.63943726841098,39.47042588679
"Aulne glutineux",23.4225146649481,7.63943726841098,136.87325105903
"Bouleau verruqueux",18.4611647546712,7.63943726841098,69.3915551880664
"Charme",17.3412075515292,7.63943726841098,82.123950635418
"Chataignier",25.3552709844076,7.63943726841098,262.923965987811
"Chene-liege",30.6733598327835,7.63943726841098,117.774657888003
"Chene pedoncule",34.9434597029652,7.63943726841098,143.876068555073
"Chene pubescent",20.615394883256,7.63943726841098,192.25917125501
"Chene rouge",24.5098612361519,7.63943726841098,119.366207318922
"Chene sessile",34.223201733194,7.63943726841098,149.605646506382
"Chene tauzin",24.7875051900137,7.63943726841098,96.4478955136886
"Chene vert",16.3818804412381,7.63943726841098,198.943678864869
"Douglas",30.936250649097,7.63943726841098,140.692969693235
"Epicea commun",31.3522185040171,7.63943726841098,110.453530505775
"Epicea de sitka",32.3126417356309,7.63943726841098,84.9887396110721
"Erable a feuilles d'obier",16.8260464580613,7.63943726841098,61.1154981472878
"Erable champetre",17.1834095215584,7.63943726841098,75.7577529117422
"Erable de montpellier",13.3413485002212,7.63943726841098,56.6591597407147
"Erable sycomore",22.4317045803589,7.63943726841098,106.315501985386
"Frene commun",24.5163088777697,7.63943726841098,122.230996294576
"Hetre",30.2923410522157,7.63943726841098,174.115507742534
"Houx",11.009248794227,7.63943726841098,60.4788783749202
"Meleze d'europe",33.913565914167,7.63943726841098,179.208465921474
"Merisier",20.3553117406917,7.63943726841098,96.7662053998724
"Noisetier coudrier",9.21307338812767,7.63943726841098,30.2394391874601
"Orme champetre",13.3642327860693,7.63943726841098,79.5774715459477
"Peuplier cultive",38.2582983229659,7.63943726841098,122.549306180759
"Pin a crochets",25.4442013332921,7.63943726841098,85.6253593834397
"Pin d'alep",29.788154407793,7.63943726841098,99.6309943755265
"Pin laricio de corse",28.3441452070516,7.63943726841098,175.707057173452
"Pin maritime",32.5021953029942,7.63943726841098,123.185925953127
"Pin noir d'autriche",26.7509971455399,7.63943726841098,85.6253593834397
"Pin sylvestre",28.6411530393733,7.63943726841098,93.5831065380345
"Robinier faux acacia",19.6107762075293,7.63943726841098,181.754945010944
"Sapin pectine",33.146459990061,7.63943726841098,134.32677196956
"Saule cendre",16.8085222295061,7.63943726841098,96.7662053998724
"Saule marsault",16.148121857235,7.63943726841098,96.1295856275048
"Sorbier des oiseleurs",12.5566499458497,7.63943726841098,70.6647947328015
"Tilleul a grandes feuilles",22.5934840818477,7.63943726841098,101.222543806445
"Tilleul a petites feuilles",21.6007678866178,7.63943726841098,95.4929658551372
"Tremble",21.4477862221013,7.63943726841098,87.2169088143586
