nom_dispo,x_resc,y_resc,an,secheresseEte,tIntervalVeg6,pred
grandpierri,8.7861,24.1115,1989,0,13.16667178,13.14329652
grandpierri,8.7861,24.1115,1997,0,13.541284115,13.283736388
hallet,4.6893,23.8011,1965,0,12.632997579,12.721976917
hallet,4.6893,23.8011,1972,1,12.198328592,12.844861802
hallet,4.6893,23.8011,1978,0,12.671329986,12.950191702
hallet,4.6893,23.8011,1988,1,12.687359738,13.125741537
hallet,4.6893,23.8011,1995,0,13.36814496,13.248626421
hallet,4.6893,23.8011,1995,0,13.089056639,13.248626421
hallet,4.6893,23.8011,1998,0,12.814269084,13.301291372
hallet,4.6893,23.8011,2000,1,12.997145948,13.336401339
hallet,4.6893,23.8011,2005,0,13.12085911,13.424176256
hermousset,4.69,23.7933,1965,0,12.73918438,12.721976917
hermousset,4.69,23.7933,1973,1,12.45315327,12.862416785
hermousset,4.69,23.7933,2000,1,12.997145948,13.336401339
hermousset,4.69,23.7933,2005,0,13.12085911,13.424176256
mardescord,5.1925,22.8557,1961,0,12.841936783,12.651756983
mardescord,5.1925,22.8557,1966,0,13.190407363,12.739531901
mardescord,5.1925,22.8557,1973,1,12.893552848,12.862416785
mardescord,5.1925,22.8557,1989,0,13.212915268,13.14329652
mardescord,5.1925,22.8557,1998,0,13.875401034,13.301291372
mardescord,5.1925,22.8557,2001,1,14.096847711,13.353956322
mardescord,5.1925,22.8557,2006,0,13.39678561,13.441731239
mortefert,6.5711,24.6786,1961,0,12.947891816,12.651756983
pauverts,5.1909,22.8664,1966,0,13.190407363,12.739531901
pauverts,5.1909,22.8664,1973,1,12.893552848,12.862416785
pauverts,5.1909,22.8664,2001,1,14.096847711,13.353956322
pauverts,5.1909,22.8664,2006,0,13.39678561,13.441731239
planto,6.3053,21.8284,1982,1,13.716778954,13.020411636
planto,6.3053,21.8284,1992,0,13.374049075,13.195961471
planto,6.3053,21.8284,1998,1,13.968682263,13.301291372
planto,6.3053,21.8284,2003,0,14.261664696,13.389066289
puiseux,6.5769,24.7694,1968,1,12.699726239,12.774641868
puiseux,6.5769,24.7694,1994,0,13.201347332,13.231071438
puiseux,6.5769,24.7694,1999,1,13.497944607,13.318846355
reno,4.7798,23.9344,1991,0,12.432024772,13.178406487
reno,4.7798,23.9344,1993,0,12.452324118,13.213516454
reno,4.7798,23.9344,1995,0,13.09224225,13.248626421
reno,4.7798,23.9344,2000,1,12.786680895,13.336401339
reno,4.7798,23.9344,2004,0,13.184611088,13.406621272
richebourg,6.2853,21.8738,1959,1,13.053904479,12.616647017
richebourg,6.2853,21.8738,1963,0,13.139162623,12.68686695
richebourg,6.2853,21.8738,1995,1,13.707475065,13.248626421
sablo,5.1878,22.8619,1966,0,13.190407363,12.739531901
sablo,5.1878,22.8619,1973,1,12.893552848,12.862416785
sablo,5.1878,22.8619,1976,0,12.929183371,12.915081735
sablo,5.1878,22.8619,1981,1,13.314637672,13.002856653
sablo,5.1878,22.8619,1991,0,13.246577189,13.178406487
sablo,5.1878,22.8619,2001,1,14.096847711,13.353956322
sablo,5.1878,22.8619,2006,0,13.39678561,13.441731239
sablorouges,4.6898,23.7892,1994,0,13.170610006,13.231071438
sablorouges,4.6898,23.7892,1998,0,12.814269084,13.301291372
sablorouges,4.6898,23.7892,2000,1,12.997145948,13.336401339
sablorouges,4.6898,23.7892,2005,0,13.12085911,13.424176256
stemarie,8.8104,23.4525,1962,0,12.48267898,12.669311967
tresor,6.2962,21.8566,1959,1,13.053904479,12.616647017
tresor,6.2962,21.8566,1963,0,13.139162623,12.68686695
tresor,6.2962,21.8566,1982,1,13.716778954,13.020411636
tresor,6.2962,21.8566,1992,0,13.374049075,13.195961471
tresor,6.2962,21.8566,1998,1,13.968682263,13.301291372
tresor,6.2962,21.8566,2003,0,14.261664696,13.389066289
