"excludedGroup";"estimate"
0;-13.0843123942587
0;-0.561127675397844
0;-0.335332834234332
0;-1.03541099881204
0;0.154133475378591
0;0.503293871010831
0;0.451212481714897
0;0.44677667117355
0;0.0103118078202138
0;-0.0185021802565049
0;-0.0200871450783578
0;-0.0469730068221018
0;-0.166362717094864
0;0.16732325919259
0;0.152263930659881
0;-0.0886030157270048
0;0.00719963116834505
0;-0.0204857108108745
0;-0.015580319040704
0;0.0121772077000721
0;0.0349284075178961
0;-0.0636612501978635
0;-0.0509849172760366
0;0.163543504369546
0;-0.00190542623558145
0;0.00213195193993941
0;0.00189562270588163
0;-0.00872592608416795
0;0.0905552446344947
0;1.76668644771015
0;-0.06743190833769
0;1.28155190004177
0;-0.019343613180698
