excludedGroup,Estimate
0,1.14265724155056
0,-0.7113584491813
0,2.40356822522773
0,-2.1494922603379
0,-3.9068729288158
0,-5.9021652693582
0,-1.7998072780394
0,-2.6433079195988
0,-2.0131851876457
0,-5.1742160034967
0,-1.5899196882161
0,-0.9017803873933
0,3.86949669651762
0,-11.397612005475
0,2.7941908407307
1,1.26755732213701
1,-0.6897704019427
1,2.27037322774544
1,-2.14913635519
1,-3.7821950258055
1,-5.9612062974128
1,-1.824394497339
1,-3.0211895151424
1,-1.8056768372439
1,-4.9745608761491
1,-1.3732706282627
1,-0.3061376205659
1,3.81024894251
1,-10.942711311238
1,2.78700234204814
2,1.00854275379578
2,-0.7059600077516
2,2.46734782512785
2,-2.1077384933209
2,-3.87109393255
2,-5.8199526372934
2,-2.0523163893788
2,-2.5535948163334
2,-2.0386226166629
2,-4.852475645851
2,-1.2067207715142
2,-0.8531944632287
2,3.67512053032837
2,-11.29726163896
2,2.7987037629567
3,1.09074441339438
3,-0.7131122027449
3,2.45176244027109
3,-2.1429932627548
3,-3.641740410005
3,-5.6966462123354
3,-1.6973798404818
3,-2.4605152590759
3,-1.9129898291982
3,-5.0160449792608
3,-1.381646495861
3,-1.0201668244691
3,3.57594208440385
3,-10.277174814692
3,2.91354986752182
4,1.22497511267629
4,-0.670093614941
4,2.18091579095955
4,-2.1072566135529
4,-3.9931304827298
4,-6.1295695957983
4,-1.529418428881
4,-2.55189061896
4,-1.8604815739624
4,-5.025964311113
4,-2.7144779312446
4,-3.2170057608821
4,3.90337749438265
4,-10.902418038191
4,2.81418122442269
5,1.21940843581697
5,-0.7497427617423
5,2.52825896408601
5,-2.1129006683531
5,-4.059161353934
5,-5.778363604066
5,-0.7358319801796
5,-0.3200922167733
5,-1.6294710937986
5,-5.1264676870747
5,-0.7194424736023
5,-2.3596414170987
5,3.98598409817849
5,-11.230740544475
5,2.51238516547889
6,1.02032248549579
6,-0.7316007958282
6,2.50330534742751
6,-2.1755790435979
6,-3.8765939017845
6,-5.9499463899318
6,-1.7499495496008
6,-2.6146790251894
6,-2.2272591892201
6,-5.5525815152488
6,-1.8096490200565
6,-1.1240534026098
6,3.8755163012867
6,-11.732493937067
6,2.70050996858962
7,0.99831321054712
7,-0.7220602754888
7,2.52052336578481
7,-2.2000454513123
7,-3.9001103641586
7,-5.8015540396736
7,-1.6786929130064
7,-2.5183965851412
7,-2.1250600620689
7,-5.1924009814103
7,-1.7680251105349
7,-0.9364705653718
7,3.69578251690223
7,-11.283940899415
7,2.86641150474269
8,1.19137491736265
8,-0.700489892144
8,2.3297224062528
8,-2.1670200079687
8,-3.8053917937443
8,-5.8963208580495
8,-1.5825990763505
8,-2.5208830147404
8,-2.4097834756491
8,-5.256734690373
8,-2.6359216493653
8,-1.3610126012166
8,3.84643430888435
8,-11.760966389828
8,2.85551787907978
9,0.96648351267963
9,-0.791931592937
9,2.80242722867667
9,-2.1742617170747
9,-4.3474432880957
9,-6.1118672335555
9,-2.1305874494433
9,-3.1696386526032
9,-2.0794858197974
9,-5.1774400871873
9,-1.4915120334413
9,-0.6834222203112
9,4.7431682183405
9,-13.211739001596
9,2.90603773634529
10,1.43421941074109
10,-0.6492462516931
10,2.02363856988444
10,-2.1474161307866
10,-3.9038659927532
10,-5.9622663412946
10,-1.8317858166072
10,-2.6357434161004
10,-1.7943248099782
10,-5.3531364468318
10,-1.5013842157583
10,-0.8795654605501
10,3.80964437888648
10,-11.295804981575
10,2.79287965672508
