"idp","xl93","yl93","dc","dep"
744472,542181,6933820,0,"76"
744523,770172,6712044,0,"89"
744586,956609,6778399,0,"88"
744612,956954,6818370,0,"54"
744628,865055,6823158,0,"52"
744674,904415,6519052,0,"01"
744709,822356,6503768,9,"69"
744737,971975,6706318,8,"25"
744746,548215,6697921,0,"37"
744792,916970,6584888,0,"39"
744801,867528,6645264,0,"71"
744802,711931,6678562,0,"58"
744813,548631,6747883,9,"41"
744851,1030396,6759773,0,"68"
744871,899724,6670968,0,"39"
745021,689450,6856632,8,"77"
745022,978298,6744236,0,"70"
745103,682614,6401048,0,"12"
745141,778029,6695989,0,"89"
745144,854378,6743303,0,"52"
745159,784773,6783870,8,"10"
745181,457037,6305025,0,"32"
745217,832087,6941370,0,"08"
745267,829952,6925397,0,"08"
745287,925356,6862614,8,"54"
745310,621084,6569414,0,"23"
745318,927735,6674724,8,"25"
745319,914245,6732797,0,"70"
745360,973522,6538439,0,"73"
745425,710135,6702560,8,"58"
745434,933299,6856550,0,"54"
745449,636131,6457386,0,"19"
745485,508473,6484426,0,"24"
745504,877355,6859030,0,"55"
745518,936522,6534762,9,"74"
745522,905788,6678909,0,"39"
745599,681313,6365094,8,"12"
745628,938916,6580702,0,"01"
745631,746004,6690265,0,"58"
745632,703677,6410861,8,"15"
745642,945668,6668574,0,"25"
745680,744009,6336592,0,"48"
745721,534542,6736008,0,"41"
745823,704098,6460811,0,"15"
745871,978125,6724252,0,"70"
745900,521200,6814066,0,"61"
745917,702425,6380900,0,"12"
745936,644624,6755075,9,"45"
746010,816629,6769608,9,"10"
746023,627648,6637304,9,"18"
746072,766596,6526223,0,"42"
746119,440506,6480991,0,"17"
746142,1008794,6803930,8,"68"
746202,562169,6933654,0,"76"
746223,586421,6965435,8,"76"
746249,646333,6363390,0,"12"
746253,910478,6526993,0,"01"
746287,998023,6714087,8,"90"
746342,524384,6716106,0,"37"
746363,386786,6265645,0,"64"
746460,915794,6912667,8,"54"
746501,927406,6868593,0,"54"
746531,902890,6806843,8,"88"
746532,410863,6521200,9,"17"
746541,923292,6622803,0,"39"
746590,245576,6838309,0,"22"
746633,497262,6578438,0,"86"
746638,478484,6240915,0,"65"
746650,610299,6713392,0,"41"
746712,491367,6590477,0,"86"
746714,940191,6496763,0,"73"
746715,891277,6850915,0,"55"
746723,351485,6835450,9,"35"
746739,873769,6907032,8,"55"
746749,597379,6841414,0,"75"
746827,623846,6899158,0,"60"
746838,563038,6198259,0,"09"
746866,621714,6883185,0,"75"
746883,725852,6670451,0,"58"
746937,663592,6277332,0,"81"
746957,924581,6772680,8,"88"
747026,736351,6730318,0,"89"
747028,777605,6646031,0,"58"
747045,663760,6297310,0,"81"
747065,446883,6285130,7,"32"
747072,521838,6650177,0,"86"
747179,646757,6771046,0,"45"
747360,623634,6635339,0,"36"
747421,842165,6717426,0,"21"
747433,541517,6853872,8,"27"
747484,1028085,6723819,8,"68"
747507,943292,6856463,0,"54"
747515,820648,6537753,0,"69"
747516,577691,6637721,7,"36"
747521,764024,6694109,0,"58"
747537,534625,6746000,0,"41"
747541,558757,6523973,0,"87"
747578,810566,6761665,0,"21"
747581,964206,6732366,8,"70"
747611,623177,6819212,0,"75"
747645,576940,6547801,0,"87"
747698,668402,6493082,8,"63"
747754,499476,6604398,9,"86"
747842,513397,6596289,0,"86"
747854,997271,6857995,8,"57"
747887,876155,6719134,8,"21"
747929,904008,6936755,8,"54"
747952,498421,6718320,0,"37"
747979,922876,6806672,0,"88"
747984,859415,6631344,0,"71"
747990,918603,6774730,0,"88"
748036,717717,6298853,0,"34"
748086,637807,6657203,0,"18"
748099,834479,6753466,8,"21"
748107,662257,6475150,0,"15"
748144,959782,6914286,0,"57"
748155,869241,6845108,8,"55"
748162,638441,6970997,0,"80"
748246,880941,6811029,0,"88"
748265,425778,6876815,7,"14"
748339,882556,6533227,0,"38"
748378,849426,6865265,0,"55"
748479,910489,6760809,0,"52"
748490,614771,6531499,0,"23"
748520,561554,6619870,0,"36"
748528,554027,6675889,0,"37"
748560,545697,6875824,0,"27"
748565,655567,6273404,7,"81"
748693,851219,6841265,0,"55"
748705,1007004,6827930,0,"67"
748724,694360,6490866,8,"63"
748730,466283,6215044,0,"65"
748765,812786,6787628,9,"10"
748867,599889,6663516,0,"36"
748900,626102,6691276,0,"41"
749055,806814,6555856,0,"69"
749099,966688,6788306,0,"88"
749113,457806,6882548,0,"14"
749134,766158,6710079,8,"89"
749159,661669,6405220,9,"15"
749171,163427,6812987,9,"29"
749247,917844,6918646,0,"57"
749253,828415,6745524,0,"21"
749338,672468,6738852,0,"45"
749401,565934,6905638,8,"27"
749424,512569,6496381,0,"24"
749491,570530,6977561,0,"76"
749503,971047,6830240,0,"54"
749539,637928,6433393,8,"15"
749540,581573,6863532,0,"27"
749569,374914,6523493,0,"17"
749632,759501,6632195,0,"58"
749638,755982,6924029,0,"02"
749693,558943,6186307,0,"09"
749717,943964,6354866,0,"04"
749738,646205,6467292,0,"15"
749754,983930,6702218,0,"25"
749759,889983,6467222,9,"38"
749763,991785,6686162,8,"25"
749787,354763,6747482,0,"44"
749807,606920,6189902,0,"09"
749825,888969,6814958,0,"88"
749831,1017431,6877808,0,"67"
749944,469156,6320909,0,"32"
749987,711908,6912409,0,"02"
750031,794510,6753807,0,"21"
750109,559206,6817748,0,"28"
750117,956350,6748423,0,"70"
750247,773676,6654058,0,"58"
750262,742686,6534419,0,"63"
750269,920653,6780708,8,"88"
750337,561919,6903673,0,"27"
750367,552967,6188354,0,"09"
750378,916811,6798729,0,"88"
750415,908611,6774816,0,"88"
750456,841055,6587537,0,"71"
750457,921585,6656791,8,"39"
750511,954386,6752437,9,"70"
750524,758180,6358450,0,"48"
750555,599480,6255893,0,"31"
750587,564768,6765736,9,"41"
750596,991379,6870039,8,"57"
750733,621087,6211760,0,"11"
750766,575261,6825609,0,"28"
750770,821840,6677629,8,"21"
750811,909126,6834772,0,"54"
750875,792545,6757821,0,"89"
750893,396857,6275552,0,"64"
750996,798432,6979638,8,"08"
751019,849255,6845279,0,"55"
751035,576343,6955524,0,"76"
751057,937039,6594707,0,"01"
751062,907334,6858772,0,"54"
751067,708195,6472765,0,"43"
751133,992391,6756105,8,"68"
751134,458948,6778605,0,"53"
751226,782723,6777891,0,"10"
751228,241159,6786380,0,"56"
751253,541073,6560089,0,"87"
751263,661779,6317724,0,"12"
751287,478107,6678517,0,"37"
751323,987365,6868075,8,"57"
751335,820385,6975453,8,"08"
751341,877269,6849037,0,"55"
751417,889484,6874916,8,"55"
751430,849854,6915232,0,"55"
751448,518853,6290528,0,"32"
751543,470477,6480744,6,"16"
751607,570031,6917597,0,"27"
751615,1016043,6717928,0,"68"
751632,748138,6706235,0,"89"
751682,836016,6699492,0,"21"
751745,589943,6429798,0,"46"
751764,741145,6588386,0,"03"
751795,912195,6726819,0,"70"
751796,593076,6565651,0,"23"
751825,913386,6632880,0,"39"
751835,879748,6904982,8,"55"
751869,907666,6664904,0,"39"
751923,507585,6618320,0,"86"
751939,704579,6754570,0,"89"
751964,761621,6882005,0,"51"
751988,655944,6437238,0,"15"
752065,841825,6911303,0,"08"
752097,893918,6693001,8,"70"
752156,428706,6261305,0,"64"
752158,484130,6198914,0,"65"
752168,996319,6748077,0,"68"
752185,572412,6963552,0,"76"
752260,622045,6445515,0,"19"
752319,736878,6556449,0,"03"
752321,898704,6784894,8,"52"
752364,842336,6737410,0,"21"
752404,916209,6728783,0,"70"
752438,688439,6736718,0,"45"
752479,631372,6843128,9,"75"
752493,583539,6859518,0,"28"
752530,725514,6630485,0,"58"
752545,754116,6704186,0,"89"
752560,483359,6830369,0,"61"
752624,592363,6719538,0,"41"
752694,951062,6830413,8,"54"
752716,517186,6812100,0,"61"
752732,710050,6692568,0,"58"
752733,840116,6711448,0,"21"
752771,523251,6218568,7,"31"
752792,630238,6469424,0,"19"
752883,663012,6565065,0,"23"
752929,618326,6717322,0,"41"
752953,612598,6749347,0,"45"
752989,680833,6782751,0,"77"
753013,960450,6760379,8,"88"
753034,692706,6768660,0,"45"
753035,744717,6774216,8,"89"
753073,932093,6716655,0,"70"
753081,760519,6752097,0,"89"
753103,764872,6794032,9,"10"
753127,416030,6906877,8,"50"
753141,866249,6729212,0,"52"
753155,647547,6627145,8,"18"
753185,884520,6529214,0,"38"
753218,523082,6800059,0,"61"
753227,604872,6183926,0,"09"
753287,762229,6718107,8,"89"
753332,738739,6776266,0,"89"
753459,595748,6885401,9,"75"
753466,746936,6800180,0,"10"
753562,906894,6574983,0,"01"
753572,929888,6924539,0,"57"
753588,612643,6174272,0,"09"
753597,820643,6771572,0,"10"
753635,527593,6861983,8,"27"
753701,425845,6399189,9,"33"
753713,367130,6793350,0,"35"
753739,916639,6778744,9,"88"
753751,509715,6634290,3,"86"
753763,661551,6629025,0,"18"
753779,933283,6622717,8,"39"
