"idp","xl93","yl93","dc","dep"
19,903872,6804836,NA,"88"
23,1004318,6863931,NA,"57"
45,393417,6221638,NA,"64"
54,700394,6376921,NA,"12"
69,566084,6803699,NA,"28"
83,395385,6461381,NA,"33"
98,563253,6463989,NA,"19"
101,987222,6736164,NA,"90"
147,773713,6775969,NA,"10"
168,713166,6706531,8,"58"
170,957850,6806370,NA,"88"
188,897550,6766916,NA,"52"
190,567383,6719746,NA,"41"
207,587997,6555702,NA,"23"
214,838707,6897338,NA,"51"
233,897047,6940813,8,"54"
244,736826,6668359,NA,"58"
259,647979,6321418,NA,"81"
271,800279,6609866,NA,"71"
276,627754,6769207,8,"45"
296,679879,6550935,NA,"63"
321,641210,6467334,NA,"19"
335,879787,6793051,NA,"52"
344,1012521,6887845,NA,"57"
373,571097,6925584,NA,"76"
526,541281,6945821,NA,"76"
534,876281,6617211,8,"71"
554,665741,6295295,NA,"81"
572,959018,6478617,NA,"73"
617,788664,6653930,NA,"71"
652,561007,6194281,NA,"09"
653,549447,6725891,NA,"41"
694,588998,6675598,NA,"36"
698,947167,6726518,NA,"70"
711,860483,6639329,NA,"71"
771,602710,6881345,NA,"75"
782,710948,6680569,NA,"58"
791,613079,6687388,NA,"41"
826,431334,6459087,NA,"33"
834,612954,6911242,NA,"60"
836,863046,6705257,8,"21"
852,833241,6725497,8,"21"
875,545819,6530075,NA,"87"
906,550936,6184376,NA,"09"
932,930581,6424913,8,"38"
947,962641,6898271,8,"57"
959,948893,6926373,8,"57"
990,948633,6896393,8,"57"
999,652710,6647086,NA,"18"
1002,668629,6401165,NA,"12"
1005,873637,6775116,NA,"52"
1030,534611,6624091,8,"86"
1040,662334,6840870,NA,"75"
1055,714855,6906388,NA,"02"
1087,452125,6315056,NA,"32"
1096,587033,6679611,NA,"36"
1113,912331,6858729,NA,"54"
1118,345930,6277967,NA,"40"
1181,666631,6638975,NA,"18"
1199,704042,6572713,NA,"03"
1210,795315,6965672,NA,"08"
1274,534887,6897901,NA,"27"
1288,600494,6855379,NA,"75"
1315,385803,6267651,NA,"64"
1318,963051,6714389,NA,"25"
1344,659764,6297343,NA,"81"
1356,640419,6611217,NA,"18"
1364,710504,6864449,7,"77"
1372,728356,6848307,NA,"77"
1384,754575,6876068,NA,"51"
1390,898753,6906817,NA,"55"
1414,746902,6678267,NA,"58"
1422,808817,6673744,NA,"21"
1428,821284,6729596,NA,"21"
1441,857496,6757267,NA,"52"
1442,821715,6545737,NA,"69"
1445,710273,6600637,NA,"03"
1446,647739,6769039,NA,"45"
1447,742634,6646327,8,"58"
1464,519694,6512308,NA,"24"
1485,616132,6813275,NA,"28"
1548,981071,6718231,NA,"25"
1609,645056,6449318,NA,"15"
1659,563235,6941640,NA,"76"
1711,886023,6820979,NA,"55"
1718,890965,6465215,NA,"38"
1723,557525,6496008,NA,"87"
1755,652207,6587138,NA,"03"
1846,928531,6418936,NA,"38"
1866,522762,6882011,NA,"27"
1886,357794,6751455,NA,"44"
1924,797797,6787756,NA,"10"
1941,928889,6692700,NA,"25"
1942,595060,6683541,NA,"36"
1959,442158,6802727,NA,"53"
2044,632933,6433435,NA,"15"
2052,427403,6467112,NA,"33"
2070,841781,6789379,NA,"52"
2114,516345,6590270,NA,"86"
2123,1209707,6128797,NA,"2B"
2228,401199,6439353,NA,"33"
2235,793357,6735830,NA,"21"
2312,923831,6337057,NA,"04"
2319,891487,6758974,NA,"52"
2359,606933,6669453,NA,"36"
2394,844258,6845322,NA,"51"
2418,1009256,6741969,8,"68"
2426,509479,6726223,8,"37"
2436,505421,6236696,NA,"31"
2438,750561,6874104,NA,"51"
2442,767140,6708073,NA,"89"
2510,701800,6780576,NA,"89"
2525,640791,6417384,NA,"15"
2547,727680,6768365,NA,"89"
2553,1026616,6899715,8,"57"
2564,714602,6876407,NA,"77"
2575,813342,6735659,NA,"21"
2586,563036,6677813,NA,"37"
2618,909067,6479047,8,"38"
2621,862622,6889138,NA,"55"
2660,919585,6772723,NA,"88"
2695,640959,6437364,8,"15"
2702,923685,6784679,NA,"88"
2740,674942,6439077,NA,"15"
2747,895930,6810901,NA,"88"
2762,589128,6451784,NA,"19"
2776,612829,6179864,NA,"09"
2785,916173,6840707,NA,"54"
2796,1038486,6885620,NA,"67"
2845,434542,6848760,NA,"61"
2846,419617,6249392,NA,"64"
2851,907361,6513032,NA,"01"
2868,929649,6548809,NA,"74"
2923,188489,6822780,NA,"29"
2931,916776,6910660,NA,"54"
2936,870223,6843101,NA,"55"
2963,503373,6230720,NA,"31"
2997,725820,6548549,NA,"63"
3042,365499,6227861,NA,"64"
3065,579340,6715649,NA,"41"
3076,594348,6837442,NA,"28"
3107,554376,6837775,8,"28"
3135,609567,6745376,NA,"45"
3173,684959,6916634,NA,"60"
3203,648230,6351385,NA,"12"
3241,206347,6806647,NA,"29"
3251,479237,6452697,NA,"24"
3263,736234,6598420,NA,"03"
3265,705223,6712594,NA,"58"
3274,917965,6816707,NA,"54"
3300,809328,6733695,NA,"21"
3302,625203,6703274,NA,"41"
3346,464821,6400865,NA,"33"
3361,672777,6656909,NA,"18"
3456,665003,6682955,NA,"18"
3467,971165,6728309,NA,"70"
3470,997300,6746070,NA,"90"
3498,204702,6850631,NA,"29"
3513,667924,6555033,8,"63"
3527,842891,6685444,NA,"21"
3542,799421,6743772,NA,"89"
3567,535414,6480206,NA,"24"
3593,1033342,6753752,NA,"68"
3608,492846,6648418,NA,"86"
3624,920790,6912624,8,"57"
3640,932731,6674681,8,"25"
3678,853225,6725326,NA,"21"
3688,893528,6531135,NA,"01"
3721,825981,6811500,NA,"10"
3722,666096,6812856,8,"77"
3804,382939,6405535,8,"33"
3835,884144,6834986,NA,"55"
3849,903615,6774859,8,"52"
3854,735030,6692357,NA,"58"
3857,963742,6794327,NA,"88"
3976,712660,6646581,NA,"58"
4000,500397,6836224,NA,"61"
4009,798825,6673829,NA,"21"
4017,849724,6783315,NA,"52"
4039,411347,6215497,NA,"64"
4054,567932,6545878,NA,"87"
4058,839903,6569562,NA,"01"
4185,200046,6768724,NA,"29"
4224,947943,6816449,NA,"88"
4303,651656,6283426,NA,"81"
4331,1207744,6132810,NA,"2B"
4356,685408,6732747,NA,"45"
4357,750341,6376499,NA,"48"
4369,837084,6941328,NA,"08"
4379,497852,6770289,NA,"72"
4384,255986,6766274,NA,"56"
4404,626208,6823184,NA,"75"
4408,425931,6531067,NA,"17"
4427,831105,6943378,8,"08"
4428,619100,6929181,NA,"60"
4435,692200,6353014,NA,"12"
4437,928287,6622760,8,"39"
4474,741197,6476483,NA,"43"
4531,697002,6922530,NA,"60"
4579,466074,6794535,NA,"53"
4580,548313,6829830,8,"28"
4588,473358,6708535,8,"49"
4614,793877,6561961,NA,"42"
4615,550966,6428125,NA,"24"
4618,551026,6915756,NA,"76"
4645,940001,6822513,NA,"54"
4667,580638,6631701,NA,"36"
4671,560738,6641859,NA,"36"
4707,659142,6461189,NA,"15"
4715,424795,6878822,NA,"14"
4716,900964,6698936,8,"70"
4760,755268,6722163,NA,"89"
4798,712432,6382814,NA,"48"
4866,768668,6887941,NA,"51"
4897,921868,6341070,NA,"04"
4926,639246,6471347,NA,"19"
4930,844771,6905282,NA,"55"
4942,905579,6770844,NA,"52"
4950,356246,6317841,NA,"40"
4960,902498,6644964,8,"39"
4968,898656,6662983,NA,"39"
5022,643054,6687137,NA,"18"
5049,465069,6430835,NA,"24"
5062,467116,6436812,8,"24"
5073,700703,6650679,NA,"18"
5088,851090,6709356,NA,"21"
5152,738557,6400576,NA,"48"
5198,790968,6689883,8,"21"
5209,677242,6475024,NA,"15"
5213,696718,6414916,NA,"15"
5231,927786,6796636,8,"88"
5248,698967,6918515,NA,"60"
5340,644013,6563227,NA,"23"
5342,558690,6635881,NA,"36"
5355,918395,6866672,NA,"54"
5383,643464,6259520,NA,"11"
5386,729729,6774343,NA,"89"
5400,463336,6221062,8,"65"
5413,789863,6559996,NA,"42"
5420,931628,6778615,NA,"88"
5476,842550,6879316,8,"51"
5497,529161,6208530,NA,"09"
5506,750916,6680231,NA,"58"
5508,729117,6938249,NA,"02"
5535,725123,6702433,8,"58"
5548,695037,6926544,8,"60"
5558,769529,6754020,NA,"89"
5580,888932,6926890,NA,"55"
5600,417830,6760956,NA,"53"
5606,732305,6606446,NA,"03"
5611,588414,6605657,NA,"36"
5655,646313,6599178,NA,"18"
5674,624494,6857177,NA,"75"
5724,815647,6771615,NA,"10"
5747,856387,6861208,8,"55"
5763,945203,6730532,NA,"70"
5775,862447,6635315,NA,"71"
5797,1006195,6849923,NA,"57"
5805,832813,6909382,NA,"08"
5843,448877,6890617,NA,"14"
5845,532702,6394309,NA,"24"
5867,641713,6527277,NA,"23"
5897,458528,6606735,NA,"79"
5934,958778,6682450,8,"25"
5983,873889,6571269,NA,"01"
5998,880902,6922962,8,"55"
6011,682432,6616859,NA,"03"
6138,569198,6218186,NA,"09"
6149,669689,6764857,NA,"45"
6161,920334,6395030,NA,"05"
6208,908380,6399128,NA,"26"
6209,944428,6640606,NA,"25"
6214,809675,6539845,NA,"69"
6230,448125,6556862,NA,"79"
6243,1028493,6885707,NA,"57"
6286,625287,6713266,NA,"41"
6292,811463,6749666,NA,"21"
6318,222238,6794527,NA,"56"
6323,739128,6704313,NA,"58"
6325,853567,6765295,NA,"52"
6335,769274,6724043,8,"89"
6380,425512,6237357,NA,"64"
6421,914797,6680830,NA,"25"
6456,823675,6775543,NA,"10"
6463,924719,6904595,NA,"57"
6494,414550,6605099,NA,"85"
6499,916862,6920653,NA,"57"
6521,633224,6229638,NA,"11"
6536,650818,6183542,NA,"66"
6537,694363,6846596,7,"77"
6555,824536,6407838,NA,"07"
6565,655884,6549139,NA,"23"
6600,758774,6664177,NA,"58"
6601,560572,6621877,NA,"36"
6614,606809,6415670,NA,"46"
6616,411429,6225486,8,"64"
6647,673649,6523012,NA,"63"
6662,278261,6802068,NA,"22"
6668,422240,6325292,NA,"40"
6682,591381,6721544,8,"41"
6763,791648,6769821,NA,"10"
6769,853824,6795272,NA,"52"
6780,872530,6879059,NA,"55"
6787,457442,6233098,NA,"65"
6822,844855,6681430,8,"21"
6831,874741,6437381,NA,"26"
6839,846650,6891274,NA,"55"
6848,930180,6842585,8,"54"
6851,685239,6712763,NA,"45"
6855,636070,6569288,NA,"23"
6859,617802,6535470,NA,"23"
6867,540506,6612051,NA,"86"
6886,523433,6240543,NA,"31"
6891,844515,6875301,NA,"51"
6909,527191,6933944,NA,"76"
6945,860825,6679295,NA,"21"
6977,954850,6690478,NA,"25"
6998,725038,6692441,NA,"58"
7021,905063,6710892,8,"70"
7038,670561,6630948,8,"18"
7052,708899,6674591,NA,"58"
7090,650410,6611133,NA,"18"
7096,537267,6943855,NA,"76"
7108,807274,6961572,8,"08"
7109,387604,6243662,8,"64"
7125,729495,6510551,NA,"63"
7152,807108,6707733,NA,"21"
7157,943584,6774515,8,"88"
7168,632889,6189685,NA,"11"
7221,724954,6682449,8,"58"
7235,777302,6727972,NA,"89"
7273,596607,6629570,NA,"36"
7281,621899,6547425,NA,"23"
7299,501430,6478490,NA,"24"
7312,701320,6486811,NA,"63"
7362,804556,6408008,NA,"07"
7379,560924,6184293,NA,"09"
7415,497417,6476525,NA,"24"
7436,515161,6206648,NA,"31"
7458,931800,6798600,NA,"88"
7528,617260,6709337,8,"41"
7571,920446,6872651,NA,"54"
7581,828372,6857450,NA,"51"
7589,1005415,6759990,8,"68"
7615,461236,6692646,NA,"49"
7622,876116,6831058,NA,"55"
7628,1054458,6883483,NA,"67"
7635,543577,6260354,NA,"31"
7636,931957,6584759,NA,"01"
7640,427658,6740889,8,"49"
7650,543327,6230388,NA,"31"
7654,765515,6752055,NA,"89"
7656,706091,6578691,NA,"03"
7666,639376,6725140,NA,"41"
7727,605974,6315776,NA,"81"
7730,613956,6553487,NA,"23"
7756,886015,6587152,NA,"39"
7784,672862,6666901,NA,"18"
7899,1036435,6879642,NA,"67"
7912,933075,6714648,8,"70"
7919,648314,6361375,NA,"12"
7921,836742,6901353,NA,"51"
7931,593179,6697547,2,"41"
7964,699861,6550767,NA,"63"
8000,474184,6808459,NA,"72"
8049,677549,6748802,NA,"45"
8067,427897,6527054,NA,"17"
8077,830765,6669559,NA,"21"
8081,914553,6884694,NA,"54"
8083,815136,6711661,NA,"21"
8139,841525,6759402,NA,"21"
8154,837682,6777423,NA,"52"
8157,876373,6861037,NA,"55"
8173,852029,6585445,NA,"01"
8196,818212,6603718,NA,"71"
8206,846736,6901267,NA,"55"
8219,418159,6800926,8,"53"
8220,797541,6757779,NA,"89"
8236,854420,6631387,NA,"71"
8243,536687,6873900,NA,"27"
8244,856127,6597400,8,"01"
8265,635698,6763144,NA,"45"
8318,1034558,6893650,8,"57"
8334,572028,6557833,NA,"87"
8378,859716,6783230,NA,"52"
8385,832388,6625580,NA,"71"
8386,720264,6600553,NA,"03"
8428,845285,6965245,8,"08"
8557,599241,6705490,NA,"41"
8583,389979,6289594,NA,"40"
8591,743753,6542403,NA,"63"
8604,653466,6737013,NA,"45"
8626,749731,6540354,NA,"63"
8645,550113,6805831,NA,"28"
8648,720687,6650510,NA,"58"
8703,583198,6220067,8,"09"
8710,867060,6707221,NA,"21"
8748,361807,6753421,NA,"35"
8770,911299,6738818,8,"70"
8787,441406,6468995,NA,"17"
8798,961864,6808334,NA,"88"
8800,637114,6455379,NA,"19"
8824,995164,6730100,NA,"90"
8861,718807,6664515,NA,"58"
8866,776623,6648037,NA,"58"
8867,571529,6497890,NA,"87"
8870,950836,6688514,NA,"25"
8886,673430,6259268,NA,"34"
8905,899505,6529085,NA,"01"
8921,939139,6722590,NA,"70"
8932,686139,6345073,NA,"12"
8936,929664,6782629,NA,"88"
8948,613581,6747341,NA,"45"
8995,749290,6724212,NA,"89"
9010,581889,6781582,NA,"28"
9037,707357,6728564,NA,"89"
9113,605513,6499604,NA,"19"
9116,707779,6778526,NA,"89"
9171,837511,6757438,NA,"21"
9203,862533,6645307,NA,"71"
9250,839219,6723447,NA,"21"
9285,733424,6502525,NA,"63"
9311,651249,6711050,NA,"18"
9341,879873,6803044,8,"52"
9347,693575,6279078,NA,"34"
9385,753134,6706193,NA,"89"
9386,591168,6935411,NA,"76"
9391,186201,6786822,NA,"29"
9399,972634,6898185,8,"57"
9400,694585,6398949,8,"12"
9412,920260,6618832,NA,"39"
9414,631684,6761179,NA,"45"
9461,413981,6778975,NA,"53"
9473,939484,6762558,8,"70"
9495,876716,6901010,NA,"55"
9496,594681,6877415,NA,"75"
9525,919671,6782715,NA,"88"
9531,965965,6820291,NA,"88"
9565,523069,6678145,NA,"37"
9580,868173,6837122,8,"55"
9589,821370,6739588,NA,"21"
9649,445324,6217215,NA,"65"
9696,623529,6503450,NA,"19"
9762,771312,6963878,NA,"02"
9780,455313,6217133,NA,"65"
9810,632606,6871101,NA,"75"
9822,577388,6242092,NA,"09"
9828,926338,6860607,NA,"54"
9830,489805,6522547,NA,"16"
9927,623115,6931146,NA,"60"
9931,748123,6350544,NA,"48"
9946,740229,6834215,NA,"10"
9953,625119,6693282,NA,"41"
9962,821455,6749580,8,"21"
9974,941345,6514738,NA,"73"
9999,1003452,6764004,8,"68"
10002,305540,6715907,NA,"44"
10012,379827,6269698,NA,"64"
10017,717011,6688512,8,"58"
10058,601044,6203936,NA,"09"
10136,621397,6487482,NA,"19"
10140,944792,6914416,NA,"57"
10164,642935,6910991,8,"60"
10205,519885,6776102,NA,"72"
10235,628128,6575350,NA,"23"
10308,555114,6206316,NA,"09"
10366,1052407,6877504,NA,"67"
10410,735369,6732325,NA,"89"
10442,876619,6423378,NA,"26"
10447,657597,6515154,8,"23"
10486,879959,6813037,NA,"88"
10491,531623,6264449,NA,"32"
10512,1024652,6903730,NA,"57"
10566,936659,6666653,NA,"25"
10580,778842,6673999,NA,"58"
10588,385476,6227697,NA,"64"
10590,883716,6785023,NA,"52"
10596,735181,6946194,NA,"02"
10794,937003,6706620,NA,"70"
10815,823503,6989419,NA,"08"
10847,630634,6397488,NA,"46"
10874,900545,6882816,NA,"55"
10878,470551,6368849,NA,"47"
10880,635027,6683207,NA,"18"
10884,745717,6538390,NA,"63"
10896,764174,6358400,NA,"48"
10904,860996,6699279,NA,"21"
10919,887044,6707049,NA,"70"
10941,940759,6678608,8,"25"
10966,806605,6413985,NA,"07"
10983,919315,6508933,NA,"73"
11002,540286,6825900,8,"61"
11004,483102,6678476,NA,"37"
11034,848443,6399642,NA,"26"
11035,895913,6343291,NA,"26"
11049,817782,6787586,NA,"10"
11073,703934,6796547,NA,"89"
11096,539538,6735967,NA,"41"
11132,491294,6702391,NA,"37"
11142,1046515,6889548,NA,"67"
11162,855959,6811244,NA,"52"
11186,641127,6457344,8,"15"
11212,935368,6516787,NA,"73"
11299,236325,6806405,NA,"22"
11329,825384,6741552,NA,"21"
11339,626622,6395524,NA,"46"
11355,1022601,6897751,NA,"57"
11389,639413,6491327,NA,"19"
11409,808647,6653760,8,"71"
11412,644096,6573218,8,"23"
11420,252135,6784292,NA,"56"
11449,327980,6771684,NA,"35"
11458,922653,6664775,NA,"25"
11516,684454,6856674,NA,"77"
11528,509621,6502400,NA,"24"
11539,715722,6772463,NA,"89"
11557,515955,6784129,NA,"72"
11579,667537,6271305,NA,"81"
11596,615587,6509511,NA,"19"
11609,500231,6816238,NA,"72"
11635,886872,6687066,NA,"21"
11671,1023523,6773823,NA,"68"
11696,908144,6836779,NA,"54"
11700,573562,6981534,NA,"76"
11750,831106,6709527,NA,"21"
11760,852201,6839258,NA,"55"
11773,942378,6634629,NA,"39"
11816,373440,6221802,NA,"64"
11820,459092,6432882,NA,"33"
11828,900717,6902803,8,"55"
11846,649837,7018877,NA,"62"
11860,729664,6530532,NA,"63"
11993,840757,6903317,NA,"51"
12016,908058,6826786,NA,"54"
12055,368195,6801336,NA,"35"
12076,401276,6205591,NA,"64"
12091,856045,6821236,NA,"52"
12113,861595,6769223,NA,"52"
12125,785755,6781863,NA,"10"
12208,835803,6791429,NA,"10"
12298,896692,6666997,NA,"39"
12316,633268,6473395,NA,"19"
12323,685127,6936622,NA,"60"
12346,716251,6598589,8,"03"
12347,698654,6644700,NA,"18"
12371,750307,6844124,NA,"51"
12381,839134,6947307,NA,"08"
12384,920432,6638815,8,"39"
12388,781741,6779898,NA,"10"
12394,441477,6235227,NA,"64"
12439,336006,6775616,NA,"35"
12543,552681,6394143,NA,"24"
12570,613330,6717364,NA,"41"
12627,469015,6666602,NA,"86"
12664,823931,6805521,NA,"10"
12685,498907,6656362,NA,"37"
12691,901822,6798858,NA,"88"
12708,501409,6234732,NA,"31"
12716,1052494,6887497,8,"67"
12751,910969,6932697,NA,"54"
12758,712913,6676555,NA,"58"
12792,697618,6758626,NA,"45"
12795,680973,6680822,NA,"18"
12838,629049,6685255,NA,"18"
12861,642923,6433351,NA,"15"
12881,621190,6701309,NA,"41"
12885,783122,6472130,NA,"42"
12922,957677,6786385,NA,"88"
13010,433216,6445084,NA,"33"
13026,684201,6826694,NA,"77"
13034,657548,6271389,NA,"81"
13056,923427,6754702,NA,"70"
13078,727869,6554527,NA,"03"
13086,865606,6537369,NA,"01"
13105,908981,6469057,NA,"38"
13112,244189,6790352,7,"56"
13155,609943,6551522,NA,"23"
13234,503666,6748256,NA,"72"
13269,636992,6679193,NA,"18"
13315,678054,6808757,NA,"77"
13365,418310,6333316,NA,"40"
13375,740314,6844209,NA,"51"
13396,579269,6228091,NA,"09"
13410,890543,6649063,NA,"39"
13506,739929,6326637,NA,"30"
13524,873723,6785108,NA,"52"
13560,951785,6798428,NA,"88"
13609,490778,6398653,NA,"47"
13628,892079,6595093,NA,"39"
13655,890279,6385297,NA,"26"
13660,724700,6652474,NA,"58"
13675,453595,6251110,NA,"64"
13686,889018,6936884,NA,"54"
13715,928302,6856593,NA,"54"
13744,668209,6351218,NA,"12"
13756,951250,6504661,NA,"73"
13765,1014051,6833865,8,"67"
13793,449855,6766688,NA,"53"
13863,554957,6907728,NA,"76"
13899,833155,6715505,8,"21"
13902,615462,6733335,NA,"45"
13914,683219,6472976,NA,"15"
13946,682068,6810722,8,"77"
13995,641090,6691150,NA,"18"
14082,885251,6731047,NA,"70"
14100,880645,6892981,NA,"55"
14162,347977,6283944,NA,"40"
14163,803273,6491941,8,"42"
14170,910955,6698850,NA,"70"
14197,454857,6888568,NA,"14"
14198,933506,6764608,8,"70"
14233,437383,6223274,NA,"64"
14257,455560,6247098,8,"65"
14264,838877,6683480,NA,"21"
14302,1014485,6883830,NA,"57"
14303,531345,6712052,NA,"37"
14442,752287,6606277,NA,"03"
14449,495556,6734333,NA,"72"
14478,919241,6732754,8,"70"
14502,825810,6791514,NA,"10"
14534,1040363,6871613,NA,"67"
14569,675646,6285222,8,"81"
14588,821114,6709612,NA,"21"
14601,375567,6725328,8,"44"
14604,575194,6937543,NA,"76"
14654,895406,6517131,NA,"38"
14656,582889,6901499,8,"27"
14665,586533,6619662,NA,"36"
14700,766703,6891956,NA,"51"
14731,617384,6485517,NA,"19"
14793,793613,6765807,NA,"10"
14800,891830,6798944,NA,"52"
14811,801811,6789721,NA,"10"
14816,672075,6810807,NA,"77"
14840,987308,6746157,NA,"90"
14892,634823,6897067,NA,"75"
14927,393663,6251604,NA,"64"
14969,666446,6141458,NA,"66"
14970,883973,6815001,NA,"88"
14978,796776,6667851,NA,"71"
14985,406027,6297454,NA,"40"
15019,685913,6792702,NA,"77"
15022,762604,6879998,NA,"51"
15044,489207,6208861,NA,"65"
15046,619853,7019129,NA,"80"
15059,829227,6723532,NA,"21"
15068,509644,6746207,8,"72"
15072,648998,6918936,NA,"60"
15074,369339,6941240,NA,"50"
15083,363943,6281816,NA,"40"
15093,854936,6925183,8,"55"
15112,799244,6957643,NA,"08"
15113,821630,6535746,8,"69"
15125,510969,6906094,NA,"27"
15132,539759,6522133,NA,"87"
15146,972870,6694319,NA,"25"
15152,955195,6730445,NA,"70"
15164,828970,6927405,NA,"08"
15169,535053,6917888,NA,"27"
15175,992535,6888018,8,"57"
15200,763113,6939960,NA,"02"
15229,673817,6542993,NA,"63"
15236,703765,6776562,NA,"89"
15289,216339,6806566,NA,"56"
15295,633475,6259604,NA,"81"
15311,887129,6717041,8,"70"
15320,862880,6919119,8,"55"
15355,679574,6277198,8,"34"
15359,224688,6850470,NA,"22"
15381,593891,6543663,NA,"23"
15400,1030544,6891686,NA,"57"
15411,859545,6763245,NA,"52"
15428,492081,6314725,NA,"32"
15458,933333,6744624,NA,"70"
15487,625912,6549390,NA,"23"
15489,889515,6529171,NA,"01"
15496,535497,6490196,NA,"24"
15533,538320,6829914,NA,"61"
15567,855617,6771273,NA,"52"
15600,601495,6975304,8,"76"
15622,777727,6777934,NA,"10"
15627,714962,6682534,NA,"58"
15638,668596,6634962,NA,"18"
15645,654306,6836940,NA,"75"
15652,801209,6953628,NA,"08"
15655,833070,6939363,NA,"08"
15664,620853,6183793,NA,"11"
15685,976217,6850183,NA,"57"
15693,827347,6971395,NA,"08"
15702,923772,6794672,NA,"88"
15705,567633,6749723,NA,"41"
15757,849040,6703378,NA,"21"
15787,630885,6427457,NA,"15"
15830,702358,6372909,NA,"12"
15837,881751,6789037,NA,"52"
15852,740839,6670324,NA,"58"
15855,749698,7008040,NA,"59"
15894,835888,6801422,NA,"10"
15928,700478,6386911,NA,"12"
15931,711057,6456755,NA,"15"
16001,431406,6225321,NA,"64"
16002,705199,6946447,NA,"60"
16017,553211,6697880,NA,"37"
16044,904119,6600985,NA,"39"
16088,945376,6750516,NA,"70"
16090,855275,6731304,NA,"21"
16169,758604,6644193,8,"58"
16174,707273,6718572,NA,"58"
16185,202334,6804680,NA,"29"
16198,845795,6557521,NA,"01"
16208,897894,6806886,NA,"88"
16243,953145,6724468,NA,"70"
16260,965751,6332700,NA,"04"
16361,800543,6406044,NA,"07"
16362,1017111,6725913,NA,"68"
16374,450761,6876609,NA,"14"
16480,685492,6742739,NA,"45"
16506,733593,6522506,NA,"63"
16526,629004,6441460,NA,"19"
16531,946909,6696542,NA,"25"
16547,527830,6770040,NA,"72"
16561,874655,6427391,NA,"26"
16628,831195,6485709,NA,"42"
16640,536604,6863907,NA,"27"
16656,505134,6684289,NA,"37"
16658,838280,6847372,NA,"51"
16708,504057,6554402,NA,"86"
16714,527388,6476276,NA,"24"
16718,906856,6686894,NA,"25"
16732,941362,6748552,NA,"70"
16736,537268,6222447,NA,"31"
16739,674470,6145386,NA,"66"
16775,529244,6218518,NA,"31"
16781,858775,6673317,8,"21"
16784,727341,6728395,NA,"89"
16816,612493,6617446,NA,"36"
16831,913091,6714820,NA,"70"
16835,741178,6710291,8,"58"
16836,1031378,6757766,NA,"68"
16849,713589,6756492,NA,"89"
16867,166617,6836946,NA,"29"
16886,465301,6217050,NA,"65"
17009,967410,6756321,NA,"70"
17020,636285,6833093,8,"75"
17024,188649,6842765,NA,"29"
17040,919819,6335094,NA,"04"
17048,986642,6900062,8,"57"
17077,857410,6747274,NA,"52"
17098,1072393,6877330,8,"67"
17112,888493,6643086,NA,"39"
17117,391616,6245627,NA,"64"
17128,635233,6469382,NA,"19"
17219,456879,6406925,NA,"33"
17321,833497,6755473,8,"21"
17364,409060,6423304,NA,"33"
17384,853482,6755302,NA,"52"
17398,539676,6512142,NA,"87"
17406,642803,6657161,NA,"18"
17418,614960,6673382,NA,"18"
17433,666832,6425158,NA,"15"
17445,908895,6459067,NA,"38"
17517,1038399,6875627,NA,"67"
17537,434688,6381133,NA,"33"
17610,860059,6823201,NA,"52"
17646,621273,6711301,NA,"41"
17649,707719,6534714,NA,"63"
17659,556559,6619912,NA,"36"
17696,904720,6670925,8,"39"
17733,997041,6716094,8,"90"
17758,921893,6808679,NA,"88"
17785,656423,6375293,NA,"12"
17814,707863,6788519,NA,"89"
17836,742127,6586380,NA,"03"
17855,578959,6909527,NA,"27"
17907,742569,6402540,NA,"48"
17908,823419,6745566,NA,"21"
17912,769359,6734035,NA,"89"
17977,582519,6617697,NA,"36"
18029,807874,6797664,NA,"10"
18048,824190,6601669,NA,"71"
18069,820087,6823542,NA,"10"
18084,587497,6495758,NA,"87"
18093,817100,6707648,NA,"21"
18099,912576,6654870,NA,"39"
18102,893957,6581089,NA,"39"
18140,613246,6707372,NA,"41"
18170,693098,6696708,NA,"58"
18185,642840,6423361,NA,"15"
18186,818208,6837550,NA,"51"
18190,674292,6836771,NA,"77"
18192,643594,6513273,NA,"23"
18242,747749,6778188,8,"89"
18254,898142,6603035,NA,"39"
18310,834266,6611575,NA,"71"
18318,887730,6786987,NA,"52"
18374,628961,6197709,NA,"11"
18378,348059,6293933,NA,"40"
18392,713504,6746500,NA,"89"
18438,703031,6452827,NA,"15"
18457,966742,6910228,NA,"57"
18464,672809,6423109,NA,"15"
18471,889351,6743004,NA,"52"
18507,444452,6838685,NA,"61"
18527,688747,6654776,7,"18"
18552,819917,6803557,NA,"10"
18560,870480,6873080,NA,"55"
18568,467447,6476773,NA,"16"
18595,953404,6754444,8,"70"
18598,429295,6696907,NA,"49"
18641,1046428,6879555,8,"67"
18648,828886,6683565,NA,"21"
18653,881237,6729083,NA,"70"
18718,925477,6760680,NA,"70"
18720,627626,6515405,NA,"19"
18735,210038,6768643,NA,"29"
18770,919401,6518923,NA,"73"
18786,422665,6862849,NA,"14"
18793,744243,6836180,NA,"51"
18806,457223,6690681,NA,"49"
18819,484718,6390711,NA,"47"
18827,723919,6796378,8,"89"
18871,854850,6915190,NA,"55"
18900,439276,6453027,NA,"33"
18930,561372,6477992,NA,"24"
18951,842637,6421670,NA,"07"
18987,622985,6199757,NA,"11"
18990,479714,6268875,NA,"32"
18995,912651,6431061,NA,"38"
18998,883030,6705085,NA,"21"
19033,894128,6601071,NA,"39"
