Region;Pred;Lower95;Upper95
AUVERGNE_RHONE_ALPES;0.2793642198997544;0.25345734028655054;0.30704354391149824
BOURGOGNE_FRANCHE_COMTE;0.41344091453535375;0.38305234815658173;0.4453245950683088
BRETAGNE;0.2274663108728627;0.19436527493377276;0.2649384510627103
CENTRE_VAL_DE_LOIRE;0.2893981714590417;0.2586780636845687;0.32159472112333864
CORSE;0.13340240471118608;0.08716648922848291;0.19241612259093777
GRAND_EST;0.49284267720074815;0.46240116001997766;0.5240558297911045
HAUTS_DE_FRANCE;0.4511955495427593;0.4076102077125551;0.49513632841943334
ILE_DE_FRANCE;0.3332555504446289;0.28380784333292686;0.38494282385078127
NORMANDIE;0.3922318764175219;0.3501167654329439;0.4360367298061465
NOUVELLE_AQUITAINE;0.32559567940802253;0.2962042405795513;0.3559806319446944
OCCITANIE;0.18740258726528897;0.1644055791146688;0.21229601207145432
PAYS_DE_LA_LOIRE;0.2861666394305449;0.2472785767227884;0.32854485557559465
PROVENCE_ALPES_COTE_D_AZUR;0.15672285926955448;0.12871759969559282;0.18851879841997177
