Ownership;Pred;Lower95;Upper95
Public;0.46234902822618673;0.43389490019456256;0.49247785033943947
Private - No intervention;0.2789484795103302;0.25535964087149454;0.30419760755298364
Private - With intervention;0.44439385104109974;0.4088213743794573;0.48141998769877126
