Year;Pred;Lower95;Upper95
2012;0.044831858422783935;0.04086104326731499;0.04914910077109924
2013;0.1033739465196821;0.09465872828178323;0.11276941730419388
2014;0.17720783883941085;0.16157900723854324;0.19400797052433105
2015;0.23312485890116383;0.21307550554504096;0.2545387127289146
2016;0.27872570045923967;0.2557447870532711;0.30321299972075166
