Slope;Pred;Lower95;Upper95
0.0;0.3640015948010592;0.33403577986094557;0.3954458968124983
1.0;0.3583966526037383;0.32887576399159724;0.38923511810027767
2.0;0.3528524242159005;0.3238106380197241;0.38309222492673145
3.0;0.3473691867817221;0.3187292238818812;0.3771691464207677
4.0;0.3419471755080845;0.3137517457411956;0.37134821697287224
5.0;0.3365865849721292;0.30891735162872735;0.36543227805153045
6.0;0.33128757042303847;0.3041094179404601;0.35962127086900686
7.0;0.3260502490761254;0.299194257191312;0.35390666446497077
8.0;0.320874701397419;0.29451764090595856;0.3482731953403211
9.0;0.31576097237701745;0.2898385771158738;0.3427970037391621
10.0;0.3107090727896943;0.285138724990743;0.33728171305802523
11.0;0.30571898044132184;0.2805013046791306;0.3319068549209401
12.0;0.30079064139974115;0.27584626384574384;0.3265817591513819
13.0;0.2959239712089577;0.27142984168124795;0.32140935186333397
14.0;0.29111885608549326;0.26698083072050394;0.31624858887730045
15.0;0.28637515409596775;0.26253536137528033;0.31114035382249805
16.0;0.2816926963149731;0.25817399349339853;0.30607025873749605
17.0;0.27707128796247227;0.2538870957162571;0.30116175762716046
18.0;0.27251070952002115;0.24965403326241165;0.29626549429358584
19.0;0.2680107178251785;0.24538528049136676;0.29149610423750827
20.0;0.2635710471435792;0.24123910383669211;0.2867300286296698
21.0;0.25919141021821573;0.23701087910188756;0.28205661804341386
22.0;0.25487149929553;0.23298742191039734;0.27744835557754777
23.0;0.2506109871280235;0.22900154926260496;0.2729518733316725
24.0;0.24640952795308468;0.225086035187276;0.2685312589244754
25.0;0.24226675844790393;0.22124333156699705;0.2642184179565288
26.0;0.23818229866030635;0.21742049019087994;0.26007517732275254
27.0;0.23415575291541674;0.21369453465349153;0.25581159366268225
28.0;0.2301867106981563;0.2099501113765786;0.2515602082416316
29.0;0.22627474751155865;0.2062797799012026;0.2473744216985253
30.0;0.22241942571099158;0.202560534201226;0.2433274735917218
31.0;0.21862029531435864;0.19892001461651732;0.23932048798490257
32.0;0.21487689478843727;0.19532146874226652;0.2353100893896093
33.0;0.21118875181153296;0.1917774605713226;0.23153753624481455
34.0;0.20755538401262394;0.18830986161720387;0.22768400392208654
35.0;0.2039762996872554;0.18483122656312878;0.2239005805546549
36.0;0.2004509984904458;0.1814533993105999;0.22026762756283402
37.0;0.19697897210686444;0.17819385186751124;0.21663423784121827
38.0;0.19355970489861268;0.1749202735318175;0.21311052964840127
39.0;0.19019267453092562;0.17175303108881623;0.2096227526339004
40.0;0.18687735257612556;0.168593245778888;0.206150489453106
41.0;0.18361320509621515;0.1655117419237636;0.20274566352304568
42.0;0.18039969320445093;0.16240279883585484;0.1994138101963071
43.0;0.17723627360631714;0.15937625448663162;0.1961139839230227
44.0;0.17412239912026134;0.15644582913704064;0.19296355403850707
45.0;0.17105751917862655;0.1535182031361645;0.18986836728076362
46.0;0.16804108030918732;0.15063902344823565;0.18673630614119197
47.0;0.16507252659768848;0.14779499723783085;0.1836169266532781
48.0;0.16215130013183846;0.14504197662972562;0.18063192279855944
49.0;0.15927684142718188;0.14226621141102958;0.17766695887910045
50.0;0.1564485898352562;0.13958963941471048;0.1746583025051397
51.0;0.15366598393450825;0.1369910058692163;0.1717084177893875
52.0;0.1509284619043656;0.13438620684408198;0.16883173058641965
53.0;0.1482354618829284;0.13182706711647108;0.16599730195822693
54.0;0.14558642230868424;0.12934000713133276;0.16330368568908904
55.0;0.1429807822467116;0.12681620044100828;0.16058519857189268
56.0;0.140417981699768;0.1243969563671532;0.15792905957722325
57.0;0.13789746190471344;0.12197914719331371;0.15528465363556776
58.0;0.13541866561467839;0.11963968170077699;0.15271019813967357
59.0;0.1329810373674024;0.11733717335478488;0.15014182477898952
60.0;0.13058402374015166;0.11502585946877297;0.14761378270560155
61.0;0.12822707359162852;0.11279128551582307;0.1451611650100879
62.0;0.12590963829127094;0.1106435964095881;0.14274580134971948
63.0;0.12363117193634747;0.10853038167484186;0.14037579798284539
64.0;0.12139113155723337;0.10639389042174541;0.13802365587570664
65.0;0.11918897731125176;0.1043308785237026;0.1357187987967705
66.0;0.1170241726654657;0.1022997784630405;0.13345273806630986
67.0;0.11489618456878446;0.10024128637981378;0.13125475230442518
68.0;0.11280448361375343;0.09827914269119975;0.12907562968959285
69.0;0.11074854418838424;0.09629108909288553;0.1269390099033817
70.0;0.10872784461837039;0.09437570275335017;0.12483392386904935
