Slope;Species;Pred;Lower95;Upper95
0.0;Beech;0.3493064615051671;0.3197093703017171;0.3794143578337965
1.0;Beech;0.3438740814935084;0.31477102506228094;0.37346348524398165
2.0;Beech;0.3385027804571964;0.3097978055467129;0.3675401847877433
3.0;Beech;0.3331927278211021;0.3050727595405044;0.36169152926309345
4.0;Beech;0.32794405479013605;0.30035236193653414;0.3560154940136506
5.0;Beech;0.32275685562405404;0.295600931112332;0.3503418099694021
6.0;Beech;0.31763118890193615;0.29098609585723156;0.3446759783724732
7.0;Beech;0.3125670787746691;0.28644974880582286;0.33912808223848667
8.0;Beech;0.30756451620401715;0.2819540195400817;0.33378491038967906
9.0;Beech;0.30262346018693204;0.2773727250592338;0.3284929446857626
10.0;Beech;0.2977438389638266;0.2728779806594446;0.32325823363206874
11.0;Beech;0.2929255512097589;0.26856252337031583;0.3180831617909281
12.0;Beech;0.2881684672074297;0.26415638496200033;0.3129199333351985
13.0;Beech;0.28347243000114164;0.25983513872222475;0.3078241189116515
14.0;Beech;0.27883725653084923;0.25562752451027615;0.3028566802316489
15.0;Beech;0.27426273874560386;0.25128469138994336;0.2978803961457438
16.0;Beech;0.2697486446957077;0.2471344189227861;0.2930515605102867
17.0;Beech;0.26529471960305806;0.24301056565802215;0.288341325275852
18.0;Beech;0.26090068690916063;0.23892499757263308;0.28373128538074344
19.0;Beech;0.2565662493004139;0.23487250848944585;0.2791420972063203
20.0;Beech;0.25229108971033287;0.2309680316629278;0.2745986281336299
21.0;Beech;0.248074872298407;0.22698609110545676;0.27006643279430864
22.0;Beech;0.24391724340541165;0.22304659161807794;0.2656017606159671
23.0;Beech;0.239817832484984;0.21918965372118338;0.26122615082969725
24.0;Beech;0.23577625301138908;0.2153459260297872;0.25686256141616826
25.0;Beech;0.23179210336340275;0.21155473340436393;0.2526385351895355
26.0;Beech;0.22786496768432032;0.20792853292917912;0.2484632994949063
27.0;Beech;0.2239944167181215;0.20429580877292042;0.24433353556298631
28.0;Beech;0.22018000862188924;0.2006912888865271;0.24030522731244752
29.0;Beech;0.21642128975457936;0.1971806837480936;0.2363341109677325
30.0;Beech;0.21271779544230987;0.19365193342671494;0.23241602604582023
31.0;Beech;0.20906905072035994;0.19022739470707617;0.22866188722858283
32.0;Beech;0.2054745710520827;0.18681615140292107;0.22488567083796973
33.0;Beech;0.201933863024995;0.18344934869015295;0.22120598584022155
34.0;Beech;0.1984464250242817;0.18012360623821355;0.21757030862375693
35.0;Beech;0.19501174788405023;0.17689517330050408;0.2139630836770101
36.0;Beech;0.19162931551660722;0.17372751035240752;0.21046990689838319
37.0;Beech;0.18829860552011504;0.17056456719850233;0.20697458998485285
38.0;Beech;0.18501908976495865;0.1674759167454989;0.20351814876871988
39.0;Beech;0.18179023495919652;0.1644154828869102;0.20011036004983251
40.0;Beech;0.17861150319346733;0.16147393909290142;0.19679718698027182
41.0;Beech;0.17548235246573218;0.15847561160697787;0.1934810004258425
42.0;Beech;0.17240223718625483;0.15560932573723685;0.19019398416748956
43.0;Beech;0.16937060866322456;0.15275159268346516;0.18697630708261082
44.0;Beech;0.16638691556942906;0.1499504271339538;0.18388867079685656
