Species;Price;Pred;Lower95;Upper95
Oak;regular;0.16758046655027345;0.15357553958707215;0.18295930225576107
Oak;increased;0.16758046655027345;0.15357553958707215;0.18295930225576107
Beech;regular;0.2023054959152361;0.18359723603818767;0.2223918912166727
Beech;increased;0.2023054959152361;0.18359723603818767;0.2223918912166727
Fir;regular;0.22417728565585474;0.20270184211814102;0.24721799337569095
Fir;increased;0.22417728565585474;0.20270184211814102;0.24721799337569095
Spruce;regular;0.21570797710550757;0.1953322706908368;0.2375234888125678
Spruce;increased;0.21570797710550757;0.1953322706908368;0.2375234888125678
DouglasFir;regular;0.23767588962679034;0.21329788422082085;0.2639843112054798
DouglasFir;increased;0.23767588962679034;0.21329788422082085;0.2639843112054798
ScotsPine;regular;0.13755511592777603;0.12016775912995814;0.15691038578593397
ScotsPine;increased;0.13755511592777603;0.12016775912995814;0.15691038578593397
MaritimePine;regular;0.3904970828575247;0.3533508251078492;0.43078349060346777
MaritimePine;increased;0.3904970828575247;0.3533508251078492;0.43078349060346777
Poplar;regular;0.10293334893277006;0.082930606580086;0.12671641598724748
Poplar;increased;0.10293334893277006;0.082930606580086;0.12671641598724748
Coppice;regular;0.14165275017356102;0.13126343814552976;0.1526525740404483
Coppice;increased;0.14165275017356102;0.13126343814552976;0.1526525740404483
