SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:48;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 m3 _Oak industrial roundwood, manually felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak industrial roundwood, manually felled, 80% water on dry mass basis, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_357XP/Husqvarna U (2009);Operation, passenger car, diesel, fleet average/RER S
57;Aldehydes, unspecified;Air;low. pop.;kg;1.55498E-09;x;1.44337E-09;1.11603E-10
58;Aldrin;Sol;agricultural;kg;3.25875E-12;x;3.22503E-12;3.37155E-14
59;Aluminium;Brut;in ground;kg;0.00027713;x;0.000270191;6.9398E-06
60;Aluminium;Air;;kg;8.02081E-06;x;7.62263E-06;3.98184E-07
61;Aluminium;Air;high. pop.;kg;8.09984E-07;x;8.02893E-07;7.09082E-09
62;Aluminium;Air;low. pop.;kg;6.873E-08;x;6.30956E-08;5.63441E-09
63;Aluminium;Eau;;kg;1.0548E-08;x;9.62446E-09;9.23559E-10
64;Aluminium;Eau;groundwater;kg;3.0326E-07;x;2.85936E-07;1.73237E-08
65;Aluminium;Eau;ocean;kg;3.87912E-06;x;3.50041E-06;3.78708E-07
66;Aluminium;Eau;river;kg;1.75362E-06;x;1.62604E-06;1.27585E-07
67;Aluminium;Sol;agricultural;kg;1.30277E-07;x;1.22984E-07;7.29266E-09
68;Aluminium;Sol;industrial;kg;2.86544E-05;x;2.59762E-05;2.67822E-06
69;Ammonia;Air;;kg;1.53755E-05;x;5.87837E-06;9.4971E-06
70;Ammonia;Air;high. pop.;kg;8.4921E-07;x;7.75411E-07;7.37994E-08
71;Ammonia;Air;low. pop.;kg;3.65971E-06;x;3.29935E-06;3.60366E-07
72;Ammonium carbonate;Air;high. pop.;kg;6.20641E-10;x;6.10752E-10;9.88908E-12
73;Ammonium, ion;Eau;;kg;2.08973E-10;x;1.99315E-10;9.65839E-12
74;Ammonium, ion;Eau;groundwater;kg;2.777E-08;x;2.60486E-08;1.72147E-09
75;Ammonium, ion;Eau;ocean;kg;2.7542E-06;x;2.53459E-06;2.19612E-07
76;Ammonium, ion;Eau;river;kg;2.67952E-06;x;2.35118E-06;3.28338E-07
77;Anhydrite;Brut;in ground;kg;2.85692E-08;x;2.81257E-08;4.4349E-10
78;Aniline;Air;high. pop.;kg;4.43017E-13;x;3.99427E-13;4.35895E-14
79;Aniline;Eau;river;kg;1.06498E-12;x;9.59978E-13;1.04997E-13
