species;dbhCm;basalAreaM2Ha;mqdCm;inclination;meanTemp;meanPrec;reference;pred;var
ALISIER_BLANC;12.5846659319625;26.1112019995262;12.5846659319625;37.6135093956323;11.8484493528974;615.7721964515;1;10.187237980046831;0.005988114188195698
ALISIER_BLANC;7.63943726841098;26.1112019995262;7.63943726841098;37.6135093956323;11.8484493528974;615.7721964515;0;7.96688126424125;0.012153770295502474
ALISIER_BLANC;8.193296470370775;26.1112019995262;8.193296470370775;37.6135093956323;11.8484493528974;615.7721964515;0;8.255097960037219;0.011152311701799814
ALISIER_BLANC;8.747155672330571;26.1112019995262;8.747155672330571;37.6135093956323;11.8484493528974;615.7721964515;0;8.531308674415216;0.010215736168065735
ALISIER_BLANC;9.301014874290367;26.1112019995262;9.301014874290367;37.6135093956323;11.8484493528974;615.7721964515;0;8.796568735169853;0.009353436293866528
ALISIER_BLANC;9.854874076250162;26.1112019995262;9.854874076250162;37.6135093956323;11.8484493528974;615.7721964515;0;9.051794584691256;0.008571779387027738
ALISIER_BLANC;10.408733278209958;26.1112019995262;10.408733278209958;37.6135093956323;11.8484493528974;615.7721964515;0;9.297787500800942;0.007874880279068661
ALISIER_BLANC;10.962592480169754;26.1112019995262;10.962592480169754;37.6135093956323;11.8484493528974;615.7721964515;0;9.535252422216757;0.00726517086670694
ALISIER_BLANC;11.51645168212955;26.1112019995262;11.51645168212955;37.6135093956323;11.8484493528974;615.7721964515;0;9.76481304709645;0.006743823538269748
ALISIER_BLANC;12.070310884089345;26.1112019995262;12.070310884089345;37.6135093956323;11.8484493528974;615.7721964515;0;9.987024059899476;0.0063110684191510155
ALISIER_BLANC;12.62417008604914;26.1112019995262;12.62417008604914;37.6135093956323;11.8484493528974;615.7721964515;0;10.202381120923887;0.005966432677040372
ALISIER_BLANC;13.178029288008936;26.1112019995262;13.178029288008936;37.6135093956323;11.8484493528974;615.7721964515;0;10.41132909485885;0.00570892208680791
ALISIER_BLANC;13.731888489968732;26.1112019995262;13.731888489968732;37.6135093956323;11.8484493528974;615.7721964515;0;10.61426888013435;0.005537159457964102
ALISIER_BLANC;14.285747691928528;26.1112019995262;14.285747691928528;37.6135093956323;11.8484493528974;615.7721964515;0;10.811563116760366;0.005449490586266693
ALISIER_BLANC;14.839606893888323;26.1112019995262;14.839606893888323;37.6135093956323;11.8484493528974;615.7721964515;0;11.003540987905849;0.005444065585363816
ALISIER_BLANC;15.393466095848119;26.1112019995262;15.393466095848119;37.6135093956323;11.8484493528974;615.7721964515;0;11.19050228359966;0.005518901436439494
ALISIER_BLANC;15.947325297807915;26.1112019995262;15.947325297807915;37.6135093956323;11.8484493528974;615.7721964515;0;11.372720859399612;0.005671930128656272
ALISIER_BLANC;16.50118449976771;26.1112019995262;16.50118449976771;37.6135093956323;11.8484493528974;615.7721964515;0;11.5504475956789;0.005901035689706823
ALISIER_BLANC;17.055043701727506;26.1112019995262;17.055043701727506;37.6135093956323;11.8484493528974;615.7721964515;0;11.723912942179034;0.006204082612737022
ALISIER_BLANC;17.6089029036873;26.1112019995262;17.6089029036873;37.6135093956323;11.8484493528974;615.7721964515;0;11.893329116129483;0.006578937595180079
ALISIER_BLANC;18.162762105647097;26.1112019995262;18.162762105647097;37.6135093956323;11.8484493528974;615.7721964515;0;12.058892009406108;0.007023486062253819
ALISIER_BLANC;18.716621307606893;26.1112019995262;18.716621307606893;37.6135093956323;11.8484493528974;615.7721964515;0;12.220782850062369;0.007535644613079633
ALISIER_BLANC;19.27048050956669;26.1112019995262;19.27048050956669;37.6135093956323;11.8484493528974;615.7721964515;0;12.379169655498183;0.008113370273133528
ALISIER_BLANC;19.824339711526484;26.1112019995262;19.824339711526484;37.6135093956323;11.8484493528974;615.7721964515;0;12.534208508068597;0.008754667242292714
ALISIER_BLANC;20.37819891348628;26.1112019995262;20.37819891348628;37.6135093956323;11.8484493528974;615.7721964515;0;12.686044678725098;0.009457591678082411
ALISIER_BLANC;20.932058115446075;26.1112019995262;20.932058115446075;37.6135093956323;11.8484493528974;615.7721964515;0;12.834813620059677;0.010220254938138058
ALISIER_BLANC;21.48591731740587;26.1112019995262;21.48591731740587;37.6135093956323;11.8484493528974;615.7721964515;0;12.980641846679415;0.0110408256161253
ALISIER_BLANC;22.039776519365667;26.1112019995262;22.039776519365667;37.6135093956323;11.8484493528974;615.7721964515;0;13.123647718018795;0.011917530635315372
ALISIER_BLANC;22.593635721325462;26.1112019995262;22.593635721325462;37.6135093956323;11.8484493528974;615.7721964515;0;13.263942136373611;0.012848655608899667
ALISIER_BLANC;23.147494923285258;26.1112019995262;23.147494923285258;37.6135093956323;11.8484493528974;615.7721964515;0;13.401629171018785;0.013832544633289513
ALISIER_BLANC;23.701354125245054;26.1112019995262;23.701354125245054;37.6135093956323;11.8484493528974;615.7721964515;0;13.536806617674117;0.014867599646170078
ALISIER_BLANC;24.25521332720485;26.1112019995262;24.25521332720485;37.6135093956323;11.8484493528974;615.7721964515;0;13.669566501248982;0.015952279454379978
ALISIER_BLANC;24.809072529164645;26.1112019995262;24.809072529164645;37.6135093956323;11.8484493528974;615.7721964515;0;13.799995528678565;0.017085098515026542
ALISIER_BLANC;25.36293173112444;26.1112019995262;25.36293173112444;37.6135093956323;11.8484493528974;615.7721964515;0;13.92817549772385;0.018264625536288492
ALISIER_BLANC;25.916790933084236;26.1112019995262;25.916790933084236;37.6135093956323;11.8484493528974;615.7721964515;0;14.054183666812914;0.01948948195069143
