"species","mean","min","max"
"Alisier blanc",12.448789680108,7.63943726841098,63.0253574643906
"Alisier torminal",12.9665753750589,7.63943726841098,53.4760608788768
"Aubepine monogyne",10.2673929068852,7.63943726841098,39.47042588679
"Aulne glutineux",23.078212736442,7.63943726841098,136.87325105903
"Bouleau verruqueux",18.0485295427332,7.63943726841098,69.3915551880664
"Charme",16.9716305105958,7.63943726841098,82.123950635418
"Chataignier",24.8551650552592,7.63943726841098,262.923965987811
"Chene-liege",30.4936495570447,7.63943726841098,117.774657888003
"Chene pedoncule",34.240086363164,7.63943726841098,143.876068555073
"Chene pubescent",20.2287281871972,7.63943726841098,192.25917125501
"Chene rouge",23.8718892552619,7.63943726841098,119.366207318922
"Chene sessile",33.3729218018362,7.63943726841098,149.605646506382
"Chene tauzin",24.2033921991259,7.63943726841098,96.4478955136886
"Chene vert",16.3364946627355,7.63943726841098,198.943678864869
"Douglas",30.126913959957,7.63943726841098,140.692969693235
"Epicea commun",30.6748458505668,7.63943726841098,110.453530505775
"Epicea de sitka",32.107476767692,7.63943726841098,84.9887396110721
"Erable a feuilles d'obier",16.288448387842,7.63943726841098,61.1154981472878
"Erable champetre",16.8289491560777,7.63943726841098,75.4394430255584
"Erable sycomore",22.0761361524792,7.63943726841098,106.315501985386
"Frene commun",24.0155285655445,7.63943726841098,122.230996294576
"Hetre",29.6751137310043,7.63943726841098,174.115507742534
"Houx",10.9993402475993,7.63943726841098,32.1492985045629
"Meleze d'europe",32.8221367006128,7.63943726841098,151.515505823484
"Merisier",20.0498005471608,7.63943726841098,80.532401204499
"Noisetier coudrier",9.19378786408095,7.63943726841098,30.2394391874601
"Orme champetre",13.2669263912863,7.63943726841098,79.5774715459477
"Peuplier cultive",37.9275591443463,7.63943726841098,122.549306180759
"Pin a crochets",24.931731850283,7.63943726841098,85.6253593834397
"Pin d'alep",29.4514943443555,7.63943726841098,99.6309943755265
"Pin laricio de corse",27.8406759861773,7.63943726841098,130.507053335354
"Pin maritime",32.1386904417035,7.63943726841098,123.185925953127
"Pin noir d'autriche",26.4934777518128,7.63943726841098,85.6253593834397
"Pin sylvestre",28.1254808403458,7.63943726841098,91.0366274485641
"Robinier faux acacia",19.3997022828152,7.63943726841098,181.754945010944
"Sapin pectine",32.4899899389175,7.63943726841098,134.32677196956
"Saule marsault",15.9151265334689,7.63943726841098,96.1295856275048
"Sorbier des oiseleurs",12.6602043260543,7.63943726841098,70.6647947328015
"Tilleul a grandes feuilles",21.8675469121316,7.63943726841098,98.9943746031589
"Tilleul a petites feuilles",21.0158188050334,7.63943726841098,84.6704297248883
"Tremble",21.0009572940376,7.63943726841098,87.2169088143586
