species;dbhCm;basalAreaM2Ha;inclination;meanTemp;meanPrec;reference;pred;var
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;459.574271823024;1;14.214647877489586;0.011792377955480635
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;324.378143310547;0;13.555014216135138;0.02823581698884755
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;330.28041328430186;0;13.583811904322868;0.02668131005284754
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;336.1826832580567;0;13.612609592510594;0.02520318788708952
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;342.0849532318116;0;13.641407280698324;0.02380145049157354
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;347.98722320556647;0;13.67020496888605;0.022476097866299515
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;353.88949317932133;0;13.69900265707378;0.02122713001126752
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;359.7917631530762;0;13.727800345261507;0.020054546926477557
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;365.6940331268311;0;13.756598033449237;0.018958348611929597
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;371.59630310058594;0;13.785395721636965;0.017938535067623627
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;377.4985730743408;0;13.814193409824693;0.01699510629355968
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;383.4008430480957;0;13.842991098012421;0.01612806228973773
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;389.30311302185055;0;13.871788786200149;0.015337403056157835
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;395.2053829956054;0;13.900586474387879;0.0146231285928199
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;401.1076529693603;0;13.929384162575605;0.013985238899723976
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;407.00992294311516;0;13.958181850763335;0.013423733976870099
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;412.91219291687;0;13.986979538951061;0.012938613824258201
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;418.8144628906249;0;14.015777227138791;0.012529878441888291
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;424.71673286437976;0;14.044574915326518;0.01219752782976044
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;430.61900283813463;0;14.073372603514247;0.011941561987874551
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;436.5212728118895;0;14.102170291701974;0.0117619809162307
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;442.4235427856444;0;14.130967979889704;0.01165878461482888
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;448.32581275939924;0;14.159765668077434;0.011631973083669015
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;454.2280827331541;0;14.18856335626516;0.011681546322751233
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;460.130352706909;0;14.21736104445289;0.011807504332075388
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;466.03262268066385;0;14.246158732640616;0.012009847111641566
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;471.9348926544187;0;14.274956420828346;0.012288574661449794
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;477.8371626281736;0;14.303754109016072;0.01264368698149999
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;483.73943260192846;0;14.332551797203802;0.013075184071792197
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;489.6417025756833;0;14.361349485391528;0.013583065932326444
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;495.5439725494382;0;14.390147173579258;0.01416733256310267
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;501.44624252319306;0;14.418944861766985;0.014827983964120946
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;507.34851249694793;0;14.447742549954715;0.01556502013538118
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;513.2507824707028;0;14.476540238142443;0.01637844107688344
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;519.1530524444577;0;14.50533792633017;0.01726824678862773
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;525.0553224182125;0;14.5341356145179;0.01823443727061399
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;530.9575923919674;0;14.562933302705627;0.01927701252284228
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;536.8598623657223;0;14.591730990893357;0.020395972545312606
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;542.7621323394771;0;14.620528679081083;0.0215913173380249
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;548.664402313232;0;14.649326367268813;0.022863046900979192
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;554.5666722869869;0;14.67812405545654;0.024211161234175577
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;560.4689422607418;0;14.70692174364427;0.02563566033761388
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;566.3712122344966;0;14.735719431831996;0.02713654421129425
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;572.2734822082515;0;14.764517120019725;0.028713812855216608
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;578.1757521820064;0;14.793314808207453;0.030367466269380944
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;584.0780221557612;0;14.822112496395182;0.03209750445378737
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;589.9802921295161;0;14.850910184582911;0.03390392740843572
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;595.882562103271;0;14.879707872770638;0.03578673513332611
ALISIER_TORMINAL;20.0;25.0;0.0;13.0;601.7848320770258;0;14.908505560958368;0.03774592762845855
