species;meanNbObs;lowNbObs;uppNbObs;meanBias;lowBias;uppBias;meanMse;lowMse;uppMse;meanMeanObs;lowMeanObs;uppMeanObs
ALISIER_BLANC;160.217;144.0;175.0;-0.17762889459327022;-0.5027397734880198;0.15373859547675786;4.462483527763016;3.5355260655388387;5.521315826913741;10.523854294511718;10.206250000000006;10.853642384105962
ALISIER_TORMINAL;137.732;124.0;152.0;-0.22506667552000037;-0.5371057532215935;0.08593482487852003;3.950941918240031;3.1301123454089126;5.045760626515533;10.963770903295654;10.599270072992695;11.326056338028165
AUBEPINE_MONOGYNE;112.825;99.0;127.0;0.09481141070634137;-0.18044156647590695;0.3668766283152898;2.6800161649646554;1.99516598936576;3.4533298465288977;7.605216645578803;7.343750000000002;7.87169811320755
AULNE_GLUTINEUX;215.543;202.0;229.0;-0.2622682549636416;-0.7226977054989107;0.17387602668751653;8.464892747309484;6.883127847401241;10.179175305654303;16.895811231222773;16.4255605381166;17.390265486725664
BOULEAU_VERRUQUEUX;638.033;610.0;666.0;-0.16525860590492633;-0.3709032902530745;0.03237284283107701;5.8039938263553195;5.170409393613657;6.471109921709131;16.05795773849681;15.832159264931084;16.29920127795528
CHARME;1230.356;1189.0;1274.0;-0.06446419684487388;-0.23579574441375495;0.10078838479759847;7.656120472575611;7.016196353320486;8.431981805449906;15.466534583692537;15.262177888611802;15.65643322475569
CHATAIGNIER;1184.096;1152.0;1218.0;0.08929971719182578;-0.12051288045898567;0.3018679571313454;8.52468917768249;7.798627733753487;9.428906401615984;16.56522688805156;16.38813700918963;16.745622895622944
CHENE_PEDONCULE;2350.332;2304.0;2399.0;-0.11984896545212134;-0.2521841888039159;0.007209473307705364;8.090943403595848;7.5100251518916;8.68254762474067;19.085396264264514;18.939072563331887;19.21967700807478
CHENE_PUBESCENT;648.436;622.0;673.0;-0.003110556928218343;-0.23307516196430353;0.24203692632923907;5.823149956288489;5.226315224738318;6.51739539945674;14.15759596042763;13.929601226993878;14.383538461538468
CHENE_ROUGE;60.775;54.0;67.0;-0.021861382758370088;-0.739916404579367;0.7602111627254443;6.5684035150941185;4.44587624431133;8.793338058331114;19.15002802195901;18.212698412698412;20.152173913043487
CHENE_SESSILE;2261.521;2217.0;2306.0;-0.11475694995206233;-0.23861824066027346;0.006893717924481789;5.787116316685086;5.450107304307493;6.1044012017887725;20.397643556775478;20.25776591010236;20.534038800705467
CHENE_TAUZIN;47.578;41.0;55.0;-0.15979834796230297;-0.8337538068792747;0.46123087188534523;4.509957729769024;2.759820375573652;6.275622423919274;12.273896552391465;11.320000000000004;13.231111111111112
CHENE_VERT;112.312;101.0;124.0;0.21634470920098697;-0.1412255021395901;0.5671020662329636;3.1237862110502164;2.3416486415877826;4.102490032917076;10.050451963264665;9.590399999999999;10.542452830188683
CHENE_LIEGE;35.22;30.0;41.0;-0.10532447747030027;-0.637071070726592;0.4600935115248329;2.0781065489376758;1.328653660121419;3.1077211944300975;8.360835156902425;7.719999999999997;8.974193548387097
DOUGLAS;637.687;621.0;655.0;0.008444094096474324;-0.2244011029299297;0.24250721903944294;5.1221407699716455;4.4137410564514825;5.971229416264692;24.705440014980915;24.390993788819856;25.001587301587314
EPICEA_COMMUN;1699.613;1670.0;1730.0;-0.09949826558440422;-0.265563860990607;0.07187522301294284;7.898444310346232;7.388021944613599;8.441138414225847;21.987842630457344;21.797860034702158;22.17385241138872
EPICEA_DE_SITKA;71.519;65.0;78.0;0.09459116936088605;-0.6070558135186709;0.7833653599816128;4.713959836658192;3.272548043022405;7.0071851414714414;22.28479812828759;21.50285714285715;23.078082191780823
ERABLE_A_FEUILLES_D_OBIER;75.033;65.0;85.0;0.14672053600422671;-0.30934750075258494;0.5865840442115227;3.4425818586202372;2.4390579608755236;4.9544830671387805;11.57238154200245;11.010256410256407;12.08815789473684
ERABLE_CHAMPETRE;263.41;241.0;285.0;0.04539798107838028;-0.24317781845776235;0.31919549419611254;5.972612437633988;4.906920427881705;7.032607703751902;13.259487479515435;12.896240601503765;13.591544117647057
ERABLE_SYCOMORE;382.87;363.0;404.0;0.04378464820268134;-0.2703640521513412;0.36198322321865545;7.295874814509068;6.31879845844277;8.31585556783783;16.940299772684824;16.560416666666658;17.283739837398375
FRENE_COMMUN;1037.355;1004.0;1070.0;-0.26648928538462674;-0.4734650842444768;-0.05021165124061077;9.332619254211446;8.443945350348635;10.25348889944498;19.08199061739427;18.82666025024062;19.342330097087377
HETRE;2585.562;2539.0;2631.0;-0.25013371013037083;-0.3972848585189209;-0.10617456232016761;8.946018080552111;8.43017648734394;9.467616129570219;18.67701234950305;18.51962905718703;18.835936883629188
HOUX;53.337;44.0;63.0;0.004975466700180302;-0.3389055205581617;0.3164208119890907;2.0108482633850358;1.5208383329821578;2.506894330198571;7.516302092305978;7.155813953488374;7.890909090909089
MELEZE_D_EUROPE;217.52100000000002;208.0;227.0;-0.49896628821650396;-0.9774457532686028;-0.020208201335565387;8.295068924020741;6.383936176765645;10.468133182245067;21.012816149831895;20.539252336448587;21.445495495495496
MERISIER;324.72700000000003;303.0;347.0;-0.42543269515820903;-0.7340524903409787;-0.1255505574328232;7.903914303915494;6.818712793770114;9.102410426987731;15.48901917545313;15.117431192660549;15.884520123839009
NOISETIER_COUDRIER;229.547;209.0;249.0;0.07985603491977326;-0.1288291480721419;0.27208938864905324;2.6595332610473505;2.2488944051945166;3.049122683525281;9.044874625932852;8.89047619047619;9.19475982532751
ORME_CHAMPETRE;123.658;110.0;137.0;0.26180961621090854;-0.1936556338895312;0.7035100657031149;6.342719757338574;5.085951888731509;7.9201815742437125;11.471532344923734;10.98275862068966;11.923200000000007
PEUPLIER_CULTIVE;74.182;66.0;82.0;-0.06316834069444255;-0.8908482311919013;0.7208612497883962;10.864021863156998;7.558697882155886;14.999473962261884;26.24017455940483;25.184057971014493;27.212500000000002
PIN_A_CROCHETS;152.284;144.0;160.0;-0.3387171821399485;-0.8267850233141301;0.14709213045026612;5.414038491202415;4.4267113858154445;6.782791876668416;10.983135745718993;10.642068965517245;11.31184210526316
PIN_D_ALEP;128.157;121.0;135.0;-0.023938658840803175;-0.3458861695787514;0.3027229574878467;2.728158918733528;1.9470928828473626;3.601755465488131;12.93390126585182;12.606106870229016;13.268548387096777
PIN_LARICIO_DE_CORSE;240.804;231.0;251.0;-0.028519884354881415;-0.3791865578426821;0.3169591640664009;4.435772409542134;3.669204283024913;5.391740672623209;17.191576289230568;16.81950207468876;17.559148936170214
