BasalAreaM2Ha;StemDensityHa;Pred;Lower95;Upper95
200.0;10.0;0.23158059671658227;0.21095995765882514;0.25312638865102166
200.0;11.0;0.23645421300859168;0.21548890346492244;0.2582572901033128
200.0;12.0;0.24141365375191645;0.22022803394305668;0.26347774039753746
200.0;13.0;0.24645964330971137;0.22502605053690894;0.26895560157983
200.0;14.0;0.25159287180566536;0.22988895068379944;0.27436960788248776
200.0;15.0;0.25681399270272115;0.23473972483958205;0.2799375086110558
200.0;16.0;0.26212362030333725;0.239739100640609;0.2855997029689119
200.0;17.0;0.2675223271715469;0.24478944852738171;0.29135236961925814
200.0;18.0;0.27301064147748555;0.24993895146688216;0.2972527496551901
200.0;19.0;0.27858904426521974;0.25521037569324834;0.30318780913369026
200.0;20.0;0.28425796664513936;0.2604092484816456;0.3092165594519769
200.0;21.0;0.29001778691234836;0.26576603182700353;0.31537403700646405
200.0;22.0;0.2958688275929746;0.27115093804832824;0.32165308983169916
200.0;23.0;0.3018113524206498;0.27664849087873444;0.32798002300691065
200.0;24.0;0.3078455632457789;0.28230370864665766;0.33434481189547094
200.0;25.0;0.3139715968806782;0.2880148095802747;0.3408865592598428
200.0;26.0;0.3201895218841263;0.2937629371813061;0.34753890592198045
200.0;27.0;0.32649933528933367;0.2995892438694189;0.35425187154168924
200.0;28.0;0.33290095927980456;0.3054282123981953;0.36107153389674995
200.0;29.0;0.3393942378182083;0.3113608872522061;0.3680217496644542
200.0;30.0;0.3459789332338192;0.3174219592286498;0.37501350667642885
200.0;31.0;0.35265472277476;0.3234861585616461;0.3822132888869584
200.0;32.0;0.35942119513184506;0.3296987047329806;0.38950528998184386
200.0;33.0;0.3662778469415193;0.3359852824210301;0.39682741848923364
200.0;34.0;0.37322407927597906;0.34240959715074315;0.4042034016419829
200.0;35.0;0.38025919412939163;0.34882039609728854;0.41174959592898375
200.0;36.0;0.3873823909096482;0.3553776931310044;0.419524850406787
200.0;37.0;0.394592762946066;0.3620669682710841;0.42730542228544843
200.0;38.0;0.40188929402399115;0.36873040120365164;0.4351372342990486
200.0;39.0;0.4092708549582161;0.37551742039482783;0.4430778453848936
1200.0;10.0;0.22032825986976365;0.20057417297233715;0.24131236699672154
1200.0;11.0;0.2238818181745618;0.2039002503572802;0.24505703204878082
1200.0;12.0;0.22748404783841902;0.20723571221868808;0.2488658007349036
1200.0;13.0;0.23113530595910903;0.2106943367810995;0.252769254080524
1200.0;14.0;0.23483594026612378;0.21415114371942368;0.25661550812103384
1200.0;15.0;0.23858628855757813;0.2176874948861488;0.26055753597927767
1200.0;16.0;0.24238667812178494;0.2212838097615899;0.26457503342359
1200.0;17.0;0.24623742514343436;0.22488378933499487;0.26854725331224083
1200.0;18.0;0.25013883409436044;0.2284917815120867;0.27272600580093753
1200.0;19.0;0.25409119710886274;0.23224097405884303;0.27690625395395696
1200.0;20.0;0.2580947933436316;0.2360125598594799;0.2811666336029265
1200.0;21.0;0.2621498883222934;0.23981113143524813;0.28539210711446883
1200.0;22.0;0.2662567332646781;0.2436826254550598;0.28980881685318516
1200.0;23.0;0.27041556440086545;0.247563567421053;0.29426604428231207
1200.0;24.0;0.27462660227022967;0.2516155999391533;0.2987879487782866
1200.0;25.0;0.27889005100556036;0.25563579438913553;0.30331835819933783
1200.0;26.0;0.28320609760254667;0.2596880390749491;0.30796570875023677
1200.0;27.0;0.2875749111748266;0.2637086139674145;0.31252987435585444
1200.0;28.0;0.29199664219488985;0.2677767910832092;0.3173812529825334
1200.0;29.0;0.2964714217212256;0.2719222642433661;0.32219712741414874
1200.0;30.0;0.30099936061199745;0.27612203543622627;0.3270744361578196
1200.0;31.0;0.3055805487257491;0.28035174776419847;0.33216613695095565
1200.0;32.0;0.31021505410958894;0.2845909924086262;0.33722641744826176
1200.0;33.0;0.31490292217535215;0.2889337636481113;0.34234725511479525
1200.0;34.0;0.3196441748643749;0.29335281170642846;0.3474165331835949
1200.0;35.0;0.3244388098014792;0.297764410405285;0.35252553321106017
1200.0;36.0;0.32928679943886674;0.30223440219999287;0.3576865549577729
1200.0;37.0;0.33418809019070217;0.3068278616214235;0.36282840707537856
1200.0;38.0;0.3391426015591977;0.3113997321082661;0.368118123163089
1200.0;39.0;0.34415022525306393;0.31600642042682137;0.37343140169241484
