Region;Pred;Lower95;Upper95
AUVERGNE_RHONE_ALPES;0.17215824517001263;0.15541815491324773;0.19000269421102922
BOURGOGNE_FRANCHE_COMTE;0.2389188077490223;0.21747612916413506;0.2617560785201981
BRETAGNE;0.14663212389415198;0.1250723252234619;0.17099264753906374
CENTRE_VAL_DE_LOIRE;0.18428256533466397;0.16367838096585552;0.20599352185327524
CORSE;0.07151590968438241;0.04646088665488535;0.10586813434469955
GRAND_EST;0.27868266082471677;0.25536976186747895;0.3031532020675868
HAUTS_DE_FRANCE;0.26868263361969263;0.23826209348304417;0.30084813312187386
ILE_DE_FRANCE;0.18650777527754359;0.15669251073020873;0.21923076733859514
NORMANDIE;0.24038117193790026;0.2120971093095233;0.2705305534507205
NOUVELLE_AQUITAINE;0.2076100316759954;0.18887771737954795;0.22827826192564848
OCCITANIE;0.10914408780897157;0.09541785629163069;0.1242595932499958
PAYS_DE_LA_LOIRE;0.18076995141054;0.15530669201205372;0.20885439700300712
PROVENCE_ALPES_COTE_D_AZUR;0.09100755999921159;0.07426353026175336;0.10982276767473853
