"excludedGroup","parms"
0,0.12508150681014
0,0.01414556070695
0,0.01048561181996
0,-0.1195500119578
0,-0.0472300799752
0,0.24597767349205
1,0.13935371108725
1,0.01531523281515
1,0.01117135139665
1,-0.1313763374761
1,-0.0505419970948
1,0.2654202672885
2,0.1368936062224
2,0.01524810518233
2,0.01197785672454
2,-0.1301004765766
2,-0.0534697336826
2,0.27593883391022
3,0.14319417119272
3,0.01659919739112
3,0.0116356454726
3,-0.1384137164826
3,-0.05297934101
3,0.27847975525276
4,0.13628005253825
4,0.01566367707276
4,0.01140033153621
4,-0.1313999870669
4,-0.0514124137883
4,0.26823365629103
5,0.13730518738007
5,0.0147832505674
5,0.01212718886825
5,-0.1281908162943
5,-0.0539392505653
5,0.27704271062594
6,0.13556672537108
6,0.01523925314679
6,0.01211143298164
6,-0.1293070021979
6,-0.0537004613877
6,0.27518170993193
7,0.14528931161342
7,0.01724505525435
7,0.01209020960861
7,-0.1419904787584
7,-0.0548855598313
7,0.28701161430425
8,0.13130603509353
8,0.01451073350272
8,0.0109319411434
8,-0.1242008262486
8,-0.0491306860508
8,0.25594232295765
9,0.14045269537378
9,0.01634975911156
9,0.01250091627228
9,-0.1359045559815
9,-0.0559280342359
9,0.2875569128742
10,0.15411090098102
10,0.01779854354977
10,0.01109410885308
10,-0.1486786827893
10,-0.0516331952379
10,0.27897762297926
