excludedGroup,Parameter,Estimate
0,su2,2.7941908407307
1,su2,2.78700234204814
2,su2,2.7987037629567
3,su2,2.91354986752182
4,su2,2.81418122442269
5,su2,2.51238516547889
6,su2,2.70050996858962
7,su2,2.86641150474269
8,su2,2.85551787907979
9,su2,2.9060377363453
10,su2,2.79287965672508
