"speciesBeech","speciesHornbeam","speciesOak","speciesOthers","speciesBeech:G","speciesHornbeam:G","speciesOak:G","speciesOthers:G"
0.00195887382758056,2.91484009290313e-19,0,1.16713759690267e-20,-0.000109842809354891,-2.48685863856337e-20,0,-1.42018026943093e-21
2.91484009290313e-19,0.00395833250323397,0,2.44008022089397e-22,-4.99797983088486e-20,-0.000211246559756616,0,-2.9691047522919e-23
0,0,0.000916399100994635,0,0,0,-9.03066089436328e-05,0
1.16713759690267e-20,2.44008022089397e-22,0,0.00088754885032901,-2.0012522070729e-21,-2.01031634270428e-23,0,-5.48050979818785e-05
-0.000109842809354891,-4.99797983088486e-20,0,-2.0012522070729e-21,1.88343829584383e-05,4.26413419661116e-21,0,2.43513610236055e-22
-2.48685863856337e-20,-0.000211246559756616,0,-2.01031634270428e-23,4.26413419661116e-21,1.74040348256746e-05,0,2.44616539883536e-24
0,0,-9.03066089436328e-05,0,0,0,3.06849245823249e-05,0
-1.42018026943093e-21,-2.9691047522919e-23,0,-5.48050979818785e-05,2.43513610236055e-22,2.44616539883536e-24,0,6.66871832632627e-06
