Id;latDeg;longDeg;ser;pred;obs
0;47.657383;-0.656833;A22;13.239751156653577;13.1741584369114
85;48.488498;-1.191758;A13;12.869643325771131;12.8071981838771
170;48.400688;-1.118254;A13;13.18389055061891;12.8523928097316
255;47.531789;-1.274533;A22;13.566510904804488;13.9632611955915
340;48.654887;-1.040074;A13;12.980299531641286;12.5977769579206
425;48.931183;-1.426745;A13;13.365809347860704;13.0329873902457
510;49.289772;-0.848088;B31;12.529436666524035;12.8632147652762
595;43.008985;-0.807733;I21;13.44087294934439;9.77716932977949
680;43.134661;-0.8146;I11;13.277876563771654;14.5698131833758
765;43.138886;-0.667499;I11;13.2879074891378;13.9537822859628
850;43.261905;-1.338459;I21;13.450052732061339;14.8025163922991
935;43.107267;-1.119909;I21;13.065382357056649;13.8489431653704
1020;43.106663;-0.530838;I21;13.049484403501289;12.8427606310163
1105;43.41196;-0.546132;F52;13.042565945047713;15.3071572440011
1190;43.196233;-1.149849;I11;13.341792788568313;14.8970909118652
1275;44.363204;-0.632443;F21;13.236610385487518;15.0700660433088
1360;44.456403;-0.511713;F21;13.34349787789318;15.0828302247184
1445;43.790789;-1.124192;F21;13.19887476907798;15.7836592538016
1530;43.861039;-1.178215;F21;13.140440193551468;15.6862884249006
1615;43.838152;-1.325985;F22;13.162760454388026;15.9213673727853
1700;43.895996;-0.608023;F21;13.177731994494716;16.1258063997541
1785;43.67121;-0.91862;F52;13.39642066214499;16.1754162652152
1870;43.914118;-1.206401;F21;13.28126918170486;15.8176042011806
1955;44.083245;-0.979769;F21;13.257904874523083;15.5706487383161
2040;44.223886;-1.088148;F21;12.92654695195163;15.7312102999006
2125;44.383525;-0.545677;F21;13.28290405384711;14.9680668285915
2210;43.963453;-1.346542;F22;12.841016147448732;15.9261542728969
2295;44.412585;-0.798267;F21;13.206598252121752;15.4576061793736
2380;44.108823;-1.306029;F22;12.92183879687088;15.9241198131016
2465;43.902068;-1.018973;F21;13.417990470297829;15.643486567906
2550;43.813021;-0.988868;F21;13.28780193902648;15.855617250715
2635;43.950442;-1.196208;F21;13.04341351621265;15.7246761322021
2720;45.286138;-1.089999;F21;13.376793963607483;15.3639004571097
2805;44.603171;-1.048306;F21;13.286779942353908;15.790446962629
2890;44.553064;-0.919393;F21;13.239022463219682;15.7604066303798
2975;44.811171;-0.706807;F30;13.515290868817816;15.5788187299456
3060;45.320507;-1.143188;F22;13.699342290008245;15.2812673023769
3145;44.778525;-1.19796;F22;13.32186599284348;15.7466094153268
3230;44.908302;-1.079475;F21;13.239808952541267;15.649489402771
3315;44.508669;-0.577248;F21;13.43138882078285;15.1313449314662
3400;45.494661;-0.731663;F14;13.28568228572081;15.0939737047468
3485;45.440727;-0.72868;F13;13.089571728662934;15.3832675388881
3570;44.984788;-0.931934;F21;13.409503121575424;15.5812823431832
3655;45.788767;-0.503568;F14;12.674450016617541;14.7889900888715
3740;45.894092;-1.231171;F22;13.014396264373255;14.8427117211478
3825;45.556936;-1.068373;F22;13.31019640226434;15.0517341068813
3910;45.680401;-1.153083;F22;13.123543181076316;14.9409950801305
