i,Estimate
1,0.60785888742949
1,1.60462375715074
2,0.53427286465234
2,1.87342172259156
3,0.19928567268988
3,0.6629651132312
4,0.27916950077788
4,1.37794044028667
5,0.81218552017591
5,5.5569930417208
6,0.61836326498855
6,2.99019429674789
7,0.54094127861274
7,4.67668099619278
8,0.7944884204862
8,4.50684046774254
9,0.72552882272365
9,4.71479657208704
10,0.65748066536988
10,2.69797046888925
11,0.48758189183218
11,4.11783234702328
12,0.66470046240099
12,4.02529935111745
13,0.51030594777734
13,2.75891395630671
14,0.23628659587725
14,1.58501655576478
15,0.17744707964383
15,1.26477509119449
16,0.62567633381567
16,3.86269587188549
17,0.58917654419831
17,5.51982069936866
18,0.73894614361495
18,3.50007752667007
19,0.47047304410117
19,1.51420588052238
20,0.55550199723332
20,3.20171373100411
21,0.33736499108778
21,1.35027083421977
22,0.6156061993213
22,4.51514833343224
23,0.78955330735646
23,5.64131819727936
24,0.68253852865809
24,6.1256145247466
25,0.2206254478367
25,1.37846393503971
26,0.58745446868242
26,5.91495000344459
27,0.80152870099306
27,3.66842128252498
28,0.30289585742657
28,1.63232554157148
29,0.5351996572275
29,3.21221815126436
30,1.03615165281732
30,5.83416125968944
31,0.38787340610828
31,2.75300480839688
32,0.31415612960587
32,2.08416750450137
33,0.77959868692487
33,3.07076794789367
34,0.45366057672517
34,2.31364545050844
35,0.48971079625466
35,2.42933491662035
36,0.84639322642878
36,3.6219879814707
37,0.76141692374907
37,5.14372919652273
38,0.4497328755902
38,5.04151684237295
39,0.38845258926502
39,3.11454773897246
40,0.7591427302434
40,2.69373681339823
41,0.59466477077132
41,2.24112386826539
42,0.55221048390681
42,4.54842536015375
43,0.60292831984809
43,4.75464292523316
44,0.67807148120274
44,3.36580401655753
