i,Estimate
1,0.6487498782392
1,-0.0000116479835
1,3.5243927095E-6
1,-0.0001560549358
1,-8.8007422366E-8
1,8.93396925555E-7
1,0.0006443583972
1,2.58489209479E-6
1,-2.1787434028E-7
1,0.0000183720163
1,0.00323522408062
1,2.42141083792E-6
1,9.39928697528E-6
1,0.00002646264711
1,0.00607417722302
1,-0.1067547855225
1,3.97662139934E-6
1,0.00001591657287
1,0.00002256835566
1,-0.0005016156117
1,0.01940937035995
1,0.00459048628535
1,-6.304085673E-8
1,-5.5653387501E-7
1,-1.2833546463E-6
1,0.00002250830804
1,-0.0008518703147
1,0.00003786736438
1,-0.0115076126134
1,-0.0000386574532
1,5.17801386807E-6
1,-0.0002726913912
1,-0.0005454642815
1,-0.0008460818516
1,0.00004377695345
1,0.00575820551074
2,0.03357817074655
2,-0.0001171487412
2,4.11478610015E-6
2,0.0000546398304
2,-2.4651540299E-7
2,2.43203059322E-6
2,-0.0003279495118
2,8.0001342151E-6
2,0.00001082326647
2,0.00408886271216
2,-0.000046317711
2,2.98754752474E-8
2,-2.0152508763E-7
2,-3.69510296E-7
2,1.18192968562E-7
2,-0.003610650342
2,1.3107191647E-6
2,4.98020504203E-6
2,-0.0001679564466
2,-2.3846425903E-6
2,0.00176504342116
3,0.02970609598576
3,-0.0000281381836
3,2.60000854553E-6
3,-0.0119796092227
3,-0.0000103885341
3,0.00511613386272
4,0.0176152239318
4,-0.0000318632859
4,1.83541329396E-6
4,-0.0000145313485
4,5.28922519959E-8
4,8.99680973138E-7
4,-1.2692303377E-7
4,-3.5373467445E-8
4,-1.4912139795E-9
4,4.18500330564E-9
4,-0.0067938969211
4,-2.8639100356E-6
4,-4.5474477503E-7
4,2.00932243471E-7
4,0.00284730423314
5,4.33664283079884
5,-0.0002045842952
5,4.50883506814E-6
5,-0.0007969954105
5,3.1592813461E-7
5,3.46855546175E-6
5,0.00097979903507
5,1.99582548735E-6
5,1.9336090491E-7
5,0.00001378659029
5,-9.3703873801E-6
5,-1.5835305683E-8
5,-1.9882477451E-9
5,-1.7385607691E-7
5,5.0971022559E-9
5,0.0017900933144
5,0.00001555623119
5,0.00001114584385
5,0.00002911184214
5,-2.6083188023E-7
5,0.00857046249781
5,-0.6343308206538
5,0.00002728623156
5,0.00011008393424
5,-0.0000435912409
5,4.29226176375E-7
5,-0.0004175988788
5,0.09448513105702
5,0.0234233025781
5,-8.3286480723E-7
5,-3.8455469005E-6
5,1.75811275636E-6
5,-1.7584379553E-8
5,0.00002380606719
5,-0.0035092199936
5,0.00013107691213
